,MultiSamplingRandomSubspace_mean,KMeanClustering_mean,LearnppCDS_mean,LearnppNIE_mean,REA_mean,OUSE_mean,MLPClassifier_mean
gen/sd_features/stream_gen_20k_0.20_30_f100_normal_suddendrift,0.6351351351351351,0.8347027027027027,0.9033513513513516,0.8943783783783785,0.9056216216216215,0.8438378378378377,0.668864864864865
gen/sd_features/stream_gen_20k_0.20_30_f10_normal_suddendrift,0.5780540540540542,0.5631351351351351,0.5958918918918918,0.5297297297297298,0.5955675675675676,0.4584324324324324,0.7077837837837838
gen/sd_features/stream_gen_20k_0.20_30_f15_normal_suddendrift,0.5468108108108108,0.5721621621621621,0.6010810810810809,0.536,0.6208648648648647,0.4021081081081081,0.6717297297297297
gen/sd_features/stream_gen_20k_0.20_30_f20_normal_suddendrift,0.5701081081081081,0.5887027027027028,0.5956756756756757,0.5341621621621623,0.5879459459459458,0.31540540540540535,0.6901621621621621
gen/sd_features/stream_gen_20k_0.20_30_f25_normal_suddendrift,0.5493513513513513,0.6918378378378379,0.7222702702702702,0.694810810810811,0.7217297297297296,0.6189189189189189,0.705027027027027
gen/sd_features/stream_gen_20k_0.20_30_f30_normal_suddendrift,0.5575135135135135,0.7495675675675676,0.8198918918918919,0.7307567567567569,0.7865405405405405,0.6658378378378378,0.6468108108108107
gen/sd_features/stream_gen_20k_0.20_30_f35_normal_suddendrift,0.5092972972972972,0.5703783783783783,0.5683783783783782,0.5448648648648649,0.5656756756756756,0.3767027027027028,0.6712972972972974
gen/sd_features/stream_gen_20k_0.20_30_f40_normal_suddendrift,0.5649189189189189,0.5531891891891891,0.5263783783783783,0.4867567567567568,0.47864864864864864,0.3597297297297297,0.6652972972972973
gen/sd_features/stream_gen_20k_0.20_30_f45_normal_suddendrift,0.4952972972972973,0.7662702702702704,0.7932972972972973,0.6111891891891891,0.764054054054054,0.7066486486486487,0.6731351351351351
gen/sd_features/stream_gen_20k_0.20_30_f50_normal_suddendrift,0.6252972972972973,0.8296216216216217,0.9280540540540538,0.8317837837837838,0.9254594594594594,0.8913513513513517,0.6762162162162163
gen/sd_features/stream_gen_20k_0.20_30_f55_normal_suddendrift,0.5765405405405405,0.6465405405405408,0.6254054054054055,0.5423243243243242,0.606,0.4225945945945946,0.677837837837838
gen/sd_features/stream_gen_20k_0.20_30_f60_normal_suddendrift,0.4223783783783784,0.645945945945946,0.5632972972972973,0.5317297297297298,0.5481081081081081,0.4139459459459459,0.6492972972972973
gen/sd_features/stream_gen_20k_0.20_30_f65_normal_suddendrift,0.5803243243243243,0.7309189189189188,0.661135135135135,0.581027027027027,0.6697837837837838,0.5141621621621623,0.68
gen/sd_features/stream_gen_20k_0.20_30_f70_normal_suddendrift,0.5936216216216217,0.7848648648648647,0.854,0.821945945945946,0.8351891891891893,0.779081081081081,0.6594594594594595
gen/sd_features/stream_gen_20k_0.20_30_f75_normal_suddendrift,0.5894054054054054,0.8259459459459461,0.907783783783784,0.8318378378378379,0.9101621621621622,0.8670810810810811,0.6697837837837838
gen/sd_features/stream_gen_20k_0.20_30_f80_normal_suddendrift,0.5126486486486487,0.7020540540540541,0.5394594594594594,0.5225945945945946,0.49286486486486486,0.34167567567567564,0.6567567567567566
gen/sd_features/stream_gen_20k_0.20_30_f85_normal_suddendrift,0.565027027027027,0.8010810810810809,0.7457297297297298,0.6374594594594594,0.7361081081081081,0.5956216216216217,0.6376216216216217
gen/sd_features/stream_gen_20k_0.20_30_f90_normal_suddendrift,0.5814054054054054,0.7810810810810811,0.8597837837837838,0.8512432432432433,0.8536216216216217,0.828054054054054,0.6752972972972973
gen/sd_features/stream_gen_20k_0.20_30_f95_normal_suddendrift,0.5535675675675676,0.7536216216216216,0.7468108108108108,0.7022702702702703,0.7514594594594595,0.7089729729729729,0.6819459459459459
