,MultiSamplingRandomSubspace_mean,KMeanClustering_mean,LearnppCDS_mean,LearnppNIE_mean,REA_mean,OUSE_mean,MLPClassifier_mean
gen/sd_features/stream_gen_20k_0.20_30_f100_normal_suddendrift,0.6747885945945947,0.6037503243243243,0.903960945945946,0.9037735675675675,0.9075051891891892,0.8978675675675676,0.5024200270270269
gen/sd_features/stream_gen_20k_0.20_30_f10_normal_suddendrift,0.5477580540540541,0.5725025135135136,0.5777756756756758,0.5794298648648649,0.5801475135135135,0.6298649459459458,0.5443309189189189
gen/sd_features/stream_gen_20k_0.20_30_f15_normal_suddendrift,0.5381974324324323,0.5866028918918919,0.6036731081081081,0.6007213783783784,0.6214475405405405,0.6036047837837838,0.48673843243243237
gen/sd_features/stream_gen_20k_0.20_30_f20_normal_suddendrift,0.5526426756756757,0.5461646756756757,0.5651782162162161,0.5739003783783783,0.5714753243243244,0.5361085135135136,0.5158538648648648
gen/sd_features/stream_gen_20k_0.20_30_f25_normal_suddendrift,0.5584692702702704,0.6017168378378377,0.7226052432432432,0.7237442162162161,0.7222268378378378,0.7333748108108108,0.5550966486486486
gen/sd_features/stream_gen_20k_0.20_30_f30_normal_suddendrift,0.618109,0.6251977297297298,0.8083472702702703,0.7608946486486485,0.7845991081081082,0.7684932702702703,0.48226089189189186
gen/sd_features/stream_gen_20k_0.20_30_f35_normal_suddendrift,0.5143583513513513,0.4761342432432433,0.5498626756756757,0.5920647297297298,0.5527183243243243,0.5841509729729729,0.5061331891891891
gen/sd_features/stream_gen_20k_0.20_30_f40_normal_suddendrift,0.5567255135135135,0.4727155135135134,0.5381432162162162,0.545246054054054,0.5368634054054054,0.5582177027027027,0.5059977837837838
gen/sd_features/stream_gen_20k_0.20_30_f45_normal_suddendrift,0.5898836756756756,0.6887458918918918,0.8114856756756758,0.6867613783783784,0.7617172162162162,0.7871439459459459,0.5171666486486485
gen/sd_features/stream_gen_20k_0.20_30_f50_normal_suddendrift,0.6763280810810809,0.6372068648648648,0.9240260000000001,0.8671753783783784,0.9221558378378378,0.9195303243243242,0.5162975405405404
gen/sd_features/stream_gen_20k_0.20_30_f55_normal_suddendrift,0.6073104054054053,0.5019605405405405,0.6048928108108107,0.5820562162162164,0.6047319999999999,0.5999934594594595,0.5118495405405405
gen/sd_features/stream_gen_20k_0.20_30_f60_normal_suddendrift,0.5032758918918919,0.5217982432432432,0.5538050810810811,0.5511027567567568,0.5634888648648649,0.6087959729729729,0.47681254054054056
gen/sd_features/stream_gen_20k_0.20_30_f65_normal_suddendrift,0.5901434594594595,0.5517931081081081,0.6446012162162161,0.6133932702702705,0.6570417837837839,0.6713183783783784,0.5308614864864866
gen/sd_features/stream_gen_20k_0.20_30_f70_normal_suddendrift,0.6660219459459459,0.5647280540540539,0.8576803513513515,0.8435952432432433,0.8382076486486486,0.8429811081081081,0.4964032972972974
gen/sd_features/stream_gen_20k_0.20_30_f75_normal_suddendrift,0.6470012162162162,0.6092665945945946,0.9025271891891891,0.8614502432432432,0.9017979729729728,0.9045717297297298,0.4977782432432432
gen/sd_features/stream_gen_20k_0.20_30_f80_normal_suddendrift,0.5469553783783784,0.48694929729729725,0.5496535945945945,0.5643912702702704,0.5271333513513514,0.5591348108108108,0.4975597567567568
gen/sd_features/stream_gen_20k_0.20_30_f85_normal_suddendrift,0.580886972972973,0.6206010540540542,0.7434383513513513,0.6543217837837837,0.7049664054054052,0.7018090270270271,0.47518905405405404
gen/sd_features/stream_gen_20k_0.20_30_f90_normal_suddendrift,0.666096054054054,0.5292961351351352,0.8741750810810811,0.8733169189189188,0.8711134864864863,0.8848196756756758,0.5385036216216217
gen/sd_features/stream_gen_20k_0.20_30_f95_normal_suddendrift,0.6141992162162163,0.5041261621621621,0.7594114324324324,0.7443022702702702,0.7752841351351352,0.8102090000000001,0.5075311621621622
