,MultiSamplingRandomSubspace_mean,KMeanClustering_mean,LearnppCDS_mean,LearnppNIE_mean,REA_mean,OUSE_mean,MLPClassifier_mean
gen/sd_features/stream_gen_20k_0.20_30_f100_normal_suddendrift,0.4261478108108108,0.5386226486486487,0.743829,0.7193227837837839,0.7400055405405406,0.6054011351351352,0.19798375675675672
gen/sd_features/stream_gen_20k_0.20_30_f10_normal_suddendrift,0.30084127027027024,0.2976016756756757,0.3197537027027027,0.2790292972972973,0.3168547837837838,0.26187875675675676,0.33711513513513514
gen/sd_features/stream_gen_20k_0.20_30_f15_normal_suddendrift,0.336455081081081,0.31101383783783787,0.3498027567567568,0.30746486486486485,0.3767461081081081,0.24816959459459462,0.28871740540540547
gen/sd_features/stream_gen_20k_0.20_30_f20_normal_suddendrift,0.3253641081081081,0.3378838648648649,0.3424051891891891,0.299534,0.35166248648648646,0.22692000000000004,0.28205508108108107
gen/sd_features/stream_gen_20k_0.20_30_f25_normal_suddendrift,0.3274737567567567,0.5133848918918918,0.5540033513513513,0.5182066486486486,0.5422072702702703,0.4440152162162162,0.3466721621621621
gen/sd_features/stream_gen_20k_0.20_30_f30_normal_suddendrift,0.4076413243243243,0.5500601891891892,0.6479730810810811,0.5303623783783782,0.6008703243243243,0.4661017027027027,0.2608884864864865
gen/sd_features/stream_gen_20k_0.20_30_f35_normal_suddendrift,0.29760278378378385,0.2695692432432432,0.34806221621621614,0.333409054054054,0.33208045945945946,0.2471645135135135,0.264751972972973
gen/sd_features/stream_gen_20k_0.20_30_f40_normal_suddendrift,0.33907627027027026,0.22694127027027028,0.3227871621621622,0.29229099999999997,0.2871067567567568,0.24118145945945946,0.3366028378378378
gen/sd_features/stream_gen_20k_0.20_30_f45_normal_suddendrift,0.3551882972972973,0.6424135135135135,0.7111587837837838,0.4731505675675677,0.6415526486486485,0.620351918918919,0.36478810810810813
gen/sd_features/stream_gen_20k_0.20_30_f50_normal_suddendrift,0.4880921621621622,0.6507348918918918,0.7966844324324324,0.6590438378378379,0.7907153243243243,0.685448108108108,0.3074537297297297
gen/sd_features/stream_gen_20k_0.20_30_f55_normal_suddendrift,0.40386359459459464,0.32835843243243246,0.38995813513513516,0.32978505405405406,0.37945440540540537,0.3171111621621622,0.2446144864864865
gen/sd_features/stream_gen_20k_0.20_30_f60_normal_suddendrift,0.2165591891891892,0.2806220540540541,0.3302381081081081,0.34023954054054056,0.3299267027027027,0.3330141081081081,0.27639102702702706
gen/sd_features/stream_gen_20k_0.20_30_f65_normal_suddendrift,0.41768697297297297,0.38057078378378384,0.4466808378378379,0.3845640270270271,0.4617445945945947,0.36179402702702707,0.3542026756756757
gen/sd_features/stream_gen_20k_0.20_30_f70_normal_suddendrift,0.4500349999999999,0.4461312432432433,0.6755682162162163,0.6061955135135135,0.636086918918919,0.5255803243243243,0.25320283783783787
gen/sd_features/stream_gen_20k_0.20_30_f75_normal_suddendrift,0.4217946216216217,0.5714552162162163,0.7510547027027027,0.6535838648648647,0.7583587837837839,0.6407024594594594,0.3287347297297298
gen/sd_features/stream_gen_20k_0.20_30_f80_normal_suddendrift,0.28154264864864864,0.29677727027027023,0.34305078378378373,0.3418307837837838,0.2754253783783784,0.2253802162162162,0.20743705405405405
gen/sd_features/stream_gen_20k_0.20_30_f85_normal_suddendrift,0.36807970270270274,0.6038217027027027,0.5799388648648648,0.41389745945945944,0.5772992972972973,0.5119282432432432,0.2253785135135135
gen/sd_features/stream_gen_20k_0.20_30_f90_normal_suddendrift,0.4134545135135136,0.3415728918918919,0.638652945945946,0.6153695675675676,0.6178215675675677,0.5554026486486486,0.31362737837837834
gen/sd_features/stream_gen_20k_0.20_30_f95_normal_suddendrift,0.37805589189189187,0.29466200000000004,0.5406491891891892,0.4820381621621621,0.5612558918918918,0.4784604864864865,0.225225027027027
