,MultiSamplingRandomSubspace_mean,KMeanClustering_mean,LearnppCDS_mean,LearnppNIE_mean,REA_mean,OUSE_mean,MLPClassifier_mean
gen/sd_features/stream_gen_20k_0.20_30_f100_normal_suddendrift,0.7402705405405406,0.22048616216216216,0.904505945945946,0.918968054054054,0.9100408648648649,0.9878276756756755,0.22539010810810808
gen/sd_features/stream_gen_20k_0.20_30_f10_normal_suddendrift,0.5008092702702702,0.5882908918918919,0.5479007297297297,0.6616921621621622,0.5544324864864865,0.9147042702702703,0.2708895675675676
gen/sd_features/stream_gen_20k_0.20_30_f15_normal_suddendrift,0.522491027027027,0.6103237297297297,0.6077469999999999,0.708067864864865,0.6221942162162162,0.9395017837837838,0.1795574594594595
gen/sd_features/stream_gen_20k_0.20_30_f20_normal_suddendrift,0.5242378108108108,0.4751441081081081,0.5144548918918919,0.6403175405405405,0.5445388108108108,0.9036064594594595,0.2247621081081081
gen/sd_features/stream_gen_20k_0.20_30_f25_normal_suddendrift,0.5740770810810811,0.4524862432432433,0.7238057027027027,0.7724151621621621,0.7236588378378378,0.9239734324324324,0.3047132162162163
gen/sd_features/stream_gen_20k_0.20_30_f30_normal_suddendrift,0.7162275135135135,0.41810178378378376,0.7888407027027027,0.8107141351351351,0.7807947567567566,0.9388604864864863,0.20675048648648647
gen/sd_features/stream_gen_20k_0.20_30_f35_normal_suddendrift,0.5221973513513514,0.31752564864864874,0.5185410270270271,0.6702428648648647,0.5299878648648647,0.9298093243243244,0.23245629729729733
gen/sd_features/stream_gen_20k_0.20_30_f40_normal_suddendrift,0.543906945945946,0.3383765675675676,0.5579180540540539,0.6419726486486486,0.6330085945945947,0.8882723513513515,0.24202662162162158
gen/sd_features/stream_gen_20k_0.20_30_f45_normal_suddendrift,0.7476949459459459,0.5595945405405407,0.8411705405405405,0.8115210270270271,0.7578871081081081,0.9213494324324326,0.2584371891891892
gen/sd_features/stream_gen_20k_0.20_30_f50_normal_suddendrift,0.7613013513513514,0.3169727027027027,0.9172923783783784,0.9257562702702702,0.9166282702702704,0.9665472702702702,0.2503559189189189
gen/sd_features/stream_gen_20k_0.20_30_f55_normal_suddendrift,0.6573481621621621,0.26067121621621625,0.5703506216216216,0.6477032162162163,0.602593081081081,0.895862810810811,0.2340727837837838
gen/sd_features/stream_gen_20k_0.20_30_f60_normal_suddendrift,0.6390658648648648,0.31482127027027024,0.5368677567567568,0.5822718918918919,0.5879298648648648,0.9318937027027027,0.19042167567567564
gen/sd_features/stream_gen_20k_0.20_30_f65_normal_suddendrift,0.6063831891891891,0.2540591891891891,0.6178873783783784,0.6674988108108107,0.6364962432432432,0.9328803783783783,0.28280232432432434
gen/sd_features/stream_gen_20k_0.20_30_f70_normal_suddendrift,0.7881868648648648,0.19920686486486483,0.8635621621621621,0.8789480810810811,0.8429692702702701,0.9491286216216216,0.22428775675675672
gen/sd_features/stream_gen_20k_0.20_30_f75_normal_suddendrift,0.7421634324324324,0.248260972972973,0.8931433783783784,0.9102925405405405,0.8875965135135135,0.966871081081081,0.21281483783783783
gen/sd_features/stream_gen_20k_0.20_30_f80_normal_suddendrift,0.6042619729729729,0.12896678378378376,0.5670852972972974,0.6345609729729729,0.5838924054054053,0.9207649729729731,0.23437537837837838
gen/sd_features/stream_gen_20k_0.20_30_f85_normal_suddendrift,0.6069311891891892,0.3204366486486487,0.7391007027027027,0.6816447297297298,0.6526330270270271,0.8783672702702703,0.20565797297297297
gen/sd_features/stream_gen_20k_0.20_30_f90_normal_suddendrift,0.8070673513513514,0.11068616216216216,0.8984271891891891,0.9102030810810812,0.9000635945945947,0.9795162702702701,0.3097849189189189
gen/sd_features/stream_gen_20k_0.20_30_f95_normal_suddendrift,0.7168942972972973,0.08907675675675676,0.7804320540540541,0.8142901081081081,0.8156517837837838,0.978717081081081,0.21705737837837835
