# ,accuracy,balanced_accuracy,recall,precision,cohen_cappa,cappa_m,matthews_corrcoef,harmonic_mean,fbeta_score,auc,f1_score
0, 0.104000, 0.500000, 1.000000, 0.104000, 0.000000, -7.615385, 0.000000, 3.000000, 0.126706, 0.948747, 0.188406
1, 0.084000, 0.373999, 0.734694, 0.074844, -0.051124, -8.346939, -0.391870, 76.636054, 0.091232, 0.932395, 0.135849
2, 0.184000, 0.164444, 0.140000, 0.018817, -0.173763, -7.160000, -0.461327, 5.574118, 0.022757, 0.834756, 0.033175
3, 0.614000, 0.339602, 0.000000, 0.000000, -0.168564, -3.020833, -0.208267, 3.472313, 0.000000, 0.757052, 0.000000
4, 0.842000, 0.471973, 0.000000, 0.000000, -0.073370, -0.462963, -0.079828, 3.059382, 0.000000, 0.523958, 0.000000
5, 0.898000, 0.495585, 0.000000, 0.000000, -0.014966, -0.085106, -0.028926, 3.008909, 0.000000, 0.391057, 0.000000
6, 0.902000, 0.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.000000, 0.000000, 0.250554, 0.000000
7, 0.900000, 0.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.000000, 0.000000, 0.136000, 0.000000
8, 0.902000, 0.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.000000, 0.000000, 0.074302, 0.000000
9, 0.904000, 0.520000, 0.040000, 1.000000, 0.069767, 0.040000, 0.190117, 1.080000, 0.172414, 0.028444, 0.076923
10, 0.902000, 0.510000, 0.020000, 1.000000, 0.035433, 0.020000, 0.134298, 1.040000, 0.092593, 0.028356, 0.039216
11, 0.920000, 0.600000, 0.200000, 1.000000, 0.310345, 0.200000, 0.428571, 1.400000, 0.555556, 0.002178, 0.333333
12, 0.938000, 0.690000, 0.380000, 1.000000, 0.524540, 0.380000, 0.596246, 1.760000, 0.753968, 0.002578, 0.550725
13, 0.956000, 0.775510, 0.551020, 1.000000, 0.688861, 0.551020, 0.724839, 2.102041, 0.859873, 0.002082, 0.710526
14, 0.980000, 0.893617, 0.787234, 1.000000, 0.870204, 0.787234, 0.877628, 2.574468, 0.948718, 0.000329, 0.880952
15, 0.990000, 0.961842, 0.925926, 0.980392, 0.946799, 0.907407, 0.947282, 2.854099, 0.968992, 0.000332, 0.952381
16, 0.994000, 0.978060, 0.958333, 0.978723, 0.965107, 0.937500, 0.965172, 2.918884, 0.974576, 0.000277, 0.968421
17, 0.996000, 0.980392, 0.960784, 1.000000, 0.977779, 0.960784, 0.978020, 2.921569, 0.991903, 0.000000, 0.980000
18, 0.996000, 0.988477, 0.979167, 0.979167, 0.976954, 0.958333, 0.976954, 2.960551, 0.979167, 0.000138, 0.979167
19, 0.996000, 0.997792, 1.000000, 0.959184, 0.976955, 0.957447, 0.977215, 3.004435, 0.967078, 0.000047, 0.979167
20, 0.998000, 0.989796, 0.979592, 1.000000, 0.988583, 0.979592, 0.988648, 2.959184, 0.995851, 0.000045, 0.989691
21, 0.996000, 0.997758, 1.000000, 0.964286, 0.979572, 0.962963, 0.979776, 3.004505, 0.971223, 0.000000, 0.981818
22, 0.996000, 0.988889, 0.980000, 0.980000, 0.977778, 0.960000, 0.977778, 2.962227, 0.980000, 0.000089, 0.980000
23, 0.996000, 0.997788, 1.000000, 0.960000, 0.977376, 0.958333, 0.977626, 3.004444, 0.967742, 0.000000, 0.979592
24, 0.994000, 0.996667, 1.000000, 0.943396, 0.967532, 0.940000, 0.968043, 3.006711, 0.954198, 0.000089, 0.970874
25, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 3.000000, 1.000000, 0.000000, 1.000000
26, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 3.000000, 1.000000, 0.000000, 1.000000
27, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 3.000000, 1.000000, 0.000000, 1.000000
28, 0.998000, 0.998881, 1.000000, 0.981481, 0.989534, 0.981132, 0.989589, 3.002242, 0.985130, 0.000000, 0.990654
29, 0.996000, 0.997797, 1.000000, 0.958333, 0.976517, 0.956522, 0.976786, 3.004425, 0.966387, 0.000000, 0.978723
30, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 3.000000, 1.000000, 0.000000, 1.000000
31, 0.996000, 0.997788, 1.000000, 0.960000, 0.977376, 0.958333, 0.977626, 3.004444, 0.967742, 0.000000, 0.979592
32, 0.998000, 0.998874, 1.000000, 0.982456, 0.990023, 0.982143, 0.990072, 3.002257, 0.985915, 0.000000, 0.991150
33, 0.998000, 0.998891, 1.000000, 0.980000, 0.988789, 0.979592, 0.988851, 3.002222, 0.983936, 0.000045, 0.989899
34, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 3.000000, 1.000000, 0.000000, 1.000000
35, 0.998000, 0.998889, 1.000000, 0.980392, 0.988987, 0.980000, 0.989047, 3.002227, 0.984252, 0.000000, 0.990099
36, 0.996000, 0.989082, 0.980392, 0.980392, 0.978165, 0.960784, 0.978165, 2.963016, 0.980392, 0.000044, 0.980392
