# ,accuracy,balanced_accuracy,recall,precision,cohen_cappa,cappa_m,matthews_corrcoef,harmonic_mean,fbeta_score,auc,f1_score
0, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 3.000000, 1.000000, 0.000000, 1.000000
1, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 3.000000, 1.000000, 0.000000, 1.000000
2, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 3.000000, 1.000000, 0.000000, 1.000000
3, 0.996000, 0.980392, 0.960784, 1.000000, 0.977779, 0.960784, 0.978020, 2.921569, 0.991903, 0.021180, 0.980000
4, 0.448000, 0.694013, 1.000000, 0.150769, 0.110538, -4.632653, 0.241873, 4.577143, 0.181616, 0.000000, 0.262032
5, 0.990000, 0.950980, 0.901961, 1.000000, 0.942933, 0.901961, 0.944472, 2.803922, 0.978723, 0.000000, 0.948454
6, 0.946000, 0.735294, 0.470588, 1.000000, 0.614858, 0.470588, 0.666255, 1.941176, 0.816327, 0.000000, 0.640000
7, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 3.000000, 1.000000, 0.009258, 1.000000
8, 0.964000, 0.828889, 0.660000, 0.970588, 0.766839, 0.640000, 0.783859, 2.322227, 0.887097, 0.000000, 0.785714
9, 0.970000, 0.829545, 0.659091, 1.000000, 0.779074, 0.659091, 0.798812, 2.318182, 0.906250, 0.001146, 0.794521
10, 0.704000, 0.833708, 1.000000, 0.270936, 0.306272, -1.690909, 0.425237, 3.498316, 0.317186, 0.000000, 0.426357
11, 0.510000, 0.729581, 1.000000, 0.160959, 0.137640, -4.212766, 0.271857, 4.177885, 0.193416, 0.002395, 0.277286
12, 0.100000, 0.500000, 1.000000, 0.100000, 0.000000, -8.000000, 0.000000, 3.000000, 0.121951, 0.268978, 0.181818
13, 0.848000, 0.524444, 0.120000, 0.157895, 0.054726, -0.520000, 0.055346, 1.316555, 0.148515, 0.007200, 0.136364
14, 0.938000, 0.929250, 0.918367, 0.625000, 0.709977, 0.367347, 0.727007, 2.900414, 0.667656, 0.004661, 0.743802
15, 0.928000, 0.675556, 0.360000, 0.818182, 0.467456, 0.280000, 0.513583, 1.728969, 0.652174, 0.091244, 0.500000
16, 0.768000, 0.807729, 0.857143, 0.278146, 0.319265, -1.367347, 0.398550, 3.032999, 0.321593, 0.052174, 0.420000
17, 0.922000, 0.947667, 0.979592, 0.558140, 0.669894, 0.204082, 0.705379, 3.051193, 0.610687, 0.073487, 0.711111
18, 0.940000, 0.791820, 0.603774, 0.780488, 0.648333, 0.433962, 0.654844, 2.228095, 0.737327, 0.005318, 0.680851
19, 0.976000, 0.986813, 1.000000, 0.789474, 0.869196, 0.733333, 0.876728, 3.027088, 0.824176, 0.014066, 0.882353
20, 0.932000, 0.687561, 0.377358, 0.952381, 0.511129, 0.358491, 0.575687, 1.756959, 0.729927, 0.000000, 0.540541
21, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 3.000000, 1.000000, 0.015610, 1.000000
22, 0.942000, 0.743046, 0.490566, 0.928571, 0.613663, 0.452830, 0.650819, 1.985626, 0.787879, 0.069752, 0.641975
23, 0.088000, 0.500000, 1.000000, 0.088000, 0.000000, -9.363636, 0.000000, 3.000000, 0.107632, 0.000000, 0.161765
24, 0.998000, 0.990741, 0.981481, 1.000000, 0.989534, 0.981481, 0.989589, 2.962963, 0.996241, 0.092427, 0.990654
25, 0.136000, 0.524229, 1.000000, 0.096234, 0.009283, -8.391304, 0.068289, 22.636364, 0.117467, 0.001915, 0.175573
26, 0.674000, 0.816441, 1.000000, 0.255708, 0.278582, -1.910714, 0.402285, 3.580071, 0.300429, 0.000000, 0.407273
27, 0.996000, 0.981132, 0.962264, 1.000000, 0.978538, 0.962264, 0.978763, 2.924528, 0.992218, 0.000000, 0.980769
28, 0.484000, 0.717724, 1.000000, 0.142857, 0.117128, -5.000000, 0.249413, 4.296482, 0.172414, 0.003867, 0.250000
29, 0.970000, 0.878564, 0.765957, 0.900000, 0.811273, 0.680851, 0.814438, 2.540824, 0.869565, 0.043586, 0.827586
30, 0.902000, 0.670000, 0.380000, 0.513514, 0.384422, 0.020000, 0.389654, 1.801667, 0.479798, 0.008578, 0.436782
31, 0.964000, 0.903417, 0.826923, 0.826923, 0.806834, 0.653846, 0.806834, 2.674347, 0.826923, 0.000687, 0.826923
32, 0.968000, 0.956112, 0.941176, 0.786885, 0.839286, 0.686275, 0.843553, 2.912169, 0.813559, 0.091139, 0.857143
33, 0.894000, 0.807670, 0.698113, 0.500000, 0.523861, 0.000000, 0.533440, 2.486470, 0.530086, 0.000000, 0.582677
34, 0.994000, 0.965909, 0.931818, 1.000000, 0.961432, 0.931818, 0.962148, 2.863636, 0.985577, 0.036508, 0.964706
35, 0.108000, 0.500000, 1.000000, 0.108000, 0.000000, -7.259259, 0.000000, 3.000000, 0.131451, 0.000000, 0.194946
36, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 3.000000, 1.000000, 0.038777, 1.000000
