# ,accuracy,balanced_accuracy,recall,precision,cohen_cappa,cappa_m,matthews_corrcoef,harmonic_mean,fbeta_score,auc,f1_score
0, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 3.000000, 1.000000, 0.000000, 1.000000
1, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 3.000000, 1.000000, 0.000000, 1.000000
2, 0.992000, 0.995556, 1.000000, 0.925926, 0.957082, 0.920000, 0.957964, 3.008969, 0.939850, 0.000044, 0.961538
3, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 3.000000, 1.000000, 0.000000, 1.000000
4, 0.998000, 0.998891, 1.000000, 0.980000, 0.988789, 0.979592, 0.988851, 3.002222, 0.983936, 0.000000, 0.989899
5, 0.996000, 0.997783, 1.000000, 0.960784, 0.977779, 0.959184, 0.978020, 3.004454, 0.968379, 0.000023, 0.980000
6, 0.996000, 0.997783, 1.000000, 0.960784, 0.977779, 0.959184, 0.978020, 3.004454, 0.968379, 0.000000, 0.980000
7, 0.992000, 0.995575, 1.000000, 0.923077, 0.955563, 0.916667, 0.956508, 3.008929, 0.937500, 0.001106, 0.960000
8, 0.994000, 0.996637, 1.000000, 0.947368, 0.969601, 0.944444, 0.970049, 3.006772, 0.957447, 0.000000, 0.972973
9, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 3.000000, 1.000000, 0.000000, 1.000000
10, 0.998000, 0.998894, 1.000000, 0.979592, 0.988583, 0.979167, 0.988648, 3.002217, 0.983607, 0.000000, 0.989691
11, 0.990000, 0.994420, 1.000000, 0.912281, 0.948530, 0.903846, 0.949789, 3.011287, 0.928571, 0.000000, 0.954128
12, 0.982000, 0.990044, 1.000000, 0.842105, 0.904312, 0.812500, 0.908481, 3.020316, 0.869565, 0.000000, 0.914286
13, 0.996000, 0.997773, 1.000000, 0.962264, 0.978538, 0.960784, 0.978763, 3.004474, 0.969582, 0.000000, 0.980769
14, 0.998000, 0.998891, 1.000000, 0.980000, 0.988789, 0.979592, 0.988851, 3.002222, 0.983936, 0.001109, 0.989899
15, 0.990000, 0.994457, 1.000000, 0.907407, 0.945897, 0.897959, 0.947284, 3.011211, 0.924528, 0.001109, 0.951456
16, 0.992000, 0.995556, 1.000000, 0.925926, 0.957082, 0.920000, 0.957964, 3.008969, 0.939850, 0.000000, 0.961538
17, 0.998000, 0.998889, 1.000000, 0.980392, 0.988987, 0.980000, 0.989047, 3.002227, 0.984252, 0.000000, 0.990099
18, 0.988000, 0.993289, 1.000000, 0.898305, 0.939694, 0.886792, 0.941407, 3.013605, 0.916955, 0.000000, 0.946429
19, 0.998000, 0.998894, 1.000000, 0.979592, 0.988583, 0.979167, 0.988648, 3.002217, 0.983607, 0.000000, 0.989691
20, 0.994000, 0.996667, 1.000000, 0.943396, 0.967532, 0.940000, 0.968043, 3.006711, 0.954198, 0.002222, 0.970874
21, 0.994000, 0.996667, 1.000000, 0.943396, 0.967532, 0.940000, 0.968043, 3.006711, 0.954198, 0.001111, 0.970874
22, 0.998000, 0.998899, 1.000000, 0.978723, 0.988145, 0.978261, 0.988214, 3.002208, 0.982906, 0.000000, 0.989247
23, 0.988000, 0.993333, 1.000000, 0.892857, 0.936709, 0.880000, 0.938591, 3.013514, 0.912409, 0.002222, 0.943396
24, 0.998000, 0.998886, 1.000000, 0.980769, 0.989177, 0.980392, 0.989234, 3.002232, 0.984556, 0.000000, 0.990291
25, 0.996000, 0.997758, 1.000000, 0.964286, 0.979572, 0.962963, 0.979776, 3.004505, 0.971223, 0.001121, 0.981818
26, 0.996000, 0.997807, 1.000000, 0.956522, 0.975581, 0.954545, 0.975872, 3.004405, 0.964912, 0.000000, 0.977778
27, 0.998000, 0.998891, 1.000000, 0.980000, 0.988789, 0.979592, 0.988851, 3.002222, 0.983936, 0.000000, 0.989899
28, 0.998000, 0.998879, 1.000000, 0.981818, 0.989703, 0.981481, 0.989756, 3.002247, 0.985401, 0.001121, 0.990826
29, 0.988000, 0.993348, 1.000000, 0.890909, 0.935636, 0.877551, 0.937580, 3.013483, 0.910781, 0.000000, 0.942308
30, 0.994000, 0.996652, 1.000000, 0.945455, 0.968606, 0.942308, 0.969084, 3.006742, 0.955882, 0.002232, 0.971963
31, 0.986000, 0.992291, 1.000000, 0.867925, 0.921567, 0.847826, 0.924415, 3.015660, 0.891473, 0.002203, 0.929293
32, 0.996000, 0.997773, 1.000000, 0.962264, 0.978538, 0.960784, 0.978763, 3.004474, 0.969582, 0.001114, 0.980769
33, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 3.000000, 1.000000, 0.000000, 1.000000
34, 0.996000, 0.997758, 1.000000, 0.964286, 0.979572, 0.962963, 0.979776, 3.004505, 0.971223, 0.000000, 0.981818
35, 0.996000, 0.997812, 1.000000, 0.955556, 0.975081, 0.953488, 0.975384, 3.004396, 0.964126, 0.000000, 0.977273
36, 0.990000, 0.994469, 1.000000, 0.905660, 0.944948, 0.895833, 0.946384, 3.011186, 0.923077, 0.000000, 0.950495
