# ,accuracy,balanced_accuracy,recall,precision,cohen_cappa,cappa_m,matthews_corrcoef,harmonic_mean,fbeta_score,auc,f1_score
0, 0.996000, 0.979167, 0.958333, 1.000000, 0.976517, 0.958333, 0.976786, 2.916667, 0.991379, 0.000254, 0.978723
1, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 3.000000, 1.000000, 0.000000, 1.000000
2, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 3.000000, 1.000000, 0.000000, 1.000000
3, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 3.000000, 1.000000, 0.000000, 1.000000
4, 0.998000, 0.998891, 1.000000, 0.980000, 0.988789, 0.979592, 0.988851, 3.002222, 0.983936, 0.000000, 0.989899
5, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 3.000000, 1.000000, 0.000000, 1.000000
6, 0.994000, 0.996667, 1.000000, 0.943396, 0.967532, 0.940000, 0.968043, 3.006711, 0.954198, 0.000089, 0.970874
7, 0.990000, 0.994444, 1.000000, 0.909091, 0.946809, 0.900000, 0.948151, 3.011236, 0.925926, 0.000067, 0.952381
8, 0.998000, 0.990196, 0.980392, 1.000000, 0.988987, 0.980392, 0.989047, 2.960784, 0.996016, 0.000000, 0.990099
9, 0.998000, 0.989362, 0.978723, 1.000000, 0.988145, 0.978723, 0.988214, 2.957447, 0.995671, 0.000000, 0.989247
10, 0.988000, 0.984253, 0.979592, 0.905660, 0.934506, 0.877551, 0.935398, 2.970394, 0.919540, 0.000249, 0.941176
11, 0.998000, 0.990385, 0.980769, 1.000000, 0.989177, 0.980769, 0.989234, 2.961538, 0.996094, 0.000021, 0.990291
12, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 3.000000, 1.000000, 0.000000, 1.000000
13, 0.994000, 0.979279, 0.960784, 0.980000, 0.966960, 0.941176, 0.967019, 2.923801, 0.976096, 0.000087, 0.970297
14, 0.996000, 0.988687, 0.979592, 0.979592, 0.977375, 0.959184, 0.977375, 2.961406, 0.979592, 0.000068, 0.979592
15, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 3.000000, 1.000000, 0.000089, 1.000000
16, 0.996000, 0.988477, 0.979167, 0.979167, 0.976954, 0.958333, 0.976954, 2.960551, 0.979167, 0.000207, 0.979167
17, 0.990000, 0.967778, 0.940000, 0.959184, 0.943946, 0.900000, 0.944006, 2.884464, 0.955285, 0.000511, 0.949495
18, 0.990000, 0.985361, 0.979592, 0.923077, 0.944939, 0.897959, 0.945455, 2.968132, 0.933852, 0.000226, 0.950495
19, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 3.000000, 1.000000, 0.000000, 1.000000
20, 0.988000, 0.984253, 0.979592, 0.905660, 0.934506, 0.877551, 0.935398, 2.970394, 0.919540, 0.000113, 0.941176
21, 0.998000, 0.998889, 1.000000, 0.980392, 0.988987, 0.980000, 0.989047, 3.002227, 0.984252, 0.000044, 0.990099
22, 0.996000, 0.988889, 0.980000, 0.980000, 0.977778, 0.960000, 0.977778, 2.962227, 0.980000, 0.000067, 0.980000
23, 0.992000, 0.966290, 0.934783, 0.977273, 0.951162, 0.913043, 0.951446, 2.871773, 0.968468, 0.000024, 0.955556
24, 0.996000, 0.989447, 0.981132, 0.981132, 0.978895, 0.962264, 0.978895, 2.964506, 0.981132, 0.000084, 0.981132
25, 0.998000, 0.990385, 0.980769, 1.000000, 0.989177, 0.980769, 0.989234, 2.961538, 0.996094, 0.000021, 0.990291
26, 0.996000, 0.997792, 1.000000, 0.959184, 0.976955, 0.957447, 0.977215, 3.004435, 0.967078, 0.000141, 0.979167
27, 0.998000, 0.989583, 0.979167, 1.000000, 0.988369, 0.979167, 0.988436, 2.958333, 0.995763, 0.000000, 0.989474
28, 0.998000, 0.998876, 1.000000, 0.982143, 0.989866, 0.981818, 0.989917, 3.002252, 0.985663, 0.000000, 0.990991
29, 0.998000, 0.998891, 1.000000, 0.980000, 0.988789, 0.979592, 0.988851, 3.002222, 0.983936, 0.000158, 0.989899
30, 0.996000, 0.997788, 1.000000, 0.960000, 0.977376, 0.958333, 0.977626, 3.004444, 0.967742, 0.000023, 0.979592
31, 0.996000, 0.987790, 0.977778, 0.977778, 0.975580, 0.955556, 0.975580, 2.957758, 0.977778, 0.000195, 0.977778
32, 0.998000, 0.998881, 1.000000, 0.981481, 0.989534, 0.981132, 0.989589, 3.002242, 0.985130, 0.000042, 0.990654
33, 0.994000, 0.987579, 0.979592, 0.960000, 0.966368, 0.938776, 0.966428, 2.963638, 0.963855, 0.000249, 0.969697
34, 0.998000, 0.989362, 0.978723, 1.000000, 0.988145, 0.978723, 0.988214, 2.957447, 0.995671, 0.000094, 0.989247
35, 0.998000, 0.991071, 0.982143, 1.000000, 0.989866, 0.982143, 0.989917, 2.964286, 0.996377, 0.000020, 0.990991
36, 0.988000, 0.963370, 0.933333, 0.933333, 0.926740, 0.866667, 0.926740, 2.873304, 0.933333, 0.000293, 0.933333
