# ,accuracy,balanced_accuracy,recall,precision,cohen_cappa,cappa_m,matthews_corrcoef,harmonic_mean,fbeta_score,auc,f1_score
0, 0.976000, 0.986667, 1.000000, 0.806452, 0.879518, 0.760000, 0.885972, 3.027397, 0.838926, 0.000089, 0.892857
1, 0.978000, 0.953726, 0.923077, 0.872727, 0.884889, 0.788462, 0.885325, 2.862027, 0.882353, 0.000000, 0.897196
2, 0.972000, 0.949648, 0.921569, 0.824561, 0.854730, 0.725490, 0.856391, 2.865916, 0.842294, 0.000066, 0.870370
3, 0.994000, 0.987371, 0.979167, 0.959184, 0.965750, 0.937500, 0.965813, 2.962778, 0.963115, 0.000000, 0.969072
4, 0.984000, 0.967109, 0.945455, 0.912281, 0.919566, 0.854545, 0.919752, 2.902273, 0.918728, 0.000000, 0.928571
5, 0.968000, 0.938148, 0.902439, 0.755102, 0.804792, 0.609756, 0.808653, 2.831724, 0.780591, 0.000000, 0.822222
6, 0.984000, 0.982893, 0.981481, 0.883333, 0.920823, 0.851852, 0.922451, 2.978908, 0.901361, 0.000125, 0.929825
7, 0.990000, 0.985556, 0.980000, 0.924528, 0.945887, 0.900000, 0.946386, 2.968969, 0.935115, 0.000000, 0.951456
8, 0.974000, 0.966999, 0.958333, 0.807018, 0.861784, 0.729167, 0.865757, 2.941610, 0.833333, 0.000115, 0.876190
9, 0.974000, 0.966999, 0.958333, 0.807018, 0.861784, 0.729167, 0.865757, 2.941610, 0.833333, 0.000000, 0.876190
10, 0.976000, 0.939082, 0.893617, 0.857143, 0.861732, 0.744681, 0.861961, 2.802929, 0.864198, 0.000000, 0.875000
11, 0.972000, 0.959890, 0.944444, 0.822581, 0.863558, 0.740741, 0.866195, 2.914176, 0.844371, 0.000602, 0.879310
12, 0.970000, 0.973909, 0.978723, 0.766667, 0.843293, 0.680851, 0.851180, 2.989337, 0.801394, 0.000000, 0.859813
13, 0.974000, 0.966146, 0.956522, 0.800000, 0.856954, 0.717391, 0.861188, 2.937874, 0.827068, 0.000000, 0.871287
14, 0.968000, 0.964802, 0.960784, 0.777778, 0.841816, 0.686275, 0.847804, 2.953753, 0.808581, 0.000109, 0.859649
15, 0.978000, 0.937803, 0.886792, 0.903846, 0.882949, 0.792453, 0.882999, 2.784897, 0.900383, 0.000000, 0.895238
16, 0.964000, 0.969773, 0.976744, 0.711864, 0.804033, 0.581395, 0.816516, 2.992125, 0.752688, 0.000000, 0.823529
17, 0.968000, 0.925095, 0.870370, 0.839286, 0.836575, 0.703704, 0.836749, 2.761336, 0.845324, 0.000519, 0.854545
18, 0.962000, 0.949770, 0.934783, 0.728814, 0.798182, 0.586957, 0.805902, 2.906095, 0.762411, 0.000000, 0.819048
19, 0.968000, 0.940526, 0.905660, 0.813559, 0.839183, 0.698113, 0.840713, 2.836550, 0.830450, 0.000000, 0.857143
20, 0.974000, 0.960512, 0.943396, 0.833333, 0.870363, 0.754717, 0.872491, 2.909676, 0.853242, 0.000084, 0.884956
21, 0.980000, 0.988938, 1.000000, 0.827586, 0.894586, 0.791667, 0.899598, 3.022624, 0.857143, 0.000000, 0.905660
22, 0.992000, 0.995526, 1.000000, 0.929825, 0.959149, 0.924528, 0.959950, 3.009029, 0.943060, 0.000084, 0.963636
23, 0.972000, 0.974149, 0.976744, 0.763636, 0.841879, 0.674419, 0.849720, 2.982768, 0.798479, 0.000153, 0.857143
24, 0.978000, 0.964205, 0.946429, 0.868852, 0.893551, 0.803571, 0.894599, 2.911206, 0.883333, 0.000302, 0.905983
25, 0.974000, 0.920446, 0.854167, 0.872340, 0.848795, 0.729167, 0.848852, 2.721786, 0.868644, 0.000000, 0.863158
26, 0.964000, 0.938289, 0.905660, 0.786885, 0.821902, 0.660377, 0.824489, 2.841275, 0.808081, 0.000654, 0.842105
27, 0.966000, 0.970376, 0.975610, 0.714286, 0.806413, 0.585366, 0.818441, 2.987337, 0.754717, 0.000213, 0.824742
28, 0.958000, 0.910123, 0.847458, 0.806452, 0.802572, 0.644068, 0.802892, 2.722887, 0.814332, 0.000711, 0.826446
29, 0.952000, 0.953150, 0.954545, 0.656250, 0.751902, 0.454545, 0.768506, 2.959782, 0.700000, 0.000249, 0.777778
30, 0.974000, 0.942072, 0.901961, 0.851852, 0.861679, 0.745098, 0.862118, 2.822062, 0.861423, 0.000393, 0.876190
31, 0.970000, 0.964375, 0.957447, 0.775862, 0.840588, 0.680851, 0.846392, 2.944439, 0.806452, 0.000117, 0.857143
32, 0.974000, 0.957048, 0.936170, 0.814815, 0.856904, 0.723404, 0.859459, 2.894914, 0.836502, 0.000000, 0.871287
33, 0.972000, 0.967709, 0.962264, 0.809524, 0.863606, 0.735849, 0.867734, 2.952115, 0.836066, 0.000443, 0.879310
34, 0.952000, 0.905191, 0.847826, 0.696429, 0.738266, 0.478261, 0.742695, 2.734554, 0.722222, 0.000527, 0.764706
35, 0.970000, 0.974906, 0.981132, 0.787879, 0.857154, 0.716981, 0.863799, 2.994597, 0.820189, 0.000000, 0.873950
36, 0.978000, 0.979224, 0.980769, 0.836066, 0.890342, 0.788462, 0.893947, 2.984370, 0.861486, 0.000365, 0.902655
