# ,accuracy,balanced_accuracy,recall,precision,cohen_cappa,cappa_m,matthews_corrcoef,harmonic_mean,fbeta_score,auc,f1_score
0, 0.916000, 0.947368, 1.000000, 0.706294, 0.774470, 0.584158, 0.794951, 3.117647, 0.750371, 0.015410, 0.827869
1, 0.942000, 0.956250, 0.980000, 0.784000, 0.834286, 0.710000, 0.842931, 3.032386, 0.816667, 0.015500, 0.871111
2, 0.918000, 0.933572, 0.959184, 0.717557, 0.769207, 0.581633, 0.782832, 3.019737, 0.755627, 0.022439, 0.820961
3, 0.918000, 0.941250, 0.980000, 0.715328, 0.774973, 0.590000, 0.791464, 3.068033, 0.756173, 0.020125, 0.827004
4, 0.896000, 0.927656, 0.979381, 0.655172, 0.720039, 0.463918, 0.745358, 3.100406, 0.701625, 0.013712, 0.785124
5, 0.918000, 0.944687, 0.990385, 0.720280, 0.781347, 0.605769, 0.798816, 3.093129, 0.761834, 0.011048, 0.834008
6, 0.934000, 0.943276, 0.958333, 0.760331, 0.806492, 0.656250, 0.815301, 2.994000, 0.793103, 0.015006, 0.847926
7, 0.920000, 0.942308, 0.981308, 0.734266, 0.788131, 0.626168, 0.802862, 3.069659, 0.773196, 0.017764, 0.840000
8, 0.940000, 0.958901, 0.989583, 0.766129, 0.825970, 0.687500, 0.837086, 3.056500, 0.802365, 0.014890, 0.863636
9, 0.930000, 0.952712, 0.989583, 0.736434, 0.800529, 0.635417, 0.815074, 3.071059, 0.776144, 0.023631, 0.844444
10, 0.938000, 0.946577, 0.961165, 0.785714, 0.824946, 0.699029, 0.831993, 2.995303, 0.815486, 0.019955, 0.864629
11, 0.930000, 0.945000, 0.970000, 0.751938, 0.802706, 0.650000, 0.813651, 3.026957, 0.787338, 0.014963, 0.847162
12, 0.946000, 0.965736, 1.000000, 0.796992, 0.852142, 0.745283, 0.861613, 3.073569, 0.830721, 0.021598, 0.887029
13, 0.852000, 0.888750, 0.950000, 0.579268, 0.627016, 0.260000, 0.662428, 3.108459, 0.628307, 0.031075, 0.719697
14, 0.926000, 0.946266, 0.979381, 0.730769, 0.790440, 0.618557, 0.804619, 3.053872, 0.769854, 0.010105, 0.837004
15, 0.930000, 0.937341, 0.949495, 0.758065, 0.798730, 0.646465, 0.807115, 2.979852, 0.789916, 0.017595, 0.843049
16, 0.918000, 0.941332, 0.978723, 0.702290, 0.766706, 0.563830, 0.784285, 3.063714, 0.744337, 0.017425, 0.817778
17, 0.916000, 0.936276, 0.970297, 0.715328, 0.770055, 0.584158, 0.785462, 3.048927, 0.755008, 0.009752, 0.823529
18, 0.940000, 0.948403, 0.963303, 0.801527, 0.835962, 0.724771, 0.842077, 2.997838, 0.829384, 0.013574, 0.875000
19, 0.904000, 0.932776, 0.978022, 0.659259, 0.728599, 0.472527, 0.752250, 3.082766, 0.705230, 0.020285, 0.787611
20, 0.916000, 0.943591, 0.990196, 0.711268, 0.774271, 0.588235, 0.792808, 3.095238, 0.753731, 0.018179, 0.827869
21, 0.916000, 0.944049, 0.989583, 0.698529, 0.766376, 0.562500, 0.786081, 3.092114, 0.742187, 0.013781, 0.818966
22, 0.936000, 0.944885, 0.959596, 0.772358, 0.815341, 0.676768, 0.823274, 2.994259, 0.803723, 0.009030, 0.855856
23, 0.938000, 0.957263, 0.990476, 0.776119, 0.830342, 0.704762, 0.841001, 3.063144, 0.811232, 0.018505, 0.870293
24, 0.912000, 0.926119, 0.949495, 0.706767, 0.754645, 0.555556, 0.768585, 3.006725, 0.744849, 0.013917, 0.810345
25, 0.930000, 0.937341, 0.949495, 0.758065, 0.798730, 0.646465, 0.807115, 2.979852, 0.789916, 0.014421, 0.843049
26, 0.928000, 0.940000, 0.960000, 0.750000, 0.796380, 0.640000, 0.806559, 3.006957, 0.784314, 0.010163, 0.842105
27, 0.930000, 0.952609, 0.989796, 0.740458, 0.802981, 0.642857, 0.817205, 3.071983, 0.779743, 0.014570, 0.847162
28, 0.936000, 0.956153, 0.990196, 0.765152, 0.822364, 0.686275, 0.834011, 3.064861, 0.801587, 0.015901, 0.863248
29, 0.936000, 0.956103, 0.990291, 0.766917, 0.823403, 0.689320, 0.834926, 3.065282, 0.803150, 0.011592, 0.864407
30, 0.928000, 0.943593, 0.969072, 0.740157, 0.793961, 0.628866, 0.805929, 3.027334, 0.776860, 0.023433, 0.839286
31, 0.872000, 0.920000, 1.000000, 0.609756, 0.677419, 0.360000, 0.715678, 3.190476, 0.661376, 0.011513, 0.757576
32, 0.956000, 0.957354, 0.959596, 0.840708, 0.868462, 0.777778, 0.871521, 2.966189, 0.862069, 0.013691, 0.896226
33, 0.902000, 0.927496, 0.971154, 0.687075, 0.741899, 0.528846, 0.761694, 3.073736, 0.729769, 0.010684, 0.804781
34, 0.950000, 0.956949, 0.968085, 0.805310, 0.848035, 0.734043, 0.853748, 2.993462, 0.833333, 0.016337, 0.879227
35, 0.920000, 0.927691, 0.940594, 0.736434, 0.775134, 0.603960, 0.784919, 2.974339, 0.769854, 0.035398, 0.826087
36, 0.910000, 0.928750, 0.960000, 0.700730, 0.753019, 0.550000, 0.769043, 3.034206, 0.740741, 0.017763, 0.810127
