# ,accuracy,balanced_accuracy,recall,precision,cohen_cappa,cappa_m,matthews_corrcoef,harmonic_mean,fbeta_score,auc,f1_score
0, 0.998000, 0.993333, 0.986667, 1.000000, 0.992114, 0.986667, 0.992144, 2.973333, 0.997305, 0.000000, 0.993289
1, 0.996000, 0.986842, 0.973684, 1.000000, 0.984314, 0.973684, 0.984435, 2.947368, 0.994624, 0.000000, 0.986667
2, 0.994000, 0.979167, 0.958333, 1.000000, 0.975233, 0.958333, 0.975532, 2.916667, 0.991379, 0.000000, 0.978723
3, 0.994000, 0.980000, 0.960000, 1.000000, 0.976077, 0.960000, 0.976356, 2.920000, 0.991736, 0.000031, 0.979592
4, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 3.000000, 1.000000, 0.000000, 1.000000
5, 0.986000, 0.952055, 0.904110, 1.000000, 0.941534, 0.904110, 0.943147, 2.808219, 0.979228, 0.000032, 0.949640
6, 0.998000, 0.993243, 0.986486, 1.000000, 0.992025, 0.986486, 0.992057, 2.972973, 0.997268, 0.000000, 0.993197
7, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 3.000000, 1.000000, 0.000000, 1.000000
8, 0.996000, 0.987013, 0.974026, 1.000000, 0.984484, 0.974026, 0.984603, 2.948052, 0.994695, 0.000092, 0.986842
9, 0.986000, 0.951389, 0.902778, 1.000000, 0.940818, 0.902778, 0.942470, 2.805556, 0.978916, 0.000000, 0.948905
10, 0.996000, 0.987654, 0.975309, 1.000000, 0.985119, 0.975309, 0.985229, 2.950617, 0.994962, 0.000000, 0.987500
11, 0.996000, 0.991272, 0.984848, 0.984848, 0.982544, 0.969697, 0.982544, 2.972006, 0.984848, 0.000000, 0.984848
12, 0.992000, 0.973684, 0.947368, 1.000000, 0.968282, 0.947368, 0.968770, 2.894737, 0.989011, 0.000000, 0.972973
13, 0.998000, 0.993243, 0.986486, 1.000000, 0.992025, 0.986486, 0.992057, 2.972973, 0.997268, 0.000000, 0.993197
14, 0.996000, 0.986486, 0.972973, 1.000000, 0.983960, 0.972973, 0.984087, 2.945946, 0.994475, 0.000063, 0.986301
15, 0.994000, 0.980263, 0.960526, 1.000000, 0.976342, 0.960526, 0.976616, 2.921053, 0.991848, 0.000000, 0.979866
16, 0.992000, 0.972603, 0.945205, 1.000000, 0.967173, 0.945205, 0.967695, 2.890411, 0.988539, 0.000000, 0.971831
17, 0.992000, 0.973684, 0.947368, 1.000000, 0.968282, 0.947368, 0.968770, 2.894737, 0.989011, 0.000000, 0.972973
18, 0.992000, 0.972222, 0.944444, 1.000000, 0.966782, 0.944444, 0.967316, 2.888889, 0.988372, 0.000000, 0.971429
19, 0.998000, 0.992958, 0.985915, 1.000000, 0.991744, 0.985915, 0.991778, 2.971831, 0.997151, 0.000230, 0.992908
20, 0.998000, 0.994048, 0.988095, 1.000000, 0.992812, 0.988095, 0.992837, 2.976190, 0.997596, 0.000000, 0.994012
21, 0.992000, 0.968750, 0.937500, 1.000000, 0.963181, 0.937500, 0.963835, 2.875000, 0.986842, 0.000000, 0.967742
22, 0.996000, 0.987654, 0.975309, 1.000000, 0.985119, 0.975309, 0.985229, 2.950617, 0.994962, 0.000000, 0.987500
23, 0.992000, 0.972222, 0.944444, 1.000000, 0.966782, 0.944444, 0.967316, 2.888889, 0.988372, 0.001898, 0.971429
24, 0.992000, 0.974026, 0.948052, 1.000000, 0.968631, 0.948052, 0.969108, 2.896104, 0.989160, 0.000000, 0.973333
25, 0.996000, 0.992634, 0.987654, 0.987654, 0.985268, 0.975309, 0.985268, 2.977701, 0.987654, 0.000000, 0.987654
26, 0.996000, 0.985294, 0.970588, 1.000000, 0.982766, 0.970588, 0.982912, 2.941176, 0.993976, 0.000034, 0.985075
27, 0.996000, 0.987179, 0.974359, 1.000000, 0.984649, 0.974359, 0.984765, 2.948718, 0.994764, 0.000061, 0.987013
28, 0.992000, 0.976471, 0.952941, 1.000000, 0.971111, 0.952941, 0.971516, 2.905882, 0.990220, 0.000000, 0.975904
29, 0.996000, 0.984127, 0.968254, 1.000000, 0.981589, 0.968254, 0.981755, 2.936508, 0.993485, 0.000000, 0.983871
30, 0.992000, 0.969697, 0.939394, 1.000000, 0.964168, 0.939394, 0.964788, 2.878788, 0.987261, 0.000000, 0.968750
31, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 3.000000, 1.000000, 0.000516, 1.000000
32, 0.994000, 0.981928, 0.963855, 1.000000, 0.978012, 0.963855, 0.978249, 2.927711, 0.992556, 0.000043, 0.981595
33, 0.990000, 0.963768, 0.927536, 1.000000, 0.956648, 0.927536, 0.957549, 2.855072, 0.984615, 0.000000, 0.962406
34, 0.994000, 0.979452, 0.958904, 1.000000, 0.975522, 0.958904, 0.975815, 2.917808, 0.991501, 0.000000, 0.979021
35, 0.990000, 0.968354, 0.936709, 1.000000, 0.961425, 0.936709, 0.962141, 2.873418, 0.986667, 0.000000, 0.967320
36, 0.998000, 0.993333, 0.986667, 1.000000, 0.992114, 0.986667, 0.992144, 2.973333, 0.997305, 0.000000, 0.993289
