# ,accuracy,balanced_accuracy,recall,precision,cohen_cappa,cappa_m,matthews_corrcoef,harmonic_mean,fbeta_score,auc,f1_score
0, 0.930000, 0.783137, 0.573333, 0.934783, 0.673507, 0.533333, 0.699593, 2.153776, 0.830116, 0.007059, 0.710744
1, 0.968000, 0.916336, 0.842105, 0.941176, 0.870265, 0.789474, 0.872101, 2.693734, 0.919540, 0.000993, 0.888889
2, 0.982000, 0.954829, 0.916667, 0.956522, 0.925698, 0.875000, 0.925982, 2.840392, 0.948276, 0.000325, 0.936170
3, 0.998000, 0.993333, 0.986667, 1.000000, 0.992114, 0.986667, 0.992144, 2.973333, 0.997305, 0.000031, 0.993289
4, 0.996000, 0.986842, 0.973684, 1.000000, 0.984314, 0.973684, 0.984435, 2.947368, 0.994624, 0.000000, 0.986667
5, 0.998000, 0.993151, 0.986301, 1.000000, 0.991934, 0.986301, 0.991966, 2.972603, 0.997230, 0.000064, 0.993103
6, 0.998000, 0.998826, 1.000000, 0.986667, 0.992114, 0.986486, 0.992144, 3.002353, 0.989305, 0.000000, 0.993289
7, 0.998000, 0.993590, 0.987179, 1.000000, 0.992365, 0.987179, 0.992394, 2.974359, 0.997409, 0.000000, 0.993548
8, 0.998000, 0.998818, 1.000000, 0.987179, 0.992365, 0.987013, 0.992394, 3.002370, 0.989717, 0.000000, 0.993548
9, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 3.000000, 1.000000, 0.000000, 1.000000
10, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 3.000000, 1.000000, 0.000000, 1.000000
11, 0.998000, 0.992424, 0.984848, 1.000000, 0.991216, 0.984848, 0.991254, 2.969697, 0.996933, 0.000070, 0.992366
12, 0.996000, 0.997642, 1.000000, 0.974359, 0.984649, 0.973684, 0.984765, 3.004739, 0.979381, 0.000000, 0.987013
13, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 3.000000, 1.000000, 0.000000, 1.000000
14, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 3.000000, 1.000000, 0.000000, 1.000000
15, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 3.000000, 1.000000, 0.000000, 1.000000
16, 0.998000, 0.998829, 1.000000, 0.986486, 0.992025, 0.986301, 0.992057, 3.002347, 0.989160, 0.000000, 0.993197
17, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 3.000000, 1.000000, 0.000000, 1.000000
18, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 3.000000, 1.000000, 0.000000, 1.000000
19, 0.996000, 0.991792, 0.985915, 0.985915, 0.983584, 0.971831, 0.983584, 2.974167, 0.985915, 0.000033, 0.985915
20, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 3.000000, 1.000000, 0.000000, 1.000000
21, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 3.000000, 1.000000, 0.000000, 1.000000
22, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 3.000000, 1.000000, 0.000000, 1.000000
23, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 3.000000, 1.000000, 0.000000, 1.000000
24, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 3.000000, 1.000000, 0.000000, 1.000000
25, 0.998000, 0.998807, 1.000000, 0.987805, 0.992670, 0.987654, 0.992697, 3.002392, 0.990220, 0.000029, 0.993865
26, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 3.000000, 1.000000, 0.000000, 1.000000
27, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 3.000000, 1.000000, 0.000000, 1.000000
28, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 3.000000, 1.000000, 0.000000, 1.000000
29, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 3.000000, 1.000000, 0.000000, 1.000000
30, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 3.000000, 1.000000, 0.000000, 1.000000
31, 0.998000, 0.993590, 0.987179, 1.000000, 0.992365, 0.987179, 0.992394, 2.974359, 0.997409, 0.000030, 0.993548
32, 0.996000, 0.987952, 0.975904, 1.000000, 0.985413, 0.975904, 0.985518, 2.951807, 0.995086, 0.000058, 0.987805
33, 0.996000, 0.985507, 0.971014, 1.000000, 0.982980, 0.971014, 0.983122, 2.942029, 0.994065, 0.000000, 0.985294
34, 0.998000, 0.993151, 0.986301, 1.000000, 0.991934, 0.986301, 0.991966, 2.972603, 0.997230, 0.000000, 0.993103
35, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 3.000000, 1.000000, 0.000000, 1.000000
36, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 3.000000, 1.000000, 0.000000, 1.000000
