# ,accuracy,balanced_accuracy,recall,precision,cohen_cappa,cappa_m,matthews_corrcoef,harmonic_mean,fbeta_score,auc,f1_score
0, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 3.000000, 1.000000, 0.000944, 1.000000
1, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 3.000000, 1.000000, 0.000000, 1.000000
2, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 3.000000, 1.000000, 0.000361, 1.000000
3, 0.620000, 0.721305, 0.993631, 0.452174, 0.334128, -0.210191, 0.444164, 4.214534, 0.507482, 0.007911, 0.621514
4, 0.962000, 0.954352, 0.934641, 0.940789, 0.910367, 0.875817, 0.910377, 2.895908, 0.939553, 0.001771, 0.937705
5, 0.912000, 0.938547, 1.000000, 0.763441, 0.802116, 0.690141, 0.818297, 3.140127, 0.801354, 0.003836, 0.865854
6, 0.930000, 0.942485, 0.972789, 0.821839, 0.839955, 0.761905, 0.846431, 3.041852, 0.848161, 0.002910, 0.890966
7, 0.646000, 0.741702, 0.993548, 0.466667, 0.368759, -0.141935, 0.471958, 4.028517, 0.522034, 0.009294, 0.635052
8, 0.314000, 0.500000, 1.000000, 0.314000, 0.000000, -1.184713, 0.000000, 3.000000, 0.363931, 0.001653, 0.477930
9, 0.286000, 0.502786, 1.000000, 0.283133, 0.003150, -1.531915, 0.039716, 181.500000, 0.330520, 0.001027, 0.441315
10, 0.292000, 0.501408, 1.000000, 0.290581, 0.001636, -1.441379, 0.028610, 357.000000, 0.338627, 0.000000, 0.450311
11, 0.944000, 0.959538, 1.000000, 0.846154, 0.874937, 0.818182, 0.881861, 3.088050, 0.873016, 0.005386, 0.916667
12, 0.440000, 0.595376, 1.000000, 0.354839, 0.126790, -0.818182, 0.260165, 7.242424, 0.407407, 0.000150, 0.523810
13, 0.520000, 0.660057, 1.000000, 0.379845, 0.216823, -0.632653, 0.348702, 5.123894, 0.433628, 0.033647, 0.550562
14, 0.294000, 0.500000, 1.000000, 0.294000, 0.000000, -1.401361, 0.000000, 3.000000, 0.342338, 0.007786, 0.454405
15, 0.720000, 0.799427, 1.000000, 0.518900, 0.474151, 0.072848, 0.557445, 3.669856, 0.574144, 0.067800, 0.683258
16, 0.460000, 0.610951, 1.000000, 0.361702, 0.148598, -0.764706, 0.283306, 6.506494, 0.414634, 0.002241, 0.531250
17, 0.646000, 0.747143, 1.000000, 0.458716, 0.369658, -0.180000, 0.476169, 4.023121, 0.514403, 0.007905, 0.628931
18, 0.282000, 0.500000, 1.000000, 0.282000, 0.000000, -1.546099, 0.000000, 3.000000, 0.329285, 0.005136, 0.439938
19, 0.314000, 0.500000, 1.000000, 0.314000, 0.000000, -1.184713, 0.000000, 3.000000, 0.363931, 0.000149, 0.477930
20, 0.854000, 0.895714, 1.000000, 0.672646, 0.694816, 0.513333, 0.729624, 3.263538, 0.719770, 0.000914, 0.804290
21, 0.906000, 0.933616, 1.000000, 0.756477, 0.792300, 0.678082, 0.809963, 3.153094, 0.795207, 0.007178, 0.861357
22, 0.838000, 0.877013, 0.980769, 0.662338, 0.666469, 0.480769, 0.700721, 3.254772, 0.708333, 0.000019, 0.790698
23, 0.892000, 0.922190, 1.000000, 0.739130, 0.768554, 0.647059, 0.790005, 3.184300, 0.779817, 0.000301, 0.850000
24, 0.750000, 0.825905, 1.000000, 0.530075, 0.513573, 0.113475, 0.587800, 3.534188, 0.585062, 0.011261, 0.692875
25, 0.836000, 0.876409, 0.987421, 0.662447, 0.665672, 0.484277, 0.702123, 3.281356, 0.709124, 0.064175, 0.792929
26, 0.536000, 0.670878, 0.986014, 0.380054, 0.231248, -0.622378, 0.352969, 4.783052, 0.433313, 0.001175, 0.548638
27, 0.908000, 0.933333, 1.000000, 0.771144, 0.801193, 0.703226, 0.817511, 3.153846, 0.808133, 0.000112, 0.870787
28, 0.294000, 0.500000, 1.000000, 0.294000, 0.000000, -1.401361, 0.000000, 3.000000, 0.342338, 0.006976, 0.454405
29, 0.728000, 0.806268, 1.000000, 0.522807, 0.485122, 0.087248, 0.565896, 3.632558, 0.577967, 0.000057, 0.686636
30, 0.900000, 0.928571, 1.000000, 0.750000, 0.782609, 0.666667, 0.801784, 3.166667, 0.789474, 0.000019, 0.857143
31, 0.296000, 0.500000, 1.000000, 0.296000, 0.000000, -1.378378, 0.000000, 3.000000, 0.344507, 0.002419, 0.456790
32, 0.848000, 0.890088, 0.993243, 0.662162, 0.681443, 0.486486, 0.716796, 3.257245, 0.709459, 0.001516, 0.794595
33, 0.818000, 0.868497, 1.000000, 0.628571, 0.633183, 0.409091, 0.680627, 3.356863, 0.679012, 0.008201, 0.771930
34, 0.738000, 0.812463, 0.993197, 0.528986, 0.497530, 0.108844, 0.572527, 3.569354, 0.583533, 0.013817, 0.690307
35, 0.664000, 0.759312, 1.000000, 0.473354, 0.394210, -0.112583, 0.495473, 3.928177, 0.529082, 0.000000, 0.642553
36, 0.854000, 0.897183, 1.000000, 0.665138, 0.691410, 0.496552, 0.726886, 3.258865, 0.712881, 0.032385, 0.798898
