# ,accuracy,balanced_accuracy,recall,precision,cohen_cappa,cappa_m,matthews_corrcoef,harmonic_mean,fbeta_score,auc,f1_score
0, 0.864000, 0.666667, 0.333333, 1.000000, 0.443207, 0.333333, 0.533566, 1.666667, 0.714286, 0.000000, 0.500000
1, 0.870000, 0.657895, 0.315789, 1.000000, 0.427817, 0.315789, 0.521648, 1.631579, 0.697674, 0.000000, 0.480000
2, 0.878000, 0.700980, 0.401961, 1.000000, 0.516916, 0.401961, 0.590374, 1.803922, 0.770677, 0.000000, 0.573427
3, 0.862000, 0.665049, 0.330097, 1.000000, 0.438988, 0.330097, 0.530302, 1.660194, 0.711297, 0.000000, 0.496350
4, 0.878000, 0.682292, 0.364583, 1.000000, 0.481116, 0.364583, 0.562811, 1.729167, 0.741525, 0.000000, 0.534351
5, 0.872000, 0.686275, 0.372549, 1.000000, 0.485927, 0.372549, 0.566516, 1.745098, 0.748031, 0.000000, 0.542857
6, 0.884000, 0.701031, 0.402062, 1.000000, 0.520138, 0.402062, 0.592855, 1.804124, 0.770751, 0.000000, 0.573529
7, 0.874000, 0.694175, 0.388350, 1.000000, 0.502055, 0.388350, 0.578932, 1.776699, 0.760456, 0.000000, 0.559441
8, 0.860000, 0.631579, 0.263158, 1.000000, 0.366516, 0.263158, 0.473684, 1.526316, 0.641026, 0.000000, 0.416667
9, 0.858000, 0.648515, 0.297030, 1.000000, 0.402759, 0.297030, 0.502155, 1.594059, 0.678733, 0.000000, 0.458015
10, 0.868000, 0.673267, 0.346535, 1.000000, 0.458395, 0.346535, 0.545297, 1.693069, 0.726141, 0.000000, 0.514706
11, 0.848000, 0.612245, 0.224490, 1.000000, 0.317627, 0.224490, 0.434508, 1.448980, 0.591398, 0.000000, 0.366667
12, 0.868000, 0.673267, 0.346535, 1.000000, 0.458395, 0.346535, 0.545297, 1.693069, 0.726141, 0.000000, 0.514706
13, 0.874000, 0.668421, 0.336842, 1.000000, 0.451411, 0.336842, 0.539906, 1.673684, 0.717489, 0.000000, 0.503937
14, 0.866000, 0.674757, 0.349515, 1.000000, 0.460408, 0.349515, 0.546851, 1.699029, 0.728745, 0.000000, 0.517986
15, 0.858000, 0.648515, 0.297030, 1.000000, 0.402759, 0.297030, 0.502155, 1.594059, 0.678733, 0.000000, 0.458015
16, 0.842000, 0.605000, 0.210000, 1.000000, 0.298401, 0.210000, 0.418766, 1.420000, 0.570652, 0.000000, 0.347107
17, 0.840000, 0.600000, 0.200000, 1.000000, 0.285714, 0.200000, 0.408248, 1.400000, 0.555556, 0.000000, 0.333333
18, 0.878000, 0.688776, 0.377551, 1.000000, 0.493759, 0.377551, 0.572546, 1.755102, 0.752033, 0.000000, 0.548148
19, 0.864000, 0.663366, 0.326733, 1.000000, 0.436470, 0.326733, 0.528353, 1.653465, 0.708155, 0.000000, 0.492537
20, 0.870000, 0.664948, 0.329897, 1.000000, 0.442462, 0.329897, 0.532990, 1.659794, 0.711111, 0.000000, 0.496124
21, 0.888000, 0.725490, 0.450980, 1.000000, 0.566671, 0.450980, 0.628771, 1.901961, 0.804196, 0.000000, 0.621622
22, 0.876000, 0.677083, 0.354167, 1.000000, 0.469832, 0.354167, 0.554117, 1.708333, 0.732759, 0.000000, 0.523077
23, 0.866000, 0.665000, 0.330000, 1.000000, 0.440735, 0.330000, 0.531653, 1.660000, 0.711207, 0.000000, 0.496241
24, 0.882000, 0.716346, 0.432692, 1.000000, 0.547129, 0.432692, 0.613665, 1.865385, 0.792254, 0.000000, 0.604027
25, 0.866000, 0.668317, 0.336634, 1.000000, 0.447486, 0.336634, 0.536874, 1.673267, 0.717300, 0.000000, 0.503704
26, 0.878000, 0.678947, 0.357895, 1.000000, 0.474500, 0.357895, 0.557715, 1.715789, 0.735931, 0.000000, 0.527132
27, 0.884000, 0.691489, 0.382979, 1.000000, 0.501992, 0.382979, 0.578884, 1.765957, 0.756303, 0.000000, 0.553846
28, 0.850000, 0.662162, 0.324324, 1.000000, 0.427551, 0.324324, 0.521441, 1.648649, 0.705882, 0.000000, 0.489796
29, 0.868000, 0.645161, 0.290323, 1.000000, 0.399760, 0.290323, 0.499812, 1.580645, 0.671642, 0.000000, 0.450000
30, 0.842000, 0.620192, 0.240385, 1.000000, 0.333895, 0.240385, 0.447666, 1.480769, 0.612745, 0.000000, 0.387597
31, 0.880000, 0.716981, 0.433962, 1.000000, 0.547156, 0.433962, 0.613686, 1.867925, 0.793103, 0.000000, 0.605263
32, 0.876000, 0.673684, 0.347368, 1.000000, 0.463017, 0.347368, 0.548863, 1.694737, 0.726872, 0.000000, 0.515625
33, 0.866000, 0.643617, 0.287234, 1.000000, 0.395569, 0.287234, 0.496536, 1.574468, 0.668317, 0.000000, 0.446281
34, 0.878000, 0.700980, 0.401961, 1.000000, 0.516916, 0.401961, 0.590374, 1.803922, 0.770677, 0.000000, 0.573427
35, 0.878000, 0.695000, 0.390000, 1.000000, 0.505673, 0.390000, 0.581717, 1.780000, 0.761719, 0.000000, 0.561151
36, 0.866000, 0.661616, 0.323232, 1.000000, 0.433777, 0.323232, 0.526268, 1.646465, 0.704846, 0.000000, 0.488550
