# ,accuracy,balanced_accuracy,recall,precision,cohen_cappa,cappa_m,matthews_corrcoef,harmonic_mean,fbeta_score,auc,f1_score
0, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 3.000000, 1.000000, 0.000000, 1.000000
1, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 3.000000, 1.000000, 0.158077, 1.000000
2, 0.200000, 0.500000, 1.000000, 0.200000, 0.000000, -3.000000, 0.000000, 3.000000, 0.238095, 0.000000, 0.333333
3, 0.970000, 0.921875, 0.843750, 1.000000, 0.897187, 0.843750, 0.901967, 2.687500, 0.964286, 0.000000, 0.915254
4, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 3.000000, 1.000000, 0.028026, 1.000000
5, 0.936000, 0.856026, 0.724490, 0.934211, 0.778098, 0.673469, 0.787314, 2.461574, 0.883085, 0.000000, 0.816092
6, 0.810000, 0.529703, 0.059406, 1.000000, 0.091570, 0.059406, 0.219047, 1.118812, 0.240000, 0.000000, 0.112150
7, 0.834000, 0.585000, 0.170000, 1.000000, 0.246824, 0.170000, 0.375216, 1.340000, 0.505952, 0.000000, 0.290598
8, 0.926000, 0.811224, 0.622449, 1.000000, 0.726104, 0.622449, 0.754975, 2.244898, 0.891813, 0.000000, 0.767296
9, 0.968000, 0.922330, 0.844660, 1.000000, 0.896209, 0.844660, 0.901076, 2.689320, 0.964523, 0.212308, 0.915789
10, 0.198000, 0.500000, 1.000000, 0.198000, 0.000000, -3.050505, 0.000000, 3.000000, 0.235827, 0.000101, 0.330551
11, 0.864000, 0.660000, 0.320000, 1.000000, 0.429530, 0.320000, 0.522976, 1.640000, 0.701754, 0.006775, 0.484848
12, 0.856000, 0.600000, 0.200000, 1.000000, 0.290780, 0.200000, 0.412461, 1.400000, 0.555556, 0.160190, 0.333333
13, 0.236000, 0.500000, 1.000000, 0.236000, 0.000000, -2.237288, 0.000000, 3.000000, 0.278565, 0.000000, 0.381877
14, 0.994000, 0.983696, 0.967391, 1.000000, 0.979764, 0.967391, 0.979964, 2.934783, 0.993304, 0.000000, 0.983425
15, 0.880000, 0.673913, 0.347826, 1.000000, 0.465355, 0.347826, 0.550666, 1.695652, 0.727273, 0.005302, 0.516129
16, 0.896000, 0.745098, 0.490196, 1.000000, 0.604863, 0.490196, 0.658446, 1.980392, 0.827815, 0.000246, 0.657895
17, 0.878000, 0.698020, 0.396040, 1.000000, 0.511375, 0.396040, 0.586107, 1.792079, 0.766284, 0.539778, 0.567376
18, 0.204000, 0.500000, 1.000000, 0.204000, 0.000000, -2.901961, 0.000000, 3.000000, 0.242626, 0.854752, 0.338870
19, 0.200000, 0.500000, 1.000000, 0.200000, 0.000000, -3.000000, 0.000000, 3.000000, 0.238095, 0.127638, 0.333333
20, 0.842000, 0.735117, 0.563830, 0.582418, 0.476072, 0.159574, 0.476166, 2.230920, 0.578603, 0.002280, 0.572973
21, 0.824000, 0.584906, 0.169811, 1.000000, 0.243778, 0.169811, 0.372570, 1.339623, 0.505618, 0.001054, 0.290323
22, 0.864000, 0.656566, 0.313131, 1.000000, 0.422378, 0.313131, 0.517427, 1.626263, 0.695067, 0.004912, 0.476923
23, 0.790000, 0.504717, 0.009434, 1.000000, 0.014788, 0.009434, 0.086307, 1.018868, 0.045455, 0.000000, 0.018692
24, 0.994000, 0.984043, 0.968085, 1.000000, 0.980104, 0.968085, 0.980298, 2.936170, 0.993450, 0.001677, 0.983784
25, 0.982000, 0.965656, 0.938776, 0.968421, 0.942219, 0.908163, 0.942394, 2.885070, 0.962343, 0.086367, 0.953368
26, 0.208000, 0.500000, 1.000000, 0.208000, 0.000000, -2.807692, 0.000000, 3.000000, 0.247148, 0.039943, 0.344371
27, 0.800000, 0.509804, 0.019608, 1.000000, 0.030857, 0.019608, 0.125182, 1.039216, 0.090909, 0.003276, 0.038462
28, 0.844000, 0.551724, 0.103448, 1.000000, 0.160098, 0.103448, 0.294982, 1.206897, 0.365854, 0.008322, 0.187500
29, 0.872000, 0.700935, 0.401869, 1.000000, 0.513663, 0.401869, 0.587869, 1.803738, 0.770609, 0.012794, 0.573333
30, 0.942000, 0.876753, 0.770833, 0.913580, 0.801228, 0.697917, 0.805497, 2.559299, 0.880952, 0.002578, 0.836158
31, 0.852000, 0.657407, 0.314815, 1.000000, 0.418751, 0.314815, 0.514609, 1.629630, 0.696721, 0.020810, 0.478873
32, 0.812000, 0.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.000000, 0.000000, 0.000000, 0.000000
33, 0.806000, 0.524510, 0.049020, 1.000000, 0.075838, 0.049020, 0.198529, 1.098039, 0.204918, 0.009163, 0.093458
34, 0.212000, 0.500000, 1.000000, 0.212000, 0.000000, -2.716981, 0.000000, 3.000000, 0.251662, 0.000072, 0.349835
35, 0.932000, 0.821053, 0.642105, 1.000000, 0.744014, 0.642105, 0.769659, 2.284211, 0.899705, 0.000000, 0.782051
36, 0.998000, 0.994565, 0.989130, 1.000000, 0.993312, 0.989130, 0.993334, 2.978261, 0.997807, 0.000000, 0.994536
