# ,accuracy,balanced_accuracy,recall,precision,cohen_cappa,cappa_m,matthews_corrcoef,harmonic_mean,fbeta_score,auc,f1_score
0, 0.902000, 0.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.000000, 0.000000, 0.537943, 0.000000
1, 0.904000, 0.509310, 0.020833, 0.500000, 0.032570, 0.000000, 0.086908, 1.043884, 0.089286, 0.311855, 0.040000
2, 0.906000, 0.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.000000, 0.000000, 0.357569, 0.000000
3, 0.898000, 0.497783, 0.000000, 0.000000, -0.007746, -0.040816, -0.020889, 3.004454, 0.000000, 0.717906, 0.000000
4, 0.902000, 0.498894, 0.000000, 0.000000, -0.003934, -0.020833, -0.014588, 3.002217, 0.000000, 0.623064, 0.000000
5, 0.900000, 0.509804, 0.019608, 1.000000, 0.034674, 0.019608, 0.132827, 1.039216, 0.090909, 0.478187, 0.038462
6, 0.898000, 0.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.000000, 0.000000, 0.630290, 0.000000
7, 0.614000, 0.341111, 0.000000, 0.000000, -0.173966, -2.860000, -0.210966, 3.465798, 0.000000, 0.777956, 0.000000
8, 0.860000, 0.495556, 0.040000, 0.083333, -0.011561, -0.400000, -0.012475, 1.131402, 0.068493, 0.541200, 0.054054
9, 0.736000, 0.444319, 0.085106, 0.043011, -0.077410, -1.808511, -0.083521, 1.414718, 0.047733, 0.614391, 0.057143
10, 0.848000, 0.498712, 0.057692, 0.100000, -0.003168, -0.461538, -0.003311, 1.179518, 0.087209, 0.461925, 0.073171
11, 0.928000, 0.628232, 0.260870, 0.857143, 0.373084, 0.217391, 0.449316, 1.526164, 0.588235, 0.059376, 0.400000
12, 0.942000, 0.764034, 0.537037, 0.878788, 0.636919, 0.462963, 0.660145, 2.083124, 0.779570, 0.028982, 0.666667
13, 0.642000, 0.773825, 0.936170, 0.200000, 0.206701, -2.808511, 0.321966, 3.507719, 0.237325, 0.058898, 0.329588
14, 0.228000, 0.185725, 0.132075, 0.020173, -0.182468, -6.283019, -0.419877, 4.441721, 0.024289, 0.867713, 0.035000
15, 0.892000, 0.493363, 0.000000, 0.000000, -0.021798, -0.125000, -0.035914, 3.013453, 0.000000, 0.512491, 0.000000
16, 0.898000, 0.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.000000, 0.000000, 0.904494, 0.000000
17, 0.906000, 0.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.000000, 0.000000, 0.276971, 0.000000
18, 0.900000, 0.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.000000, 0.000000, 0.697511, 0.000000
19, 0.894000, 0.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.000000, 0.000000, 0.325524, 0.000000
20, 0.906000, 0.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.000000, 0.000000, 0.766474, 0.000000
21, 0.896000, 0.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.000000, 0.000000, 0.319411, 0.000000
22, 0.870000, 0.490505, 0.020833, 0.052632, -0.026013, -0.354167, -0.029259, 1.083141, 0.040323, 0.880347, 0.029851
23, 0.914000, 0.542553, 0.085106, 1.000000, 0.144245, 0.085106, 0.278798, 1.170213, 0.317460, 0.078672, 0.156863
24, 0.898000, 0.526071, 0.058824, 0.500000, 0.085628, 0.000000, 0.144930, 1.124374, 0.200000, 0.267610, 0.105263
25, 0.660000, 0.506529, 0.313725, 0.105960, 0.006986, -2.333333, 0.008607, 2.057387, 0.122137, 0.459889, 0.158416
26, 0.920000, 0.629886, 0.270833, 0.722222, 0.360450, 0.166667, 0.410791, 1.552852, 0.541667, 0.131084, 0.393939
27, 0.888000, 0.491150, 0.000000, 0.000000, -0.028202, -0.166667, -0.041554, 3.018018, 0.000000, 0.616842, 0.000000
28, 0.894000, 0.508315, 0.018868, 0.500000, 0.028877, 0.000000, 0.081110, 1.039978, 0.081967, 0.218775, 0.036364
29, 0.760000, 0.548622, 0.285714, 0.141414, 0.066845, -1.448980, 0.072554, 1.803669, 0.157303, 0.439205, 0.189189
30, 0.912000, 0.560000, 0.120000, 1.000000, 0.197080, 0.120000, 0.330623, 1.240000, 0.405405, 0.048489, 0.214286
31, 0.898000, 0.498889, 0.000000, 0.000000, -0.003937, -0.020000, -0.014922, 3.002227, 0.000000, 0.417422, 0.000000
32, 0.894000, 0.493377, 0.000000, 0.000000, -0.021746, -0.127660, -0.035499, 3.013423, 0.000000, 0.732704, 0.000000
33, 0.752000, 0.425947, 0.020408, 0.012987, -0.118044, -1.530612, -0.121996, 1.243483, 0.014006, 0.857822, 0.015873
34, 0.558000, 0.353471, 0.092593, 0.028249, -0.146456, -3.092593, -0.190208, 1.812922, 0.032808, 0.689503, 0.043290
35, 0.848000, 0.470067, 0.000000, 0.000000, -0.074843, -0.551020, -0.078752, 3.063679, 0.000000, 0.487352, 0.000000
36, 0.906000, 0.498899, 0.000000, 0.000000, -0.003930, -0.021739, -0.014250, 3.002208, 0.000000, 0.334610, 0.000000
