# ,accuracy,balanced_accuracy,recall,precision,cohen_cappa,cappa_m,matthews_corrcoef,harmonic_mean,fbeta_score,auc,f1_score
0, 0.878000, 0.486696, 0.000000, 0.000000, -0.040104, -0.244898, -0.051688, 3.027335, 0.000000, 0.000928, 0.000000
1, 0.190000, 0.207504, 0.229167, 0.029024, -0.143319, -7.437500, -0.402372, 5.839286, 0.035166, 0.003365, 0.051522
2, 0.868000, 0.545771, 0.148936, 0.212121, 0.105643, -0.404255, 0.107597, 1.358762, 0.195531, 0.000117, 0.175000
3, 0.578000, 0.402258, 0.183673, 0.050000, -0.089201, -3.306122, -0.121084, 1.978061, 0.058518, 0.011086, 0.078603
4, 0.478000, 0.348175, 0.187500, 0.038961, -0.112304, -4.437500, -0.179424, 2.340217, 0.046296, 0.015855, 0.064516
5, 0.852000, 0.526530, 0.117647, 0.171429, 0.061628, -0.450980, 0.062937, 1.304342, 0.157068, 0.047469, 0.139535
6, 0.694000, 0.455937, 0.156863, 0.067797, -0.055697, -2.000000, -0.062812, 1.638209, 0.076482, 0.001528, 0.094675
7, 0.900000, 0.553333, 0.120000, 0.500000, 0.161074, 0.000000, 0.209083, 1.253514, 0.306122, 0.017022, 0.193548
8, 0.210000, 0.454444, 0.760000, 0.090261, -0.021200, -6.900000, -0.074939, 8.236418, 0.109573, 0.005422, 0.161359
9, 0.646000, 0.366047, 0.021277, 0.007576, -0.147979, -2.765957, -0.177366, 1.449385, 0.008696, 0.004603, 0.011173
10, 0.650000, 0.481714, 0.269231, 0.092715, -0.019861, -2.365385, -0.024316, 1.978976, 0.106707, 0.005838, 0.137931
11, 0.924000, 0.626029, 0.260870, 0.750000, 0.356543, 0.173913, 0.413929, 1.530628, 0.545455, 0.024133, 0.387097
12, 0.496000, 0.644245, 0.833333, 0.156250, 0.099331, -3.666667, 0.181189, 3.863711, 0.186567, 0.002408, 0.263158
13, 0.074000, 0.145719, 0.234043, 0.025114, -0.149865, -8.851064, -0.627398, 17.891162, 0.030573, 0.001174, 0.045361
14, 0.482000, 0.302837, 0.075472, 0.018692, -0.168604, -3.886792, -0.245334, 2.037019, 0.022002, 0.031700, 0.029963
15, 0.804000, 0.807799, 0.812500, 0.304688, 0.352811, -1.041667, 0.415537, 2.870179, 0.348214, 0.011661, 0.443182
16, 0.778000, 0.459256, 0.058824, 0.045455, -0.072091, -1.176471, -0.072860, 1.280859, 0.047619, 0.020219, 0.051282
17, 0.390000, 0.539406, 0.723404, 0.104294, 0.021533, -5.489362, 0.048285, 4.260473, 0.125833, 0.042506, 0.182306
18, 0.584000, 0.635556, 0.700000, 0.153509, 0.104991, -3.160000, 0.163300, 3.150973, 0.181913, 0.104622, 0.251799
19, 0.694000, 0.429720, 0.094340, 0.045455, -0.095361, -1.886792, -0.104454, 1.495697, 0.050710, 0.022160, 0.061350
20, 0.762000, 0.820981, 0.893617, 0.269231, 0.314800, -1.531915, 0.404357, 3.123517, 0.312966, 0.038843, 0.413793
21, 0.792000, 0.586453, 0.326923, 0.197674, 0.134141, -1.000000, 0.139862, 1.835904, 0.214646, 0.004464, 0.246377
22, 0.708000, 0.549871, 0.354167, 0.128788, 0.055969, -2.041667, 0.066659, 2.049580, 0.147569, 0.211698, 0.188889
23, 0.818000, 0.870955, 0.936170, 0.333333, 0.409796, -0.936170, 0.491177, 3.113436, 0.382609, 0.064206, 0.491620
24, 0.746000, 0.589174, 0.392157, 0.172414, 0.113970, -1.490196, 0.127874, 2.056268, 0.194175, 0.090528, 0.239521
25, 0.572000, 0.631338, 0.705882, 0.153191, 0.101067, -3.196078, 0.159283, 3.207765, 0.181635, 0.032054, 0.251748
26, 0.918000, 0.721884, 0.479167, 0.589744, 0.484355, 0.145833, 0.487487, 1.995031, 0.563725, 0.019082, 0.528736
27, 0.230000, 0.564805, 0.979167, 0.109049, 0.028386, -7.020833, 0.110704, 8.605392, 0.132619, 0.001060, 0.196242
28, 0.910000, 0.716833, 0.471698, 0.595238, 0.477328, 0.150943, 0.481272, 1.982931, 0.565611, 0.005276, 0.526316
29, 0.690000, 0.719014, 0.755102, 0.205556, 0.199876, -2.163265, 0.271317, 2.974490, 0.240572, 0.069822, 0.323144
30, 0.904000, 0.573333, 0.160000, 0.571429, 0.215686, 0.040000, 0.266711, 1.333514, 0.377358, 0.001333, 0.250000
31, 0.836000, 0.855556, 0.880000, 0.366667, 0.438356, -0.640000, 0.499512, 2.963209, 0.415094, 0.029378, 0.517647
32, 0.754000, 0.635409, 0.489362, 0.188525, 0.157903, -1.617021, 0.184014, 2.258384, 0.214953, 0.021464, 0.272189
33, 0.908000, 0.712521, 0.469388, 0.534884, 0.449576, 0.061224, 0.450740, 1.985179, 0.520362, 0.001946, 0.500000
34, 0.922000, 0.769100, 0.574074, 0.659574, 0.570712, 0.277778, 0.572413, 2.185357, 0.640496, 0.021674, 0.613861
35, 0.876000, 0.931264, 1.000000, 0.441441, 0.551518, -0.265306, 0.617054, 3.159383, 0.496957, 0.024073, 0.612500
36, 0.864000, 0.788355, 0.695652, 0.372093, 0.414681, -0.478261, 0.441687, 2.526304, 0.410256, 0.120714, 0.484848
