# ,accuracy,balanced_accuracy,recall,precision,cohen_cappa,cappa_m,matthews_corrcoef,harmonic_mean,fbeta_score,auc,f1_score
0, 0.148000, 0.436762, 0.795918, 0.085714, -0.026951, -7.693878, -0.131396, 14.477551, 0.104334, 0.041246, 0.154762
1, 0.216000, 0.564444, 1.000000, 0.113122, 0.028741, -6.840000, 0.120748, 9.758621, 0.137514, 0.015556, 0.203252
2, 0.174000, 0.523938, 0.959184, 0.102620, 0.010143, -7.428571, 0.051315, 13.193367, 0.124934, 0.079528, 0.185404
3, 0.162000, 0.507337, 0.941176, 0.103448, 0.003197, -7.215686, 0.017180, 15.488414, 0.125852, 0.059020, 0.186408
4, 0.116000, 0.430754, 0.830189, 0.092243, -0.030601, -7.339623, -0.203513, 33.588949, 0.112188, 0.051834, 0.166038
5, 0.158000, 0.535320, 1.000000, 0.100427, 0.014088, -7.957447, 0.084227, 16.156250, 0.122460, 0.048565, 0.182524
6, 0.168000, 0.538803, 1.000000, 0.105376, 0.016223, -7.489796, 0.090431, 14.885714, 0.128339, 0.068600, 0.190661
7, 0.742000, 0.838967, 0.960784, 0.278409, 0.324947, -1.529412, 0.429602, 3.315979, 0.324503, 0.015568, 0.431718
8, 0.120000, 0.511111, 1.000000, 0.102041, 0.004525, -7.800000, 0.047619, 47.000000, 0.124378, 0.229200, 0.185185
9, 0.106000, 0.441111, 0.860000, 0.089027, -0.024290, -7.940000, -0.194965, 46.720000, 0.108476, 0.044822, 0.161351
10, 0.114000, 0.507778, 1.000000, 0.101420, 0.003150, -7.860000, 0.039720, 66.285714, 0.123640, 0.231200, 0.184162
11, 0.284000, 0.584913, 0.959184, 0.116625, 0.040245, -6.306122, 0.127689, 6.665736, 0.141481, 0.077017, 0.207965
12, 0.334000, 0.632450, 1.000000, 0.123684, 0.063449, -6.085106, 0.181008, 5.775000, 0.149968, 0.025386, 0.220141
13, 0.318000, 0.576923, 0.903846, 0.122715, 0.040345, -5.557692, 0.110926, 5.807692, 0.148359, 0.030134, 0.216092
14, 0.196000, 0.553333, 1.000000, 0.110619, 0.023324, -7.040000, 0.108625, 11.375000, 0.134553, 0.048889, 0.199203
15, 0.098000, 0.236232, 0.408163, 0.045249, -0.115321, -8.204082, -0.489793, 16.368051, 0.055036, 0.087809, 0.081466
16, 0.152000, 0.530973, 1.000000, 0.101695, 0.012520, -7.833333, 0.079371, 18.142857, 0.123967, 0.021686, 0.184615
17, 0.408000, 0.670379, 1.000000, 0.146974, 0.095388, -4.803922, 0.223791, 4.934641, 0.177206, 0.074457, 0.256281
18, 0.096000, 0.491569, 0.978723, 0.092555, -0.003187, -8.617021, -0.063717, 228.457447, 0.113022, 0.082500, 0.169118
19, 0.148000, 0.505414, 0.963636, 0.111111, 0.002482, -6.745455, 0.016172, 23.117749, 0.134997, 0.063882, 0.199248
20, 0.226000, 0.573789, 1.000000, 0.106236, 0.030872, -7.413043, 0.125212, 8.776119, 0.129359, 0.037110, 0.192067
21, 0.730000, 0.832222, 0.960000, 0.265193, 0.306982, -1.700000, 0.414778, 3.339558, 0.310078, 0.010089, 0.415584
22, 0.342000, 0.636062, 1.000000, 0.127321, 0.066974, -5.854167, 0.186137, 5.674797, 0.154242, 0.045008, 0.225882
23, 0.422000, 0.660457, 0.961538, 0.148368, 0.093771, -4.557692, 0.208987, 4.705686, 0.178571, 0.086732, 0.257069
24, 0.114000, 0.490000, 0.960000, 0.098160, -0.004080, -7.860000, -0.040904, 51.920000, 0.119641, 0.034556, 0.178108
25, 0.486000, 0.696428, 0.960784, 0.161184, 0.122819, -4.039216, 0.243543, 4.236002, 0.193370, 0.273942, 0.276056
26, 0.814000, 0.896896, 1.000000, 0.345070, 0.430035, -0.897959, 0.523368, 3.259777, 0.397083, 0.463618, 0.513089
27, 0.734000, 0.843454, 0.979592, 0.266667, 0.313442, -1.714286, 0.425475, 3.372977, 0.312094, 0.353953, 0.419214
28, 0.602000, 0.771069, 0.978261, 0.185185, 0.185388, -3.326087, 0.313507, 3.729959, 0.221022, 0.389748, 0.311419
29, 0.746000, 0.858575, 1.000000, 0.286517, 0.340903, -1.490196, 0.453294, 3.394410, 0.334207, 0.035635, 0.445415
30, 0.680000, 0.822616, 1.000000, 0.234450, 0.262795, -2.265306, 0.388940, 3.549828, 0.276836, 0.076203, 0.379845
31, 0.284000, 0.602222, 1.000000, 0.122549, 0.048884, -6.160000, 0.158286, 6.891304, 0.148633, 0.387600, 0.218341
32, 0.588000, 0.752782, 0.962963, 0.203125, 0.191218, -2.814815, 0.313925, 3.768901, 0.241187, 0.075154, 0.335484
33, 0.794000, 0.876751, 0.979167, 0.315436, 0.388332, -1.145833, 0.485320, 3.249762, 0.364907, 0.009771, 0.477157
34, 0.566000, 0.741233, 0.959184, 0.179389, 0.164253, -3.428571, 0.287219, 3.829384, 0.214221, 0.086520, 0.302251
35, 0.208000, 0.551880, 0.979592, 0.108352, 0.022637, -7.081633, 0.097069, 10.012755, 0.131796, 0.066632, 0.195122
36, 0.212000, 0.473333, 0.800000, 0.094340, -0.012333, -6.880000, -0.044566, 8.418182, 0.114548, 0.073689, 0.168776
