# ,accuracy,balanced_accuracy,recall,precision,cohen_cappa,cappa_m,matthews_corrcoef,harmonic_mean,fbeta_score,auc,f1_score
0, 0.748000, 0.795407, 0.912752, 0.546185, 0.495184, 0.154362, 0.540457, 3.300293, 0.593886, 0.043682, 0.683417
1, 0.610000, 0.559215, 0.440559, 0.353933, 0.110337, -0.363636, 0.111771, 2.356325, 0.368421, 0.029108, 0.392523
2, 0.752000, 0.810607, 0.968153, 0.560886, 0.519029, 0.210191, 0.578676, 3.467556, 0.612409, 0.006704, 0.710280
3, 0.630000, 0.729830, 0.965278, 0.435737, 0.337525, -0.284722, 0.433120, 3.953283, 0.489437, 0.008798, 0.600432
4, 0.330000, 0.516300, 0.986755, 0.309129, 0.020101, -1.218543, 0.080346, 23.786010, 0.358345, 0.015181, 0.470774
5, 0.502000, 0.476222, 0.409091, 0.285068, -0.042434, -0.616883, -0.044209, 2.658607, 0.303468, 0.000479, 0.336000
6, 0.222000, 0.345929, 0.643836, 0.218097, -0.195834, -1.664384, -0.406224, 22.111201, 0.251337, 0.001896, 0.325823
7, 0.888000, 0.910378, 0.966887, 0.741117, 0.755471, 0.629139, 0.771189, 3.104916, 0.777423, 0.001879, 0.839080
8, 0.656000, 0.651173, 0.639456, 0.441315, 0.267324, -0.170068, 0.278560, 2.787459, 0.470470, 0.024079, 0.522222
9, 0.324000, 0.488292, 0.929936, 0.308668, -0.015149, -1.152866, -0.048085, 23.297373, 0.356271, 0.028895, 0.463492
10, 0.284000, 0.460142, 0.883562, 0.274468, -0.048255, -1.452055, -0.152619, 28.997893, 0.318361, 0.008078, 0.418831
11, 0.504000, 0.611509, 0.897436, 0.376344, 0.161800, -0.589744, 0.236757, 4.866300, 0.425791, 0.007901, 0.530303
12, 0.832000, 0.840192, 0.859155, 0.655914, 0.622221, 0.408451, 0.634773, 2.935997, 0.688488, 0.019160, 0.743902
13, 0.674000, 0.670667, 0.662252, 0.471698, 0.306241, -0.079470, 0.317116, 2.797077, 0.500501, 0.009032, 0.550964
14, 0.676000, 0.597589, 0.405405, 0.447761, 0.200679, -0.094595, 0.201159, 2.076998, 0.438596, 0.004780, 0.425532
15, 0.286000, 0.400245, 0.688742, 0.251208, -0.133535, -1.364238, -0.242727, 10.326201, 0.287770, 0.007970, 0.368142
16, 0.366000, 0.529719, 0.947368, 0.317881, 0.038158, -1.085526, 0.093686, 10.817814, 0.366599, 0.014727, 0.476033
17, 0.332000, 0.478282, 0.847682, 0.291572, -0.028186, -1.211921, -0.060932, 10.879575, 0.335606, 0.014507, 0.433898
18, 0.308000, 0.442857, 0.780000, 0.272093, -0.074534, -1.306667, -0.150934, 11.019459, 0.312834, 0.002524, 0.403448
19, 0.680000, 0.625741, 0.496552, 0.452830, 0.244499, -0.103448, 0.245035, 2.317730, 0.460948, 0.007897, 0.473684
20, 0.604000, 0.618385, 0.655844, 0.410569, 0.203104, -0.285714, 0.218645, 3.033081, 0.443761, 0.009665, 0.505000
21, 0.366000, 0.493897, 0.823529, 0.302885, -0.008244, -1.071895, -0.015045, 7.734778, 0.346725, 0.007676, 0.442882
22, 0.506000, 0.650142, 1.000000, 0.373096, 0.201495, -0.680272, 0.334716, 5.330189, 0.426582, 0.005213, 0.543438
23, 0.360000, 0.470161, 0.748344, 0.286076, -0.040921, -1.119205, -0.067271, 6.705644, 0.326401, 0.008036, 0.413919
24, 0.534000, 0.459544, 0.271523, 0.250000, -0.078983, -0.543046, -0.079127, 2.087294, 0.254027, 0.011328, 0.260317
25, 0.542000, 0.644286, 0.900000, 0.386819, 0.209254, -0.526667, 0.288026, 4.373529, 0.436611, 0.009000, 0.541082
26, 0.480000, 0.560393, 0.750000, 0.325301, 0.086976, -0.805556, 0.115798, 4.196970, 0.366848, 0.018707, 0.453782
27, 0.320000, 0.341861, 0.395973, 0.190939, -0.241619, -1.281879, -0.297728, 4.267194, 0.212996, 0.053060, 0.257642
28, 0.454000, 0.579222, 0.901961, 0.348485, 0.109728, -0.784314, 0.179897, 5.702798, 0.397237, 0.003353, 0.502732
29, 0.292000, 0.285698, 0.270833, 0.135417, -0.330267, -1.458333, -0.392735, 3.868769, 0.150463, 0.026012, 0.180556
30, 0.168000, 0.170805, 0.178344, 0.088889, -0.517251, -1.649682, -0.632906, 6.481688, 0.098800, 0.028180, 0.118644
31, 0.476000, 0.484486, 0.503597, 0.266160, -0.024350, -0.884892, -0.027840, 3.156004, 0.293871, 0.025818, 0.348259
32, 0.788000, 0.721138, 0.541401, 0.714286, 0.473339, 0.324841, 0.482008, 2.192835, 0.671406, 0.008236, 0.615942
33, 0.604000, 0.697055, 0.941935, 0.435821, 0.298618, -0.277419, 0.387639, 4.095409, 0.488294, 0.012810, 0.595918
34, 0.446000, 0.387412, 0.246575, 0.177340, -0.202007, -0.897260, -0.208485, 2.386199, 0.187891, 0.030164, 0.206304
35, 0.452000, 0.402857, 0.280000, 0.201923, -0.174957, -0.826667, -0.180633, 2.462174, 0.213849, 0.022514, 0.234637
36, 0.742000, 0.796667, 0.933333, 0.540541, 0.491325, 0.140000, 0.544152, 3.381818, 0.590219, 0.004829, 0.684597
