# ,accuracy,balanced_accuracy,recall,precision,cohen_cappa,cappa_m,matthews_corrcoef,harmonic_mean,fbeta_score,auc,f1_score
0, 0.380000, 0.563380, 1.000000, 0.318681, 0.077655, -1.137931, 0.200988, 9.888889, 0.368957, 0.000000, 0.483333
1, 0.994000, 0.995702, 1.000000, 0.980519, 0.985848, 0.980132, 0.985947, 3.008671, 0.984355, 0.000000, 0.990164
2, 0.998000, 0.996711, 0.993421, 1.000000, 0.995265, 0.993421, 0.995276, 2.986842, 0.998677, 0.000000, 0.996700
3, 0.206000, 0.333810, 0.653333, 0.221219, -0.213325, -1.646667, -0.479266, 71.306667, 0.254943, 0.000000, 0.330523
4, 0.862000, 0.770000, 0.540000, 1.000000, 0.621711, 0.540000, 0.671620, 2.080000, 0.854430, 0.000000, 0.701299
5, 0.984000, 0.988539, 1.000000, 0.949686, 0.962611, 0.947020, 0.963284, 3.023460, 0.959339, 0.000000, 0.974194
6, 0.986000, 0.990028, 1.000000, 0.955128, 0.966985, 0.953020, 0.967512, 3.020349, 0.963777, 0.000000, 0.977049
7, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 3.000000, 1.000000, 0.000000, 1.000000
8, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 3.000000, 1.000000, 0.000000, 1.000000
9, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 3.000000, 1.000000, 0.000000, 1.000000
10, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 3.000000, 1.000000, 0.000000, 1.000000
11, 0.016000, 0.013362, 0.006494, 0.002941, -0.728985, -2.194805, -0.963240, 49.441558, 0.003303, 0.000000, 0.004049
12, 0.934000, 0.932974, 0.930556, 0.853503, 0.843281, 0.770833, 0.844893, 2.930180, 0.867876, 0.000000, 0.890365
13, 0.902000, 0.910669, 0.931507, 0.777143, 0.776051, 0.664384, 0.782959, 2.986823, 0.803783, 0.000000, 0.847352
14, 0.940000, 0.957020, 1.000000, 0.834254, 0.865275, 0.801325, 0.873236, 3.094044, 0.862857, 0.000000, 0.909639
15, 0.958000, 0.960719, 0.967949, 0.904192, 0.904018, 0.865385, 0.905163, 2.984678, 0.916262, 0.000000, 0.934985
16, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 3.000000, 1.000000, 0.000000, 1.000000
17, 0.946000, 0.951832, 0.965986, 0.865854, 0.874166, 0.816327, 0.876922, 2.998438, 0.884184, 0.000000, 0.913183
18, 0.956000, 0.954114, 0.949045, 0.914110, 0.898914, 0.859873, 0.899256, 2.940642, 0.920890, 0.000000, 0.931250
19, 0.976000, 0.957746, 0.915493, 1.000000, 0.939443, 0.915493, 0.941170, 2.830986, 0.981873, 0.000000, 0.955882
20, 0.932000, 0.950437, 1.000000, 0.821990, 0.850911, 0.783439, 0.860529, 3.110032, 0.852334, 0.000000, 0.902299
21, 0.964000, 0.939597, 0.879195, 1.000000, 0.910858, 0.879195, 0.914498, 2.758389, 0.973254, 0.000057, 0.935714
22, 0.954000, 0.927723, 0.863946, 0.976923, 0.885321, 0.843537, 0.888519, 2.736463, 0.952024, 0.000944, 0.916968
23, 0.918000, 0.911925, 0.896104, 0.846626, 0.810704, 0.733766, 0.811405, 2.870089, 0.856079, 0.000000, 0.870662
24, 0.988000, 0.987501, 0.986301, 0.972973, 0.971094, 0.958904, 0.971139, 2.984031, 0.975610, 0.000000, 0.979592
25, 0.962000, 0.938312, 0.876623, 1.000000, 0.907695, 0.876623, 0.911587, 2.753247, 0.972622, 0.000000, 0.934256
26, 0.990000, 0.992958, 1.000000, 0.966667, 0.975962, 0.965517, 0.976244, 3.014286, 0.973154, 0.000000, 0.983051
27, 0.986000, 0.990141, 1.000000, 0.953947, 0.966482, 0.951724, 0.967025, 3.020115, 0.962815, 0.000000, 0.976431
28, 0.926000, 0.945588, 1.000000, 0.812183, 0.839771, 0.768750, 0.850763, 3.122112, 0.843882, 0.000000, 0.896359
29, 0.916000, 0.941176, 1.000000, 0.772973, 0.810964, 0.706294, 0.825854, 3.133333, 0.809740, 0.000000, 0.871951
30, 0.918000, 0.917925, 0.917722, 0.838150, 0.815035, 0.740506, 0.816908, 2.924615, 0.852941, 0.000000, 0.876133
31, 0.850000, 0.838071, 0.807947, 0.726190, 0.655217, 0.503311, 0.657227, 2.767709, 0.741191, 0.000000, 0.764890
32, 0.964000, 0.936620, 0.873239, 1.000000, 0.907960, 0.873239, 0.911831, 2.746479, 0.971787, 0.000000, 0.932331
33, 0.918000, 0.931743, 0.967532, 0.805405, 0.817810, 0.733766, 0.825682, 3.051194, 0.833333, 0.000000, 0.879056
34, 0.958000, 0.930921, 0.861842, 1.000000, 0.896731, 0.861842, 0.901551, 2.723684, 0.968935, 0.000000, 0.925795
35, 0.946000, 0.953813, 0.972414, 0.859756, 0.873761, 0.813793, 0.877229, 3.014105, 0.880150, 0.000000, 0.912621
36, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 3.000000, 1.000000, 0.000000, 1.000000
