# ,accuracy,balanced_accuracy,recall,precision,cohen_cappa,cappa_m,matthews_corrcoef,harmonic_mean,fbeta_score,auc,f1_score
0, 0.996000, 0.997143, 1.000000, 0.986842, 0.990512, 0.986667, 0.990557, 3.005747, 0.989446, 0.000000, 0.993377
1, 0.330000, 0.344019, 0.378378, 0.187291, -0.240778, -1.263514, -0.290450, 3.986115, 0.208333, 0.000000, 0.250559
2, 0.868000, 0.898095, 0.973333, 0.701923, 0.716981, 0.560000, 0.740242, 3.161944, 0.743381, 0.000029, 0.815642
3, 0.984000, 0.973684, 0.947368, 1.000000, 0.961621, 0.947368, 0.962330, 2.894737, 0.989011, 0.000000, 0.972973
4, 0.918000, 0.935625, 0.980132, 0.795699, 0.817499, 0.728477, 0.827604, 3.082451, 0.826816, 0.000000, 0.878338
5, 0.966000, 0.949048, 0.906667, 0.978417, 0.917315, 0.886667, 0.918631, 2.821979, 0.963173, 0.000000, 0.941176
6, 0.984000, 0.975238, 0.953333, 0.993056, 0.961464, 0.946667, 0.961866, 2.909532, 0.984848, 0.000000, 0.972789
7, 0.996000, 0.993197, 0.986395, 1.000000, 0.990326, 0.986395, 0.990372, 2.972789, 0.997249, 0.000000, 0.993151
8, 0.996000, 0.997135, 1.000000, 0.986928, 0.990548, 0.986755, 0.990592, 3.005764, 0.989515, 0.000000, 0.993421
9, 0.140000, 0.104907, 0.020548, 0.010345, -0.612661, -1.945205, -0.727946, 5.324678, 0.011485, 0.000010, 0.013761
10, 0.756000, 0.601307, 0.202614, 1.000000, 0.260732, 0.202614, 0.387180, 1.405229, 0.559567, 0.000141, 0.336957
11, 0.930000, 0.949128, 1.000000, 0.816754, 0.846367, 0.775641, 0.856536, 3.113269, 0.847826, 0.000000, 0.899135
12, 0.918000, 0.941429, 1.000000, 0.785340, 0.818905, 0.726667, 0.832672, 3.132686, 0.820569, 0.000000, 0.879765
13, 0.920000, 0.907939, 0.878378, 0.855263, 0.809538, 0.729730, 0.809685, 2.823423, 0.859788, 0.000000, 0.866667
14, 0.972000, 0.980057, 1.000000, 0.914110, 0.934839, 0.906040, 0.936830, 3.041543, 0.930087, 0.000000, 0.955128
15, 0.996000, 0.997159, 1.000000, 0.986667, 0.990440, 0.986486, 0.990485, 3.005714, 0.989305, 0.000000, 0.993289
16, 0.904000, 0.927475, 0.986755, 0.764103, 0.789677, 0.682119, 0.804775, 3.125325, 0.800215, 0.000000, 0.861272
17, 0.666000, 0.474359, 0.000000, 0.000000, -0.068650, -0.120805, -0.125908, 3.054054, 0.000000, 0.000000, 0.000000
18, 0.958000, 0.970000, 1.000000, 0.877193, 0.903846, 0.860000, 0.908054, 3.063830, 0.899281, 0.000000, 0.934579
19, 0.996000, 0.997143, 1.000000, 0.986842, 0.990512, 0.986667, 0.990557, 3.005747, 0.989446, 0.000000, 0.993377
20, 0.820000, 0.871060, 1.000000, 0.626556, 0.634794, 0.403974, 0.681894, 3.347490, 0.677130, 0.000000, 0.770408
21, 0.148000, 0.172303, 0.231293, 0.097983, -0.469148, -1.897959, -0.647944, 9.287585, 0.110749, 0.000000, 0.137652
22, 0.824000, 0.745777, 0.554054, 0.788462, 0.537893, 0.405405, 0.552852, 2.174775, 0.726950, 0.000000, 0.650794
23, 0.698000, 0.505142, 0.013158, 0.666667, 0.014206, 0.006579, 0.061256, 1.029198, 0.060976, 0.000095, 0.025806
24, 0.700000, 0.505714, 0.020000, 0.500000, 0.015748, 0.000000, 0.048099, 1.048646, 0.086207, 0.000000, 0.038462
25, 0.988000, 0.991477, 1.000000, 0.961039, 0.971541, 0.959459, 0.971935, 3.017341, 0.968586, 0.000000, 0.980132
26, 0.942000, 0.939806, 0.934211, 0.881988, 0.865187, 0.809211, 0.865945, 2.926172, 0.891960, 0.000000, 0.907348
27, 0.902000, 0.898102, 0.888158, 0.808383, 0.774675, 0.677632, 0.776525, 2.877582, 0.823171, 0.000000, 0.846395
28, 0.968000, 0.977143, 1.000000, 0.903614, 0.926063, 0.893333, 0.928605, 3.047904, 0.921376, 0.000000, 0.949367
29, 0.976000, 0.980997, 0.993243, 0.930380, 0.943520, 0.918919, 0.944567, 3.018745, 0.942308, 0.000000, 0.960784
30, 0.986000, 0.976351, 0.952703, 1.000000, 0.965941, 0.952703, 0.966502, 2.905405, 0.990169, 0.000000, 0.975779
31, 0.696000, 0.504762, 0.026667, 0.400000, 0.012987, -0.013333, 0.031174, 1.070775, 0.105263, 0.000000, 0.050000
32, 0.118000, 0.168095, 0.293333, 0.116095, -0.462202, -1.940000, -0.710249, 23.920000, 0.132053, 0.000000, 0.166352
33, 0.594000, 0.452857, 0.100000, 0.180723, -0.108079, -0.353333, -0.116123, 1.441135, 0.155602, 0.000000, 0.128755
34, 0.312000, 0.508571, 1.000000, 0.303644, 0.010357, -1.293333, 0.072148, 60.333333, 0.352775, 0.000000, 0.465839
35, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 3.000000, 1.000000, 0.000000, 1.000000
36, 0.030000, 0.041096, 0.068027, 0.027933, -0.646881, -2.299320, -0.927283, 70.736054, 0.031666, 0.000010, 0.039604
