# ,accuracy,balanced_accuracy,recall,precision,cohen_cappa,cappa_m,matthews_corrcoef,harmonic_mean,fbeta_score,auc,f1_score
0, 0.738000, 0.603797, 0.264901, 0.666667, 0.250401, 0.132450, 0.293301, 1.590592, 0.511509, 0.012050, 0.379147
1, 0.756000, 0.646576, 0.378378, 0.651163, 0.333654, 0.175676, 0.354605, 1.849924, 0.569106, 0.027027, 0.478632
2, 0.724000, 0.771920, 0.895425, 0.528958, 0.455604, 0.098039, 0.501560, 3.333072, 0.576114, 0.003146, 0.665049
3, 0.492000, 0.596653, 0.860927, 0.358127, 0.138247, -0.682119, 0.198990, 4.730475, 0.405490, 0.006461, 0.505837
4, 0.736000, 0.601044, 0.270270, 0.625000, 0.241867, 0.108108, 0.276128, 1.613711, 0.495050, 0.025453, 0.377358
5, 0.112000, 0.107775, 0.097902, 0.042553, -0.564416, -2.104895, -0.747260, 8.695804, 0.047978, 0.013937, 0.059322
6, 0.656000, 0.719525, 0.881579, 0.465278, 0.350689, -0.131579, 0.408659, 3.556972, 0.513804, 0.017799, 0.609091
7, 0.736000, 0.790963, 0.925676, 0.531008, 0.478805, 0.108108, 0.531560, 3.375161, 0.580508, 0.022046, 0.674877
8, 0.436000, 0.580286, 0.968153, 0.354312, 0.109252, -0.796178, 0.213506, 7.133275, 0.405766, 0.024104, 0.518771
9, 0.732000, 0.557143, 0.120000, 0.900000, 0.151899, 0.106667, 0.267261, 1.245747, 0.391304, 0.153714, 0.211765
10, 0.470000, 0.550390, 0.759740, 0.339130, 0.074979, -0.720779, 0.100601, 4.451684, 0.381356, 0.068876, 0.468938
11, 0.688000, 0.529753, 0.141892, 0.420000, 0.073634, -0.054054, 0.090546, 1.373567, 0.301724, 0.004943, 0.212121
12, 0.850000, 0.854762, 0.866667, 0.702703, 0.665179, 0.500000, 0.673450, 2.919774, 0.730337, 0.032248, 0.776119
13, 0.822000, 0.824631, 0.831081, 0.657754, 0.603203, 0.398649, 0.612533, 2.884384, 0.686384, 0.016527, 0.734328
14, 0.810000, 0.754283, 0.619048, 0.700000, 0.526326, 0.353741, 0.528227, 2.362299, 0.682159, 0.013798, 0.657040
15, 0.864000, 0.793055, 0.617450, 0.893204, 0.643254, 0.543624, 0.662846, 2.267252, 0.819964, 0.040163, 0.730159
16, 0.598000, 0.620508, 0.675676, 0.395257, 0.199917, -0.358108, 0.220060, 3.120196, 0.431034, 0.028841, 0.498753
17, 0.434000, 0.565238, 0.893333, 0.334165, 0.088273, -0.886667, 0.150045, 6.003534, 0.381984, 0.032105, 0.486388
18, 0.644000, 0.503107, 0.154362, 0.306667, 0.007250, -0.194631, 0.007960, 1.482638, 0.256125, 0.023987, 0.205357
19, 0.436000, 0.454545, 0.500000, 0.262411, -0.072015, -0.905405, -0.083687, 3.444444, 0.289969, 0.126564, 0.344186
20, 0.706000, 0.758082, 0.898089, 0.518382, 0.430639, 0.063694, 0.480987, 3.414103, 0.566265, 0.038746, 0.657343
21, 0.894000, 0.850804, 0.741722, 0.888889, 0.736182, 0.649007, 0.741949, 2.525235, 0.854962, 0.008340, 0.808664
22, 0.734000, 0.629174, 0.381944, 0.555556, 0.284854, 0.076389, 0.293578, 1.904915, 0.509259, 0.025115, 0.452675
23, 0.550000, 0.664093, 0.938356, 0.388102, 0.231683, -0.541096, 0.327531, 4.441930, 0.439666, 0.089593, 0.549098
24, 0.670000, 0.562977, 0.272152, 0.462366, 0.141626, -0.044304, 0.150491, 1.715537, 0.405660, 0.051447, 0.342629
25, 0.374000, 0.364736, 0.342466, 0.187266, -0.217558, -1.143836, -0.246580, 3.268873, 0.205931, 0.056642, 0.242131
26, 0.576000, 0.583856, 0.602740, 0.363636, 0.140559, -0.452055, 0.152589, 2.975479, 0.394973, 0.087222, 0.453608
27, 0.362000, 0.466620, 0.741935, 0.291878, -0.046863, -1.058065, -0.075543, 6.711144, 0.332178, 0.020944, 0.418944
28, 0.760000, 0.775238, 0.813333, 0.570093, 0.490662, 0.200000, 0.509833, 2.983256, 0.606362, 0.016867, 0.670330
29, 0.720000, 0.539857, 0.093960, 0.736842, 0.106436, 0.060403, 0.190693, 1.202370, 0.311111, 0.014474, 0.166667
30, 0.386000, 0.519269, 0.862745, 0.315789, 0.025966, -1.006536, 0.047962, 7.414015, 0.361644, 0.097210, 0.462347
31, 0.852000, 0.873344, 0.926174, 0.686567, 0.678546, 0.503356, 0.696549, 3.071099, 0.724029, 0.006444, 0.788571
32, 0.714000, 0.637445, 0.455172, 0.507692, 0.283567, 0.013793, 0.284371, 2.130276, 0.496241, 0.006693, 0.480000
33, 0.508000, 0.591207, 0.801325, 0.359050, 0.135179, -0.629139, 0.178669, 4.226709, 0.403602, 0.018473, 0.495902
34, 0.744000, 0.719172, 0.657718, 0.560000, 0.417387, 0.140940, 0.420341, 2.596458, 0.577150, 0.010851, 0.604938
35, 0.528000, 0.555994, 0.623288, 0.334559, 0.089338, -0.616438, 0.102235, 3.292818, 0.368720, 0.041899, 0.435407
36, 0.194000, 0.203571, 0.229299, 0.113208, -0.463879, -1.566879, -0.571871, 6.081550, 0.125962, 0.006007, 0.151579
