# ,accuracy,balanced_accuracy,recall,precision,cohen_cappa,cappa_m,matthews_corrcoef,harmonic_mean,fbeta_score,auc,f1_score
0, 0.680000, 0.541414, 0.400000, 0.012579, 0.005099, -31.000000, 0.017697, 2.264497, 0.015601, 0.000808, 0.024390
1, 0.992000, 0.498994, 0.000000, 0.000000, -0.003009, -0.333333, -0.003478, 3.002016, 0.000000, 0.142522, 0.000000
2, 0.990000, 0.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.000000, 0.000000, 0.009697, 0.000000
3, 0.992000, 0.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.000000, 0.000000, 0.063508, 0.000000
4, 0.900000, 0.553535, 0.200000, 0.021277, 0.020760, -9.000000, 0.036506, 1.502450, 0.025907, 0.260404, 0.038462
5, 0.992000, 0.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.000000, 0.000000, 0.003024, 0.000000
6, 0.990000, 0.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.000000, 0.000000, 0.067475, 0.000000
7, 0.992000, 0.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.000000, 0.000000, 0.012097, 0.000000
8, 0.992000, 0.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.000000, 0.000000, 0.008065, 0.000000
9, 0.990000, 0.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.000000, 0.000000, 0.025051, 0.000000
10, 0.992000, 0.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.000000, 0.000000, 0.010081, 0.000000
11, 0.992000, 0.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.000000, 0.000000, 0.002520, 0.000000
12, 0.992000, 0.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.000000, 0.000000, 0.336694, 0.000000
13, 0.990000, 0.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.000000, 0.000000, 0.008485, 0.000000
14, 0.992000, 0.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.000000, 0.000000, 0.006552, 0.000000
15, 0.990000, 0.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.000000, 0.000000, 0.026263, 0.000000
16, 0.990000, 0.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.000000, 0.000000, 0.254949, 0.000000
17, 0.984000, 0.495968, 0.000000, 0.000000, -0.008065, -1.000000, -0.008065, 3.008130, 0.000000, 0.098034, 0.000000
18, 0.990000, 0.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.000000, 0.000000, 0.160808, 0.000000
19, 0.990000, 0.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.000000, 0.000000, 0.372525, 0.000000
20, 0.992000, 0.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.000000, 0.000000, 0.308468, 0.000000
21, 0.992000, 0.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.000000, 0.000000, 0.000000, 0.000000
22, 0.986000, 0.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.000000, 0.000000, 0.002608, 0.000000
23, 0.992000, 0.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.000000, 0.000000, 0.033518, 0.000000
24, 0.994000, 0.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.000000, 0.000000, 0.019785, 0.000000
25, 0.988000, 0.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.000000, 0.000000, 0.135290, 0.000000
26, 0.994000, 0.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.000000, 0.000000, 0.425218, 0.000000
27, 0.992000, 0.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.000000, 0.000000, 0.000504, 0.000000
28, 0.992000, 0.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.000000, 0.000000, 0.275706, 0.000000
29, 0.990000, 0.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.000000, 0.000000, 0.213737, 0.000000
30, 0.992000, 0.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.000000, 0.000000, 0.561744, 0.000000
31, 0.994000, 0.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.000000, 0.000000, 0.031858, 0.000000
32, 0.988000, 0.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.000000, 0.000000, 0.077598, 0.000000
33, 0.988000, 0.496982, 0.000000, 0.000000, -0.006036, -1.000000, -0.006036, 3.006073, 0.000000, 0.082830, 0.000000
34, 0.988000, 0.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.000000, 0.000000, 0.349865, 0.000000
35, 0.994000, 0.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.000000, 0.000000, 0.097586, 0.000000
36, 0.990000, 0.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.000000, 0.000000, 0.315152, 0.000000
