# ,accuracy,balanced_accuracy,recall,precision,cohen_cappa,cappa_m,matthews_corrcoef,harmonic_mean,fbeta_score,auc,f1_score
0, 0.994000, 0.850000, 0.700000, 1.000000, 0.820574, 0.700000, 0.834111, 2.400000, 0.921053, 0.000000, 0.823529
1, 0.904000, 0.896583, 0.888889, 0.145455, 0.226056, -4.333333, 0.337027, 2.883634, 0.174672, 0.002602, 0.250000
2, 0.940000, 0.642227, 0.333333, 0.111111, 0.143542, -2.333333, 0.167325, 1.718059, 0.128205, 0.015275, 0.166667
3, 0.986000, 0.720186, 0.444444, 0.666667, 0.526515, 0.222222, 0.537702, 1.892979, 0.606061, 0.000566, 0.533333
4, 0.086000, 0.488288, 0.909091, 0.021459, -0.001104, -40.545455, -0.013649, 16.636364, 0.026667, 0.020915, 0.041929
5, 0.142000, 0.121429, 0.100000, 0.002375, -0.035832, -41.900000, -0.290617, 7.200000, 0.002952, 0.031531, 0.004640
6, 0.978000, 0.988798, 1.000000, 0.450000, 0.611033, -0.222222, 0.663264, 3.022917, 0.505618, 0.000000, 0.620690
7, 0.728000, 0.861224, 1.000000, 0.068493, 0.094299, -12.600000, 0.222447, 3.384181, 0.084175, 0.000000, 0.128205
8, 0.588000, 0.789796, 1.000000, 0.046296, 0.052264, -19.600000, 0.163808, 3.725352, 0.057208, 0.000000, 0.088496
9, 0.404000, 0.695918, 1.000000, 0.032468, 0.025124, -28.800000, 0.112792, 4.552083, 0.040258, 0.019388, 0.062893
10, 0.232000, 0.610548, 1.000000, 0.017903, 0.007885, -53.857143, 0.062914, 6.522936, 0.022279, 0.007099, 0.035176
11, 0.112000, 0.234988, 0.363636, 0.009070, -0.026362, -39.363636, -0.240991, 10.131119, 0.011268, 0.054285, 0.017699
12, 0.078000, 0.531504, 1.000000, 0.017058, 0.002147, -56.625000, 0.032784, 17.870968, 0.021231, 0.036585, 0.033543
13, 0.098000, 0.538855, 1.000000, 0.023810, 0.003694, -40.000000, 0.043014, 14.868421, 0.029586, 0.064975, 0.046512
14, 0.928000, 0.571429, 0.200000, 0.066667, 0.072165, -2.600000, 0.084215, 1.460606, 0.076923, 0.000612, 0.100000
15, 0.034000, 0.508147, 1.000000, 0.018293, 0.000596, -52.666667, 0.017264, 63.375000, 0.022762, 0.007581, 0.035928
16, 0.942000, 0.970408, 1.000000, 0.256410, 0.388702, -1.900000, 0.491157, 3.062907, 0.301205, 0.000306, 0.408163
17, 0.916000, 0.957230, 1.000000, 0.176471, 0.277904, -3.666667, 0.401716, 3.093541, 0.211268, 0.001245, 0.300000
18, 0.948000, 0.875510, 0.800000, 0.250000, 0.361493, -1.600000, 0.429588, 2.651502, 0.289855, 0.000000, 0.380952
19, 0.024000, 0.503055, 1.000000, 0.018109, 0.000221, -53.222222, 0.010519, 165.666667, 0.022534, 0.004413, 0.035573
20, 0.690000, 0.841837, 1.000000, 0.060606, 0.079572, -14.500000, 0.203555, 3.462687, 0.074627, 0.001020, 0.114286
21, 0.038000, 0.509184, 1.000000, 0.020367, 0.000748, -47.100000, 0.019341, 56.444444, 0.025329, 0.008878, 0.039920
22, 0.772000, 0.611224, 0.444444, 0.035398, 0.033341, -11.666667, 0.070713, 2.174229, 0.043384, 0.030776, 0.065574
23, 0.786000, 0.891039, 1.000000, 0.077586, 0.114414, -10.888889, 0.246330, 3.278646, 0.095137, 0.004300, 0.144000
24, 0.816000, 0.851776, 0.888889, 0.080808, 0.119078, -9.222222, 0.234730, 3.005278, 0.098765, 0.027947, 0.148148
25, 0.828000, 0.765306, 0.700000, 0.077778, 0.107884, -7.600000, 0.193358, 2.603931, 0.094595, 0.326837, 0.140000
26, 0.788000, 0.707825, 0.625000, 0.046296, 0.058146, -12.250000, 0.126736, 2.514781, 0.056818, 0.363313, 0.086207
27, 0.848000, 0.877858, 0.909091, 0.117647, 0.176241, -5.909091, 0.295105, 2.999341, 0.142450, 0.149005, 0.208333
28, 0.708000, 0.606122, 0.500000, 0.034247, 0.027704, -13.600000, 0.065352, 2.404011, 0.042088, 0.418878, 0.064103
29, 0.862000, 0.868394, 0.875000, 0.093333, 0.143921, -7.625000, 0.258908, 2.910377, 0.113636, 0.547383, 0.168675
30, 0.756000, 0.837308, 0.923077, 0.090226, 0.122832, -8.384615, 0.242960, 3.176755, 0.110092, 0.335176, 0.164384
31, 0.742000, 0.650487, 0.555556, 0.038462, 0.039607, -13.333333, 0.091226, 2.452641, 0.047259, 0.303462, 0.071942
32, 0.788000, 0.892713, 1.000000, 0.053571, 0.080755, -16.666667, 0.205125, 3.273196, 0.066079, 0.129723, 0.101695
33, 0.810000, 0.618169, 0.416667, 0.053763, 0.055065, -6.916667, 0.092960, 2.053333, 0.065104, 0.243852, 0.095238
34, 0.782000, 0.889002, 1.000000, 0.076271, 0.112031, -11.111111, 0.243597, 3.285340, 0.093555, 0.603304, 0.141732
35, 0.792000, 0.730482, 0.666667, 0.056075, 0.072654, -10.555556, 0.149431, 2.592308, 0.068650, 0.366033, 0.103448
36, 0.798000, 0.733948, 0.666667, 0.076190, 0.097892, -7.416667, 0.175815, 2.581415, 0.092593, 0.360997, 0.136752
