# ,accuracy,balanced_accuracy,recall,precision,cohen_cappa,cappa_m,matthews_corrcoef,harmonic_mean,fbeta_score,auc,f1_score
0, 0.892000, 0.531111, 0.080000, 0.333333, 0.093960, -0.080000, 0.121965, 1.178100, 0.204082, 0.153911, 0.129032
1, 0.844000, 0.556837, 0.196078, 0.212766, 0.117767, -0.529412, 0.117888, 1.481963, 0.209205, 0.256212, 0.204082
2, 0.766000, 0.768160, 0.770833, 0.258741, 0.284596, -1.437500, 0.349632, 2.848025, 0.298387, 0.130808, 0.387435
3, 0.724000, 0.428374, 0.062500, 0.031250, -0.099006, -1.875000, -0.107143, 1.384053, 0.034722, 0.465892, 0.041667
4, 0.902000, 0.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.000000, 0.000000, 0.122766, 0.000000
5, 0.892000, 0.498881, 0.000000, 0.000000, -0.003941, -0.018868, -0.015415, 3.002242, 0.000000, 0.357815, 0.000000
6, 0.890000, 0.503333, 0.020000, 0.142857, 0.010791, -0.100000, 0.017023, 1.053514, 0.064103, 0.850267, 0.035088
7, 0.924000, 0.669340, 0.354167, 0.708333, 0.436135, 0.208333, 0.466735, 1.724064, 0.590278, 0.045077, 0.472222
8, 0.508000, 0.327074, 0.102041, 0.024155, -0.141913, -4.020408, -0.208765, 2.015327, 0.028506, 0.828680, 0.039062
9, 0.920000, 0.755555, 0.551020, 0.600000, 0.530406, 0.183673, 0.530992, 2.143611, 0.589520, 0.089325, 0.574468
10, 0.638000, 0.373025, 0.038462, 0.015038, -0.150404, -2.480769, -0.175440, 1.490172, 0.017123, 0.856241, 0.021622
11, 0.888000, 0.493333, 0.000000, 0.000000, -0.021898, -0.120000, -0.036736, 3.013514, 0.000000, 0.593689, 0.000000
12, 0.846000, 0.471047, 0.000000, 0.000000, -0.073979, -0.509804, -0.078933, 3.061466, 0.000000, 0.945150, 0.000000
13, 0.894000, 0.491209, 0.000000, 0.000000, -0.027929, -0.177778, -0.040102, 3.017897, 0.000000, 0.788718, 0.000000
14, 0.842000, 0.469866, 0.000000, 0.000000, -0.076529, -0.519231, -0.081398, 3.064133, 0.000000, 0.636633, 0.000000
15, 0.882000, 0.490000, 0.000000, 0.000000, -0.031469, -0.180000, -0.045129, 3.020408, 0.000000, 0.858000, 0.000000
16, 0.894000, 0.515883, 0.038462, 0.400000, 0.052895, -0.019231, 0.097455, 1.083665, 0.138889, 0.461882, 0.070175
17, 0.884000, 0.535490, 0.104167, 0.250000, 0.096010, -0.208333, 0.106708, 1.242658, 0.195312, 0.441187, 0.147059
18, 0.884000, 0.498249, 0.020833, 0.083333, -0.005269, -0.208333, -0.006743, 1.066610, 0.052083, 0.486357, 0.033333
19, 0.890000, 0.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.000000, 0.000000, 0.470603, 0.000000
20, 0.908000, 0.498901, 0.000000, 0.000000, -0.003928, -0.022222, -0.014078, 3.002203, 0.000000, 0.715800, 0.000000
21, 0.862000, 0.573748, 0.222222, 0.227273, 0.148989, -0.533333, 0.149000, 1.525205, 0.226244, 0.244884, 0.224719
22, 0.888000, 0.495536, 0.000000, 0.000000, -0.015081, -0.076923, -0.030595, 3.009009, 0.000000, 0.872038, 0.000000
23, 0.880000, 0.493274, 0.000000, 0.000000, -0.022077, -0.111111, -0.038348, 3.013636, 0.000000, 0.109118, 0.000000
24, 0.760000, 0.457631, 0.088889, 0.048193, -0.061383, -1.666667, -0.065175, 1.387884, 0.053050, 0.401661, 0.062500
25, 0.826000, 0.459911, 0.000000, 0.000000, -0.092196, -0.705882, -0.093876, 3.087167, 0.000000, 0.694746, 0.000000
26, 0.600000, 0.368832, 0.075472, 0.025806, -0.141944, -2.773585, -0.174612, 1.661079, 0.029718, 0.440800, 0.038462
27, 0.870000, 0.478022, 0.000000, 0.000000, -0.058632, -0.444444, -0.064194, 3.045977, 0.000000, 0.674042, 0.000000
28, 0.876000, 0.487751, 0.000000, 0.000000, -0.037553, -0.215686, -0.050548, 3.025114, 0.000000, 0.864972, 0.000000
29, 0.892000, 0.509091, 0.018182, 1.000000, 0.031911, 0.018182, 0.127335, 1.036364, 0.084746, 0.599673, 0.035714
30, 0.906000, 0.517245, 0.045455, 0.285714, 0.055618, -0.068182, 0.083162, 1.101996, 0.138889, 0.272179, 0.078431
31, 0.892000, 0.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.000000, 0.000000, 0.620453, 0.000000
32, 0.910000, 0.518879, 0.046512, 0.333333, 0.061875, -0.046512, 0.097224, 1.101853, 0.149254, 0.418248, 0.081633
33, 0.822000, 0.483755, 0.058824, 0.068182, -0.034595, -0.745098, -0.034710, 1.218137, 0.066079, 0.662343, 0.063158
34, 0.864000, 0.591236, 0.255319, 0.266667, 0.186019, -0.446809, 0.186072, 1.589210, 0.264317, 0.299187, 0.260870
35, 0.810000, 0.452009, 0.000000, 0.000000, -0.103932, -0.826923, -0.104505, 3.106173, 0.000000, 0.739827, 0.000000
36, 0.894000, 0.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.000000, 0.000000, 0.839981, 0.000000
