# ,accuracy,balanced_accuracy,recall,precision,cohen_cappa,cappa_m,matthews_corrcoef,harmonic_mean,fbeta_score,auc,f1_score
0, 0.512000, 0.664657, 0.920792, 0.282675, 0.178683, -1.415842, 0.278715, 4.289437, 0.328158, 0.000025, 0.432558
1, 0.330000, 0.581425, 0.989583, 0.221445, 0.070126, -2.489583, 0.183763, 7.750595, 0.262141, 0.000000, 0.361905
2, 0.830000, 0.891858, 1.000000, 0.557292, 0.607977, 0.205607, 0.660877, 3.275974, 0.611429, 0.006361, 0.715719
3, 0.340000, 0.587613, 0.989583, 0.224057, 0.076106, -2.437500, 0.192237, 7.365833, 0.265067, 0.000000, 0.365385
4, 0.898000, 0.936725, 1.000000, 0.655405, 0.728110, 0.474227, 0.756613, 3.144886, 0.703919, 0.000000, 0.791837
5, 0.908000, 0.906811, 0.904762, 0.725191, 0.745828, 0.561905, 0.753646, 2.909802, 0.755167, 0.000000, 0.805085
6, 0.732000, 0.806368, 0.926316, 0.409302, 0.413053, -0.410526, 0.485535, 3.309466, 0.460733, 0.000000, 0.567742
7, 0.978000, 0.957387, 0.922330, 0.969388, 0.931517, 0.893204, 0.931969, 2.852274, 0.959596, 0.000000, 0.945274
8, 0.212000, 0.507500, 1.000000, 0.202429, 0.006054, -2.940000, 0.055104, 68.666667, 0.240848, 0.000000, 0.336700
9, 0.492000, 0.525000, 0.580000, 0.214815, 0.030534, -1.540000, 0.040129, 3.287660, 0.245763, 0.007500, 0.313514
10, 0.324000, 0.557859, 0.937500, 0.213270, 0.050434, -2.520833, 0.125610, 7.486111, 0.252242, 0.002604, 0.347490
11, 0.566000, 0.428052, 0.185185, 0.134228, -0.126500, -1.009259, -0.129467, 1.860865, 0.142045, 0.031061, 0.155642
12, 0.664000, 0.784535, 0.978947, 0.359073, 0.342672, -0.768421, 0.446784, 3.652455, 0.411141, 0.001637, 0.525424
13, 0.226000, 0.310000, 0.450000, 0.119363, -0.186389, -2.870000, -0.352931, 6.782353, 0.139925, 0.000000, 0.188679
14, 0.656000, 0.522500, 0.300000, 0.227273, 0.040179, -0.720000, 0.040835, 1.942282, 0.238854, 0.004313, 0.258621
15, 0.280000, 0.408372, 0.623762, 0.163636, -0.089391, -2.564356, -0.174833, 6.429343, 0.191956, 0.001278, 0.259259
16, 0.330000, 0.570896, 0.980583, 0.232719, 0.064747, -2.252427, 0.169413, 8.164290, 0.274606, 0.000147, 0.376164
17, 0.834000, 0.802634, 0.752688, 0.538462, 0.524737, 0.107527, 0.536925, 2.678287, 0.570962, 0.000000, 0.627803
18, 0.836000, 0.659580, 0.380435, 0.583333, 0.368842, 0.108696, 0.380567, 1.826144, 0.527108, 0.003117, 0.460526
19, 0.980000, 0.980596, 0.981651, 0.930435, 0.942482, 0.908257, 0.943044, 2.984190, 0.940246, 0.005115, 0.955357
20, 0.890000, 0.923989, 0.979167, 0.639456, 0.705176, 0.427083, 0.733103, 3.109330, 0.687135, 0.000000, 0.773663
21, 0.206000, 0.188854, 0.158879, 0.052469, -0.358064, -2.710280, -0.534384, 4.887524, 0.060584, 0.003472, 0.078886
22, 0.292000, 0.455118, 0.721649, 0.176322, -0.041287, -2.649485, -0.087767, 6.745931, 0.207715, 0.000000, 0.283401
23, 0.948000, 0.945234, 0.940594, 0.826087, 0.846644, 0.742574, 0.849545, 2.933959, 0.846702, 0.000000, 0.879630
24, 0.794000, 0.516931, 0.061224, 0.352941, 0.049254, -0.051020, 0.074171, 1.150582, 0.180723, 0.000000, 0.104348
25, 0.664000, 0.659864, 0.653061, 0.323232, 0.230713, -0.714286, 0.259520, 2.806122, 0.359551, 0.000013, 0.432432
26, 0.274000, 0.486775, 0.836735, 0.191142, -0.011615, -2.704082, -0.030080, 8.982560, 0.226020, 0.000457, 0.311195
27, 0.996000, 0.997519, 1.000000, 0.979798, 0.987309, 0.979381, 0.987388, 3.004988, 0.983773, 0.000000, 0.989796
28, 0.444000, 0.588593, 0.839623, 0.254286, 0.096229, -1.622642, 0.158034, 4.641651, 0.295485, 0.000000, 0.390351
29, 0.346000, 0.594293, 1.000000, 0.228774, 0.082718, -2.371134, 0.207710, 7.302632, 0.270496, 0.000153, 0.372361
30, 0.632000, 0.513392, 0.319588, 0.208054, 0.022254, -0.896907, 0.023156, 2.053210, 0.223665, 0.002571, 0.252033
31, 0.262000, 0.229696, 0.174757, 0.059603, -0.315152, -2.582524, -0.447054, 3.862789, 0.068650, 0.001272, 0.088889
32, 0.396000, 0.520205, 0.724490, 0.205202, 0.020651, -2.081633, 0.034747, 4.614334, 0.239541, 0.001688, 0.319820
33, 0.956000, 0.896799, 0.796117, 0.987952, 0.855076, 0.786408, 0.862595, 2.594758, 0.942529, 0.000000, 0.881720
34, 0.404000, 0.589593, 0.900990, 0.240106, 0.088362, -1.950495, 0.167972, 5.396575, 0.281385, 0.001253, 0.379167
35, 0.258000, 0.258025, 0.258065, 0.073620, -0.246104, -2.989247, -0.395327, 4.392320, 0.085898, 0.000000, 0.114558
36, 0.538000, 0.592067, 0.680412, 0.248120, 0.110827, -1.381443, 0.145923, 3.346046, 0.284238, 0.005142, 0.363636
