# ,accuracy,balanced_accuracy,recall,precision,cohen_cappa,cappa_m,matthews_corrcoef,harmonic_mean,fbeta_score,auc,f1_score
0, 0.252000, 0.450004, 0.849206, 0.231602, -0.053070, -1.968254, -0.163822, 21.382623, 0.271023, 0.000255, 0.363946
1, 0.266000, 0.371440, 0.580645, 0.186047, -0.150297, -1.959677, -0.265489, 7.325225, 0.215311, 0.000000, 0.281800
2, 0.582000, 0.532000, 0.432000, 0.281250, 0.054299, -0.672000, 0.056980, 2.446278, 0.302352, 0.000000, 0.340694
3, 0.894000, 0.926667, 0.992000, 0.704545, 0.751174, 0.576000, 0.773678, 3.144991, 0.747889, 0.000757, 0.823920
4, 0.278000, 0.206460, 0.064516, 0.031621, -0.435319, -1.911290, -0.507099, 2.999261, 0.035211, 0.000086, 0.042440
5, 0.712000, 0.485001, 0.023622, 0.130435, -0.041094, -0.133858, -0.062333, 1.103901, 0.068493, 0.003156, 0.040000
6, 0.956000, 0.909836, 0.819672, 1.000000, 0.872979, 0.819672, 0.880108, 2.639344, 0.957854, 0.000835, 0.900901
7, 0.740000, 0.502436, 0.015625, 0.333333, 0.007088, -0.015625, 0.019529, 1.042120, 0.065789, 0.002499, 0.029851
8, 0.974000, 0.955688, 0.919355, 0.974359, 0.928949, 0.895161, 0.929630, 2.846753, 0.962838, 0.000032, 0.946058
9, 0.128000, 0.213021, 0.385827, 0.120393, -0.332339, -2.433071, -0.642094, 25.638320, 0.139601, 0.000253, 0.183521
10, 0.238000, 0.401661, 0.721311, 0.202299, -0.105245, -2.122951, -0.251177, 13.636171, 0.236305, 0.000000, 0.315978
11, 0.812000, 0.747984, 0.620968, 0.620968, 0.495968, 0.241935, 0.495968, 2.384793, 0.620968, 0.002391, 0.620968
12, 0.432000, 0.357680, 0.211382, 0.122066, -0.228352, -1.308943, -0.247906, 2.406975, 0.133333, 0.000173, 0.154762
13, 0.750000, 0.507874, 0.015748, 1.000000, 0.023315, 0.015748, 0.108606, 1.031496, 0.074074, 0.000095, 0.031008
14, 0.970000, 0.949980, 0.910569, 0.965517, 0.917550, 0.878049, 0.918230, 2.831862, 0.954003, 0.000000, 0.937238
15, 0.956000, 0.952334, 0.944882, 0.888889, 0.886258, 0.826772, 0.887017, 2.931663, 0.899550, 0.000000, 0.916031
16, 0.890000, 0.817219, 0.669291, 0.867347, 0.686102, 0.566929, 0.695697, 2.374694, 0.818882, 0.000559, 0.755556
17, 0.932000, 0.876382, 0.768595, 0.939394, 0.802422, 0.719008, 0.809061, 2.553276, 0.899420, 0.000055, 0.845455
18, 0.634000, 0.435055, 0.040323, 0.072464, -0.152567, -0.475806, -0.162636, 1.285773, 0.062500, 0.000000, 0.051813
19, 0.818000, 0.691516, 0.436508, 0.733333, 0.442402, 0.277778, 0.465727, 1.929513, 0.645540, 0.000000, 0.547264
20, 0.316000, 0.304603, 0.281250, 0.125874, -0.278180, -1.671875, -0.344694, 3.611680, 0.141509, 0.000000, 0.173913
21, 0.786000, 0.655027, 0.395161, 0.604938, 0.350823, 0.137097, 0.363407, 1.883346, 0.546875, 0.001930, 0.478049
22, 0.512000, 0.486818, 0.438017, 0.231441, -0.020220, -1.016529, -0.022663, 2.743028, 0.255545, 0.000000, 0.302857
23, 0.860000, 0.782601, 0.629032, 0.764706, 0.600930, 0.435484, 0.605713, 2.326246, 0.733083, 0.000000, 0.690265
24, 0.320000, 0.470686, 0.784615, 0.246377, -0.034315, -1.615385, -0.068144, 7.948541, 0.285554, 0.000000, 0.375000
25, 0.968000, 0.947588, 0.908333, 0.956140, 0.910754, 0.866667, 0.911265, 2.830000, 0.946181, 0.000000, 0.931624
26, 0.320000, 0.279688, 0.198413, 0.094697, -0.323246, -1.698413, -0.383206, 3.167196, 0.105753, 0.000000, 0.128205
27, 0.402000, 0.352920, 0.253968, 0.135021, -0.227664, -1.373016, -0.255772, 2.720954, 0.148976, 0.000605, 0.176309
28, 0.760000, 0.519299, 0.049180, 0.600000, 0.056010, 0.016393, 0.118412, 1.109056, 0.185185, 0.000000, 0.090909
29, 0.276000, 0.487098, 0.912698, 0.246781, -0.013619, -1.873016, -0.044502, 18.086266, 0.288945, 0.000584, 0.388514
30, 0.674000, 0.466323, 0.047619, 0.122449, -0.084469, -0.293651, -0.098356, 1.225147, 0.093168, 0.000849, 0.068571
31, 0.950000, 0.932733, 0.897638, 0.904762, 0.867719, 0.803150, 0.867731, 2.828517, 0.903328, 0.000148, 0.901186
32, 0.792000, 0.735025, 0.627119, 0.552239, 0.449012, 0.118644, 0.450634, 2.440573, 0.565749, 0.000000, 0.587302
33, 0.944000, 0.917748, 0.862595, 0.918699, 0.852280, 0.786260, 0.853040, 2.753046, 0.906902, 0.000041, 0.889764
34, 0.766000, 0.738015, 0.682927, 0.518519, 0.430091, 0.048780, 0.438068, 2.626723, 0.544747, 0.000000, 0.589474
35, 0.882000, 0.839587, 0.756098, 0.762295, 0.681040, 0.520325, 0.681050, 2.595528, 0.761047, 0.000722, 0.759184
36, 0.954000, 0.909140, 0.823529, 0.980000, 0.865811, 0.806723, 0.871180, 2.652336, 0.944123, 0.000000, 0.894977
