# ,accuracy,balanced_accuracy,recall,precision,cohen_cappa,cappa_m,matthews_corrcoef,harmonic_mean,fbeta_score,auc,f1_score
0, 0.202000, 0.174604, 0.034826, 0.033019, -0.645008, -0.985075, -0.645672, 3.250503, 0.033365, 0.000116, 0.033898
1, 0.948000, 0.950833, 0.965000, 0.910377, 0.892739, 0.870000, 0.893835, 2.997616, 0.920802, 0.000000, 0.936893
2, 0.946000, 0.941441, 0.916667, 0.949239, 0.887616, 0.867647, 0.887993, 2.868298, 0.942540, 0.000017, 0.932668
3, 0.916000, 0.930921, 1.000000, 0.823529, 0.830240, 0.785714, 0.842468, 3.160305, 0.853659, 0.000000, 0.903226
4, 0.942000, 0.949059, 0.985075, 0.883929, 0.881586, 0.855721, 0.885500, 3.065387, 0.902461, 0.000000, 0.931765
5, 0.972000, 0.974958, 0.990050, 0.943128, 0.942234, 0.930348, 0.943037, 3.021911, 0.952153, 0.000000, 0.966019
6, 0.936000, 0.938333, 0.950000, 0.896226, 0.867987, 0.840000, 0.869052, 2.979137, 0.906489, 0.000000, 0.922330
7, 0.934000, 0.934002, 0.934010, 0.901961, 0.862642, 0.832487, 0.863008, 2.938692, 0.908193, 0.000000, 0.917706
8, 0.976000, 0.973411, 0.960199, 0.979695, 0.949919, 0.940299, 0.950051, 2.933957, 0.975733, 0.000000, 0.969849
9, 0.982000, 0.977723, 0.955446, 1.000000, 0.962352, 0.955446, 0.963035, 2.910891, 0.990760, 0.000000, 0.977215
10, 0.798000, 0.808472, 0.857868, 0.698347, 0.593241, 0.487310, 0.603230, 3.033127, 0.725322, 0.000871, 0.769932
11, 0.522000, 0.601667, 1.000000, 0.455581, 0.169562, -0.195000, 0.304360, 6.918033, 0.511247, 0.000000, 0.625978
12, 0.650000, 0.564677, 0.129353, 1.000000, 0.150881, 0.129353, 0.285651, 1.258706, 0.426230, 0.000166, 0.229075
13, 0.278000, 0.337966, 0.626263, 0.301703, -0.273423, -0.823232, -0.414340, 21.385859, 0.336591, 0.000000, 0.407225
14, 0.638000, 0.651344, 0.730769, 0.548736, 0.288902, 0.129808, 0.300141, 3.210041, 0.577508, 0.000000, 0.626804
15, 0.386000, 0.452333, 0.753846, 0.362069, -0.079769, -0.574359, -0.119011, 8.138127, 0.404068, 0.000446, 0.489185
16, 0.604000, 0.514502, 0.107692, 0.466667, 0.033675, -0.015385, 0.049432, 1.300794, 0.280000, 0.000008, 0.175000
17, 0.750000, 0.713434, 0.514706, 0.801527, 0.452004, 0.387255, 0.477096, 2.125708, 0.721154, 0.000008, 0.626866
18, 0.464000, 0.389324, 0.030303, 0.073171, -0.246187, -0.353535, -0.292365, 1.396889, 0.057034, 0.000008, 0.042857
19, 0.612000, 0.669712, 0.970297, 0.510417, 0.296408, 0.039604, 0.394578, 4.649685, 0.563867, 0.000000, 0.668942
20, 0.774000, 0.794652, 0.893939, 0.657993, 0.555034, 0.429293, 0.578087, 3.225974, 0.694662, 0.000000, 0.758030
21, 0.624000, 0.528170, 0.076142, 0.714286, 0.066775, 0.045685, 0.137245, 1.172486, 0.266904, 0.000000, 0.137615
22, 0.230000, 0.265687, 0.447761, 0.247253, -0.413653, -0.915423, -0.516346, 12.855522, 0.271575, 0.000000, 0.318584
23, 0.242000, 0.226103, 0.153846, 0.122951, -0.524047, -0.943590, -0.534526, 3.659341, 0.128096, 0.000454, 0.136674
24, 0.700000, 0.720923, 0.839806, 0.596552, 0.416433, 0.271845, 0.440626, 3.340629, 0.633236, 0.000000, 0.697581
25, 0.646000, 0.556979, 0.120603, 0.923077, 0.133644, 0.110553, 0.251235, 1.247895, 0.396040, 0.000000, 0.213333
26, 0.602000, 0.660916, 0.933673, 0.495935, 0.278211, -0.015306, 0.357309, 4.443618, 0.547249, 0.000000, 0.647788
27, 0.100000, 0.114594, 0.189055, 0.116923, -0.700038, -1.238806, -0.792357, 25.294776, 0.126582, 0.000000, 0.144487
28, 0.390000, 0.457157, 0.806931, 0.379953, -0.072554, -0.509901, -0.120459, 10.926361, 0.424922, 0.000100, 0.516640
29, 0.236000, 0.226684, 0.182741, 0.140078, -0.518983, -0.939086, -0.534416, 4.060604, 0.146939, 0.000000, 0.158590
30, 0.570000, 0.505523, 0.162562, 0.423077, 0.012239, -0.059113, 0.014950, 1.503695, 0.320388, 0.000000, 0.234875
31, 0.576000, 0.590833, 0.665000, 0.478417, 0.170579, -0.060000, 0.179123, 3.265484, 0.506860, 0.000000, 0.556485
32, 0.170000, 0.193859, 0.323529, 0.192420, -0.553655, -1.034314, -0.648358, 16.226006, 0.209391, 0.000166, 0.241316
33, 0.720000, 0.662500, 0.375000, 0.833333, 0.357798, 0.300000, 0.414425, 1.802632, 0.669643, 0.000000, 0.517241
34, 0.728000, 0.677437, 0.434343, 0.781818, 0.384281, 0.313131, 0.418968, 1.955018, 0.673981, 0.000000, 0.558442
35, 0.618000, 0.662904, 0.878788, 0.510264, 0.289773, 0.035354, 0.342154, 3.994613, 0.556978, 0.000602, 0.645640
36, 0.782000, 0.743010, 0.555556, 0.839695, 0.516089, 0.449495, 0.540556, 2.185844, 0.761773, 0.000000, 0.668693
