# ,accuracy,balanced_accuracy,recall,precision,cohen_cappa,cappa_m,matthews_corrcoef,harmonic_mean,fbeta_score,auc,f1_score
0, 0.202000, 0.173788, 0.029851, 0.028571, -0.647671, -0.985075, -0.648119, 3.207070, 0.028818, 0.000116, 0.029197
1, 0.948000, 0.951667, 0.970000, 0.906542, 0.892916, 0.870000, 0.894404, 3.011429, 0.918561, 0.000000, 0.937198
2, 0.946000, 0.941441, 0.916667, 0.949239, 0.887616, 0.867647, 0.887993, 2.868298, 0.942540, 0.000017, 0.932668
3, 0.910000, 0.925081, 0.994898, 0.815900, 0.818273, 0.770408, 0.830896, 3.159027, 0.846354, 0.000000, 0.896552
4, 0.944000, 0.951547, 0.990050, 0.884444, 0.885761, 0.860697, 0.890038, 3.075338, 0.903724, 0.000000, 0.934272
5, 0.974000, 0.976630, 0.990050, 0.947619, 0.946316, 0.935323, 0.946971, 3.018294, 0.955812, 0.000000, 0.968370
6, 0.930000, 0.931667, 0.940000, 0.890995, 0.855491, 0.825000, 0.856375, 2.963032, 0.900383, 0.000000, 0.914842
7, 0.928000, 0.929051, 0.934010, 0.888889, 0.850550, 0.817259, 0.851284, 2.950163, 0.897561, 0.000000, 0.910891
8, 0.938000, 0.943269, 0.970149, 0.886364, 0.873013, 0.845771, 0.875670, 3.031539, 0.901943, 0.000000, 0.926366
9, 0.986000, 0.982673, 0.965347, 1.000000, 0.970765, 0.965347, 0.971180, 2.930693, 0.992872, 0.000000, 0.982368
10, 0.832000, 0.816103, 0.741117, 0.815642, 0.642474, 0.573604, 0.644368, 2.604456, 0.799562, 0.000821, 0.776596
11, 0.550000, 0.625000, 1.000000, 0.470588, 0.210526, -0.125000, 0.342997, 6.000000, 0.526316, 0.000000, 0.640000
12, 0.772000, 0.717233, 0.437811, 0.988764, 0.478127, 0.432836, 0.556896, 1.878978, 0.789946, 0.000216, 0.606897
13, 0.280000, 0.340491, 0.631313, 0.303398, -0.268964, -0.818182, -0.409696, 21.395960, 0.338570, 0.000000, 0.409836
14, 0.356000, 0.411980, 0.745192, 0.365566, -0.153163, -0.548077, -0.241683, 14.186037, 0.407038, 0.000000, 0.490506
15, 0.430000, 0.507818, 0.861538, 0.394366, 0.012884, -0.461538, 0.021478, 8.212439, 0.442338, 0.000563, 0.541063
16, 0.738000, 0.687222, 0.456410, 0.780702, 0.404762, 0.328205, 0.435318, 2.002106, 0.683564, 0.000017, 0.576052
17, 0.752000, 0.712076, 0.495098, 0.827869, 0.452413, 0.392157, 0.485352, 2.066560, 0.729769, 0.000033, 0.619632
18, 0.512000, 0.429059, 0.030303, 0.103448, -0.161551, -0.232323, -0.216690, 1.268606, 0.069767, 0.000000, 0.046875
19, 0.626000, 0.684647, 0.990099, 0.519481, 0.322267, 0.074257, 0.430602, 4.617366, 0.574053, 0.000000, 0.681431
20, 0.686000, 0.720065, 0.883838, 0.566343, 0.401385, 0.207071, 0.443018, 3.565296, 0.610181, 0.000000, 0.690335
21, 0.624000, 0.528170, 0.076142, 0.714286, 0.066775, 0.045685, 0.137245, 1.172486, 0.266904, 0.000000, 0.137615
22, 0.114000, 0.123854, 0.174129, 0.112179, -0.689859, -1.203980, -0.761489, 13.939168, 0.120773, 0.000042, 0.136452
23, 0.246000, 0.228457, 0.148718, 0.120833, -0.521388, -0.933333, -0.530204, 3.542117, 0.125541, 0.000521, 0.133333
24, 0.718000, 0.729691, 0.796117, 0.623574, 0.441115, 0.315534, 0.452824, 3.099925, 0.651828, 0.000000, 0.699360
25, 0.578000, 0.500501, 0.120603, 0.400000, 0.001136, -0.060302, 0.001509, 1.377055, 0.273349, 0.000000, 0.185328
26, 0.584000, 0.647019, 0.938776, 0.484211, 0.252014, -0.061224, 0.336114, 4.692366, 0.536131, 0.000000, 0.638889
27, 0.104000, 0.119569, 0.199005, 0.122324, -0.689979, -1.228856, -0.784228, 25.314677, 0.132538, 0.000000, 0.151515
28, 0.414000, 0.485265, 0.856436, 0.395881, -0.024820, -0.450495, -0.043577, 10.477577, 0.443590, 0.000415, 0.541471
29, 0.278000, 0.317276, 0.502538, 0.273481, -0.318750, -0.832487, -0.399473, 8.580076, 0.300912, 0.000000, 0.354204
30, 0.530000, 0.472633, 0.167488, 0.340000, -0.059513, -0.157635, -0.067198, 1.620690, 0.281924, 0.000000, 0.224422
31, 0.384000, 0.425833, 0.635000, 0.350829, -0.130690, -0.540000, -0.162563, 5.885385, 0.385316, 0.000000, 0.451957
32, 0.216000, 0.250232, 0.436275, 0.243169, -0.444661, -0.921569, -0.554287, 16.451496, 0.266787, 0.000116, 0.312281
33, 0.654000, 0.603333, 0.350000, 0.619469, 0.222821, 0.135000, 0.242076, 1.867315, 0.536810, 0.000000, 0.447284
34, 0.724000, 0.669777, 0.409091, 0.794118, 0.370484, 0.303030, 0.412101, 1.892915, 0.668317, 0.000000, 0.540000
35, 0.634000, 0.674410, 0.868687, 0.522796, 0.313146, 0.075758, 0.359617, 3.820132, 0.568032, 0.000736, 0.652751
36, 0.764000, 0.775069, 0.828283, 0.661290, 0.527213, 0.404040, 0.538122, 3.041887, 0.689076, 0.000000, 0.735426
