# ,accuracy,balanced_accuracy,recall,precision,cohen_cappa,cappa_m,matthews_corrcoef,harmonic_mean,fbeta_score,auc,f1_score
0, 0.866000, 0.916873, 1.000000, 0.591463, 0.660533, 0.309278, 0.702233, 3.199405, 0.644090, 0.000000, 0.743295
1, 0.704000, 0.472805, 0.076923, 0.133333, -0.064442, -0.423077, -0.067933, 1.305009, 0.116279, 0.000000, 0.097561
2, 0.716000, 0.569415, 0.329897, 0.293578, 0.132602, -0.463918, 0.132960, 1.895990, 0.300188, 0.000000, 0.310680
3, 0.486000, 0.433919, 0.346535, 0.154867, -0.090388, -1.544554, -0.106617, 2.611339, 0.174129, 0.000000, 0.214067
4, 0.548000, 0.619310, 0.737374, 0.267399, 0.143589, -1.282828, 0.190987, 3.469772, 0.306465, 0.000000, 0.392473
5, 0.900000, 0.765000, 0.540000, 0.931034, 0.629080, 0.500000, 0.662035, 2.090101, 0.813253, 0.000000, 0.683544
6, 0.912000, 0.929841, 0.959184, 0.701493, 0.754836, 0.551020, 0.770496, 3.028865, 0.741325, 0.000000, 0.810345
7, 0.230000, 0.516147, 0.989899, 0.203320, 0.013144, -2.888889, 0.069078, 25.568033, 0.241737, 0.000000, 0.337349
8, 0.688000, 0.683713, 0.676471, 0.359375, 0.276653, -0.529412, 0.304428, 2.800214, 0.396552, 0.000000, 0.469388
9, 0.084000, 0.115487, 0.168317, 0.043478, -0.371110, -3.534653, -0.747802, 16.296634, 0.051051, 0.000000, 0.069106
10, 0.608000, 0.380000, 0.000000, 0.000000, -0.243655, -0.960000, -0.243733, 3.315789, 0.000000, 0.000000, 0.000000
11, 0.352000, 0.456250, 0.630000, 0.180000, -0.045161, -2.240000, -0.076376, 4.799823, 0.210000, 0.000000, 0.280000
12, 0.748000, 0.491417, 0.072165, 0.162791, -0.021765, -0.298969, -0.024210, 1.242423, 0.130112, 0.000000, 0.100000
13, 0.266000, 0.325683, 0.427184, 0.125000, -0.183963, -2.563107, -0.308874, 5.315043, 0.145599, 0.000000, 0.193407
14, 0.828000, 0.569460, 0.141414, 0.933333, 0.204146, 0.131313, 0.324518, 1.285328, 0.440252, 0.000000, 0.245614
15, 0.450000, 0.289864, 0.031579, 0.016129, -0.307531, -1.894737, -0.341114, 1.887482, 0.017878, 0.000000, 0.021352
16, 0.302000, 0.412085, 0.598039, 0.165312, -0.089100, -2.421569, -0.161134, 5.618301, 0.193283, 0.000000, 0.259023
17, 0.832000, 0.794908, 0.732673, 0.564885, 0.530925, 0.168317, 0.538536, 2.632013, 0.592000, 0.000000, 0.637931
18, 0.276000, 0.273750, 0.270000, 0.085443, -0.250000, -2.620000, -0.375315, 4.143604, 0.098974, 0.000000, 0.129808
19, 0.254000, 0.526632, 0.990291, 0.215190, 0.022823, -2.621359, 0.097022, 17.860583, 0.255128, 0.000000, 0.353553
20, 0.782000, 0.505789, 0.039216, 0.266667, 0.016955, -0.068627, 0.027349, 1.106855, 0.123457, 0.000000, 0.068376
21, 0.140000, 0.118908, 0.085106, 0.022727, -0.370964, -3.574468, -0.652356, 6.718600, 0.026631, 0.000000, 0.035874
22, 0.902000, 0.855604, 0.776699, 0.754717, 0.703619, 0.524272, 0.703735, 2.623479, 0.759013, 0.000000, 0.765550
23, 0.792000, 0.813750, 0.850000, 0.488506, 0.491194, -0.040000, 0.526939, 2.986174, 0.533920, 0.000000, 0.620438
24, 0.294000, 0.278168, 0.252632, 0.078431, -0.239815, -2.715789, -0.357176, 3.797946, 0.090978, 0.000000, 0.119701
25, 0.834000, 0.888437, 0.980392, 0.552486, 0.603159, 0.186275, 0.651415, 3.216305, 0.605327, 0.000000, 0.706714
26, 0.954000, 0.886511, 0.775510, 0.987013, 0.841178, 0.765306, 0.850164, 2.553514, 0.935961, 0.000000, 0.868571
27, 0.762000, 0.727500, 0.670000, 0.437908, 0.379562, -0.190000, 0.394940, 2.613885, 0.470506, 0.000000, 0.529644
28, 0.406000, 0.368041, 0.303922, 0.120623, -0.168629, -1.911765, -0.212785, 2.921797, 0.137168, 0.000000, 0.172702
29, 0.472000, 0.515223, 0.588235, 0.212766, 0.018383, -1.588235, 0.024741, 3.437834, 0.243902, 0.000000, 0.312500
30, 0.804000, 0.875223, 0.989362, 0.489474, 0.538954, -0.042553, 0.604072, 3.292639, 0.544496, 0.000000, 0.654930
31, 0.532000, 0.484751, 0.403846, 0.196262, -0.021941, -1.250000, -0.025017, 2.575549, 0.218750, 0.000000, 0.264151
32, 0.950000, 0.903805, 0.825243, 0.923913, 0.840862, 0.757282, 0.842931, 2.668434, 0.902335, 0.000000, 0.871795
33, 0.552000, 0.675117, 0.876289, 0.286195, 0.196453, -1.309278, 0.282014, 3.862525, 0.330739, 0.000000, 0.431472
34, 0.628000, 0.412701, 0.049020, 0.053191, -0.179844, -0.823529, -0.180076, 1.386065, 0.052301, 0.000000, 0.051020
35, 0.388000, 0.508750, 0.710000, 0.204023, 0.009067, -2.060000, 0.015218, 4.672033, 0.237936, 0.000000, 0.316964
36, 0.798000, 0.550757, 0.141414, 0.466667, 0.137637, -0.020202, 0.170336, 1.324387, 0.319635, 0.000000, 0.217054
