# ,accuracy,balanced_accuracy,recall,precision,cohen_cappa,cappa_m,matthews_corrcoef,harmonic_mean,fbeta_score,auc,f1_score
0, 0.870000, 0.907613, 0.969072, 0.602564, 0.662289, 0.329897, 0.695785, 3.119963, 0.651872, 0.000000, 0.743083
1, 0.504000, 0.346542, 0.076923, 0.050000, -0.256078, -1.384615, -0.267044, 1.776797, 0.053763, 0.000000, 0.060606
2, 0.602000, 0.737446, 0.958763, 0.322917, 0.271745, -1.051546, 0.379987, 3.855026, 0.372298, 0.000000, 0.483117
3, 0.500000, 0.487059, 0.465347, 0.193416, -0.016971, -1.475248, -0.020791, 2.896210, 0.219012, 0.000000, 0.273256
4, 0.558000, 0.697814, 0.929293, 0.300654, 0.221348, -1.232323, 0.323530, 4.002971, 0.347695, 0.000000, 0.454321
5, 0.924000, 0.825000, 0.660000, 0.942857, 0.732394, 0.620000, 0.749308, 2.330101, 0.868421, 0.000000, 0.776471
6, 0.804000, 0.870393, 0.979592, 0.500000, 0.543626, 0.000000, 0.604634, 3.272909, 0.554273, 0.000000, 0.662069
7, 0.226000, 0.517456, 1.000000, 0.203704, 0.014123, -2.909091, 0.084332, 30.642857, 0.242291, 0.000000, 0.338462
8, 0.536000, 0.642920, 0.823529, 0.281879, 0.166715, -1.274510, 0.234737, 3.810102, 0.324575, 0.000000, 0.420000
9, 0.100000, 0.199459, 0.366337, 0.087470, -0.274398, -3.455446, -0.668598, 31.424981, 0.103179, 0.003834, 0.141221
10, 0.418000, 0.268750, 0.020000, 0.010256, -0.341014, -1.910000, -0.379293, 1.972367, 0.011364, 0.003875, 0.013559
11, 0.216000, 0.420000, 0.760000, 0.171171, -0.069869, -2.920000, -0.202939, 14.020000, 0.202559, 0.000000, 0.279412
12, 0.668000, 0.484843, 0.185567, 0.171429, -0.029394, -0.711340, -0.029430, 1.646450, 0.174081, 0.000000, 0.178218
13, 0.290000, 0.383935, 0.543689, 0.153846, -0.119761, -2.446602, -0.210971, 5.548053, 0.179602, 0.000000, 0.239829
14, 0.774000, 0.589045, 0.282828, 0.400000, 0.200170, -0.141414, 0.204525, 1.682648, 0.369393, 0.000000, 0.331361
15, 0.330000, 0.260104, 0.147368, 0.052239, -0.282739, -2.526316, -0.377425, 2.976856, 0.059983, 0.000234, 0.077135
16, 0.734000, 0.654276, 0.519608, 0.386861, 0.273637, -0.303922, 0.278777, 2.306732, 0.407692, 0.000000, 0.443515
17, 0.546000, 0.682263, 0.910891, 0.296774, 0.205627, -1.247525, 0.301521, 4.026202, 0.343028, 0.000000, 0.447689
18, 0.240000, 0.386250, 0.630000, 0.155172, -0.105937, -2.800000, -0.232908, 8.277544, 0.182715, 0.000000, 0.249012
19, 0.254000, 0.526632, 0.990291, 0.215190, 0.022823, -2.621359, 0.097022, 17.860583, 0.255128, 0.000000, 0.353553
20, 0.760000, 0.502907, 0.068627, 0.218750, 0.007805, -0.176471, 0.009571, 1.204279, 0.152174, 0.000037, 0.104478
21, 0.112000, 0.089404, 0.053191, 0.013889, -0.393422, -3.723404, -0.714590, 8.067167, 0.016297, 0.000000, 0.022026
22, 0.852000, 0.885231, 0.941748, 0.587879, 0.630037, 0.281553, 0.662676, 3.090182, 0.635649, 0.000000, 0.723881
23, 0.742000, 0.827500, 0.970000, 0.434978, 0.448246, -0.290000, 0.527083, 3.399854, 0.488911, 0.000000, 0.600619
24, 0.302000, 0.307277, 0.315789, 0.095541, -0.204778, -2.673684, -0.312846, 3.978686, 0.111029, 0.000000, 0.146699
25, 0.594000, 0.741329, 0.990196, 0.333333, 0.278545, -0.990196, 0.398040, 4.011004, 0.384323, 0.000000, 0.498765
26, 0.980000, 0.975987, 0.969388, 0.931373, 0.937506, 0.897959, 0.937799, 2.956497, 0.938735, 0.000000, 0.950000
27, 0.614000, 0.702500, 0.850000, 0.323194, 0.251358, -0.930000, 0.324439, 3.501802, 0.368924, 0.000000, 0.468320
28, 0.364000, 0.527589, 0.803922, 0.215789, 0.027404, -2.117647, 0.052062, 5.587843, 0.252774, 0.000000, 0.340249
29, 0.452000, 0.553700, 0.725490, 0.231250, 0.059841, -1.686275, 0.090164, 4.069401, 0.267728, 0.000000, 0.350711
30, 0.658000, 0.789409, 1.000000, 0.354717, 0.340685, -0.819149, 0.453119, 3.727660, 0.407279, 0.000000, 0.523677
31, 0.402000, 0.501943, 0.673077, 0.208955, 0.002136, -1.875000, 0.003353, 4.369055, 0.242382, 0.000000, 0.318907
32, 0.942000, 0.938312, 0.932039, 0.813559, 0.831771, 0.718447, 0.834938, 2.922744, 0.834783, 0.000000, 0.868778
33, 0.632000, 0.748228, 0.938144, 0.338290, 0.296711, -0.896907, 0.393766, 3.667400, 0.387894, 0.000000, 0.497268
34, 0.244000, 0.171495, 0.049020, 0.017483, -0.393230, -2.705882, -0.535087, 3.499749, 0.020064, 0.001256, 0.025773
35, 0.302000, 0.560000, 0.990000, 0.221477, 0.052146, -2.490000, 0.155926, 9.672308, 0.262182, 0.000000, 0.361974
36, 0.718000, 0.523703, 0.202020, 0.243902, 0.050684, -0.424242, 0.051019, 1.586931, 0.234192, 0.000000, 0.220994
