# ,accuracy,balanced_accuracy,recall,precision,cohen_cappa,cappa_m,matthews_corrcoef,harmonic_mean,fbeta_score,auc,f1_score
0, 0.806000, 0.586173, 0.222222, 0.523810, 0.220057, 0.020202, 0.247592, 1.496938, 0.411985, 0.000000, 0.312057
1, 0.208000, 0.493750, 0.970000, 0.197959, -0.005076, -2.960000, -0.035714, 59.082857, 0.235437, 0.000000, 0.328814
2, 0.198000, 0.157674, 0.090909, 0.028125, -0.371972, -3.050505, -0.568393, 4.637374, 0.032632, 0.000000, 0.042959
3, 0.216000, 0.331100, 0.520408, 0.128788, -0.157134, -3.000000, -0.330387, 8.093448, 0.151605, 0.000000, 0.206478
4, 0.590000, 0.737617, 0.990385, 0.335505, 0.276355, -0.971154, 0.396208, 4.043269, 0.386637, 0.000000, 0.501217
5, 0.186000, 0.203443, 0.232323, 0.064972, -0.301084, -3.111111, -0.519816, 6.193218, 0.075908, 0.000000, 0.101545
6, 0.740000, 0.515864, 0.137255, 0.250000, 0.038120, -0.274510, 0.040540, 1.392487, 0.214724, 0.000000, 0.177215
7, 0.882000, 0.788005, 0.635417, 0.717647, 0.602319, 0.385417, 0.603981, 2.333991, 0.699541, 0.000000, 0.674033
8, 0.610000, 0.523228, 0.381443, 0.215116, 0.035913, -1.010309, 0.038670, 2.266618, 0.235669, 0.000000, 0.275093
9, 0.726000, 0.572692, 0.313725, 0.323232, 0.146991, -0.343137, 0.147017, 1.829868, 0.321285, 0.000000, 0.318408
10, 0.470000, 0.338974, 0.117647, 0.064171, -0.245863, -1.598039, -0.268209, 2.020047, 0.070588, 0.000000, 0.083045
11, 0.634000, 0.772388, 1.000000, 0.348754, 0.319318, -0.867347, 0.435882, 3.835616, 0.400982, 0.000000, 0.517150
12, 0.604000, 0.740741, 0.981481, 0.350993, 0.291683, -0.833333, 0.405134, 3.962963, 0.402736, 0.000000, 0.517073
13, 0.256000, 0.339311, 0.473684, 0.122616, -0.153345, -2.915789, -0.285329, 5.826886, 0.143954, 0.000000, 0.194805
14, 0.954000, 0.887642, 0.777778, 0.987179, 0.842587, 0.767677, 0.851426, 2.558056, 0.936740, 0.000000, 0.870056
15, 0.700000, 0.687605, 0.666667, 0.369565, 0.288857, -0.470588, 0.313518, 2.744681, 0.405728, 0.000000, 0.475524
16, 0.266000, 0.348409, 0.484848, 0.131868, -0.150990, -2.707071, -0.271502, 5.687344, 0.154341, 0.000000, 0.207343
17, 0.832000, 0.679377, 0.421569, 0.632353, 0.409515, 0.176471, 0.421738, 1.910161, 0.574866, 0.000000, 0.505882
18, 0.288000, 0.381096, 0.527473, 0.132964, -0.110432, -2.912088, -0.204809, 5.315362, 0.156352, 0.000000, 0.212389
19, 0.634000, 0.739971, 0.925234, 0.361314, 0.306103, -0.710280, 0.395500, 3.653220, 0.411471, 0.000000, 0.519685
20, 0.404000, 0.334475, 0.217822, 0.091286, -0.218136, -1.950495, -0.266001, 2.652310, 0.103286, 0.000000, 0.128655
21, 0.354000, 0.536721, 0.822222, 0.194226, 0.032471, -2.588889, 0.066255, 5.625027, 0.229244, 0.000000, 0.314225
22, 0.750000, 0.691767, 0.594059, 0.416667, 0.330921, -0.237624, 0.340051, 2.454785, 0.443131, 0.000000, 0.489796
23, 0.454000, 0.594861, 0.841121, 0.260116, 0.104660, -1.551402, 0.168542, 4.550856, 0.301811, 0.000000, 0.397351
24, 0.548000, 0.648473, 0.810526, 0.270175, 0.168200, -1.378947, 0.235302, 3.676890, 0.311741, 0.000000, 0.405263
25, 0.838000, 0.638498, 0.289720, 0.861111, 0.365164, 0.242991, 0.439494, 1.592326, 0.617530, 0.000000, 0.433566
26, 0.778000, 0.715708, 0.614583, 0.443609, 0.376152, -0.156250, 0.384559, 2.453409, 0.469745, 0.000000, 0.515284
27, 0.858000, 0.645218, 0.292929, 0.966667, 0.393784, 0.282828, 0.487338, 1.588359, 0.662100, 0.000000, 0.449612
28, 0.968000, 0.922996, 0.848485, 0.988235, 0.893575, 0.838384, 0.897474, 2.699470, 0.956720, 0.000000, 0.913043
29, 0.590000, 0.408512, 0.115789, 0.083333, -0.159240, -1.157895, -0.162844, 1.657635, 0.088283, 0.000000, 0.096916
30, 0.476000, 0.404001, 0.281553, 0.133641, -0.136186, -1.543689, -0.156671, 2.462628, 0.149331, 0.000000, 0.181250
31, 0.442000, 0.417869, 0.378947, 0.140625, -0.099637, -1.936842, -0.128918, 2.947084, 0.160858, 0.000000, 0.205128
32, 0.628000, 0.504911, 0.289720, 0.219858, 0.008804, -0.738318, 0.008952, 1.968132, 0.230999, 0.000000, 0.250000
33, 0.252000, 0.461615, 0.804124, 0.180139, -0.033161, -2.855670, -0.089114, 10.004081, 0.213231, 0.000000, 0.294340
34, 0.732000, 0.532373, 0.206186, 0.259740, 0.070245, -0.381443, 0.070931, 1.577111, 0.246914, 0.000000, 0.229885
35, 0.492000, 0.666277, 0.947368, 0.265487, 0.167704, -1.673684, 0.279215, 4.490891, 0.310131, 0.000000, 0.414747
36, 0.566000, 0.501243, 0.383929, 0.225131, 0.001987, -0.937500, 0.002133, 2.384524, 0.245434, 0.000000, 0.283828
