# ,accuracy,balanced_accuracy,recall,precision,cohen_cappa,cappa_m,matthews_corrcoef,harmonic_mean,fbeta_score,auc,f1_score
0, 0.198000, 0.500000, 1.000000, 0.198000, 0.000000, -3.050505, 0.000000, 3.000000, 0.235827, 0.000000, 0.330551
1, 0.194000, 0.489899, 0.979798, 0.194779, -0.008024, -3.070707, -0.127542, 2.959596, 0.231946, 0.000000, 0.324958
2, 0.222000, 0.513750, 1.000000, 0.204499, 0.011185, -2.890000, 0.074991, 38.363636, 0.243191, 0.001275, 0.339559
3, 0.386000, 0.605000, 0.970000, 0.241895, 0.098649, -2.070000, 0.210795, 6.106667, 0.284624, 0.005800, 0.387226
4, 0.682000, 0.719410, 0.782178, 0.365741, 0.307901, -0.574257, 0.355670, 3.087257, 0.409326, 0.001340, 0.498423
5, 0.564000, 0.694131, 0.908163, 0.298658, 0.219153, -1.224490, 0.314100, 3.899228, 0.344961, 0.001498, 0.449495
6, 0.804000, 0.512658, 0.030303, 0.600000, 0.039404, 0.010101, 0.101388, 1.065619, 0.126050, 0.022368, 0.057692
7, 0.198000, 0.500000, 1.000000, 0.198000, 0.000000, -3.050505, 0.000000, 3.000000, 0.235827, 0.437265, 0.330551
8, 0.208000, 0.500000, 1.000000, 0.208000, 0.000000, -2.807692, 0.000000, 3.000000, 0.247148, 0.000243, 0.344371
9, 0.988000, 0.980963, 0.969388, 0.969388, 0.961925, 0.938776, 0.961925, 2.946294, 0.969388, 0.000025, 0.969388
10, 0.872000, 0.724898, 0.484536, 0.770492, 0.523568, 0.340206, 0.543447, 2.005062, 0.689150, 0.546827, 0.594937
11, 0.204000, 0.500000, 1.000000, 0.204000, 0.000000, -2.901961, 0.000000, 3.000000, 0.242626, 0.019694, 0.338870
12, 0.198000, 0.500000, 1.000000, 0.198000, 0.000000, -3.050505, 0.000000, 3.000000, 0.235827, 0.136414, 0.330551
13, 0.206000, 0.500000, 1.000000, 0.206000, 0.000000, -2.854369, 0.000000, 3.000000, 0.244888, 0.053606, 0.341625
14, 0.716000, 0.645575, 0.531250, 0.344595, 0.241323, -0.479167, 0.251213, 2.378461, 0.370640, 0.227220, 0.418033
15, 0.198000, 0.500000, 1.000000, 0.198000, 0.000000, -3.050505, 0.000000, 3.000000, 0.235827, 0.010051, 0.330551
16, 0.890000, 0.846474, 0.771429, 0.723214, 0.676394, 0.476190, 0.676969, 2.628022, 0.732369, 0.014684, 0.746544
17, 0.580000, 0.708512, 0.915789, 0.301038, 0.234080, -1.210526, 0.331253, 3.826653, 0.347722, 0.004340, 0.453125
18, 0.208000, 0.506234, 1.000000, 0.200000, 0.004975, -3.000000, 0.049938, 82.200000, 0.238095, 0.000000, 0.333333
19, 0.592000, 0.444773, 0.196078, 0.140845, -0.096397, -1.000000, -0.098705, 1.834186, 0.149254, 0.126441, 0.163934
20, 0.202000, 0.500000, 1.000000, 0.202000, 0.000000, -2.950495, 0.000000, 3.000000, 0.240362, 0.045808, 0.336106
21, 0.894000, 0.735870, 0.479167, 0.938776, 0.579978, 0.447917, 0.624948, 1.965815, 0.787671, 0.024933, 0.634483
22, 0.876000, 0.823677, 0.735294, 0.681818, 0.629009, 0.392157, 0.629731, 2.567007, 0.691882, 0.000172, 0.707547
23, 0.798000, 0.498750, 0.000000, 0.000000, -0.003976, -0.010000, -0.022383, 3.002506, 0.000000, 0.000025, 0.000000
24, 0.216000, 0.504721, 0.979592, 0.197531, 0.003782, -3.000000, 0.022721, 35.459184, 0.235064, 0.001015, 0.328767
25, 0.606000, 0.647863, 0.717172, 0.295833, 0.192491, -0.989899, 0.235877, 3.162792, 0.335222, 0.137485, 0.418879
26, 0.204000, 0.500000, 1.000000, 0.204000, 0.000000, -2.901961, 0.000000, 3.000000, 0.242626, 0.001306, 0.338870
27, 0.210000, 0.335085, 0.540816, 0.131514, -0.151523, -3.030612, -0.331115, 8.812402, 0.154971, 0.007691, 0.211577
28, 0.346000, 0.519976, 0.811881, 0.210256, 0.019314, -2.237624, 0.038721, 6.008378, 0.246839, 0.163044, 0.334012
29, 0.196000, 0.500000, 1.000000, 0.196000, 0.000000, -3.102041, 0.000000, 3.000000, 0.233556, 0.010585, 0.327759
30, 0.446000, 0.523475, 0.653465, 0.214286, 0.026595, -1.742574, 0.038757, 3.848332, 0.247562, 0.532879, 0.322738
31, 0.200000, 0.500000, 1.000000, 0.200000, 0.000000, -3.000000, 0.000000, 3.000000, 0.238095, 0.011600, 0.333333
32, 0.666000, 0.628418, 0.567010, 0.305556, 0.193860, -0.721649, 0.211585, 2.583661, 0.336597, 0.003607, 0.397112
33, 0.798000, 0.522544, 0.047619, 0.833333, 0.068953, 0.038095, 0.168659, 1.097776, 0.193798, 0.004087, 0.090090
34, 0.768000, 0.510331, 0.094737, 0.230769, 0.026682, -0.221053, 0.030227, 1.269474, 0.179283, 0.000728, 0.134328
35, 0.888000, 0.879662, 0.865385, 0.681818, 0.690758, 0.461538, 0.699166, 2.849413, 0.712025, 0.000486, 0.762712
36, 0.904000, 0.803047, 0.633663, 0.853333, 0.670556, 0.524752, 0.681494, 2.295677, 0.798005, 0.000645, 0.727273
