# ,accuracy,balanced_accuracy,recall,precision,cohen_cappa,cappa_m,matthews_corrcoef,harmonic_mean,fbeta_score,auc,f1_score
0, 0.572000, 0.621941, 0.704082, 0.271654, 0.152247, -1.183673, 0.193652, 3.260698, 0.309695, 0.000000, 0.392045
1, 0.480000, 0.549294, 0.663265, 0.222603, 0.056385, -1.653061, 0.079402, 3.623673, 0.256714, 0.000000, 0.333333
2, 0.896000, 0.785201, 0.598039, 0.847222, 0.640447, 0.490196, 0.654687, 2.224502, 0.782051, 0.000000, 0.701149
3, 0.602000, 0.592118, 0.575758, 0.266355, 0.128172, -1.010101, 0.148380, 2.794958, 0.298429, 0.000000, 0.364217
4, 0.524000, 0.571250, 0.650000, 0.242537, 0.087423, -1.380000, 0.114297, 3.330457, 0.277304, 0.003325, 0.353261
5, 0.940000, 0.864931, 0.742268, 0.935065, 0.791846, 0.690722, 0.799582, 2.497099, 0.888889, 0.000000, 0.827586
6, 0.792000, 0.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.000000, 0.000000, 0.000000, 0.000000
7, 0.818000, 0.800990, 0.773196, 0.520833, 0.508448, 0.061856, 0.525671, 2.752979, 0.557207, 0.000000, 0.622407
8, 0.396000, 0.518028, 0.722772, 0.210375, 0.018882, -1.990099, 0.031413, 4.637545, 0.245131, 0.000000, 0.325893
9, 0.326000, 0.372500, 0.450000, 0.137615, -0.137745, -2.370000, -0.214424, 4.289831, 0.159801, 0.000000, 0.210773
10, 0.594000, 0.568098, 0.525773, 0.245192, 0.094946, -1.092784, 0.109264, 2.689758, 0.274489, 0.000000, 0.334426
11, 0.610000, 0.393298, 0.029703, 0.030000, -0.214197, -0.930693, -0.214201, 1.380598, 0.029940, 0.000000, 0.029851
12, 0.692000, 0.434673, 0.000000, 0.000000, -0.159778, -0.509804, -0.172473, 3.150289, 0.000000, 0.007279, 0.000000
13, 0.322000, 0.201754, 0.000000, 0.000000, -0.395935, -2.356436, -0.479526, 4.478261, 0.000000, 0.000000, 0.000000
14, 0.362000, 0.297067, 0.188119, 0.074219, -0.258005, -2.158416, -0.325998, 2.839201, 0.084444, 0.000000, 0.106443
15, 0.970000, 0.924242, 0.848485, 1.000000, 0.899824, 0.848485, 0.904373, 2.696970, 0.965517, 0.000000, 0.918033
16, 0.760000, 0.482500, 0.020000, 0.083333, -0.048951, -0.200000, -0.065492, 1.098201, 0.051020, 0.001087, 0.032258
17, 0.802000, 0.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.000000, 0.000000, 0.000000, 0.000000
18, 0.756000, 0.471322, 0.000000, 0.000000, -0.080679, -0.232323, -0.109106, 3.060847, 0.000000, 0.000000, 0.000000
19, 0.498000, 0.310474, 0.000000, 0.000000, -0.315458, -1.535354, -0.328381, 3.610442, 0.000000, 0.000000, 0.000000
20, 0.320000, 0.305000, 0.280000, 0.094595, -0.224784, -2.400000, -0.317420, 3.590303, 0.109034, 0.000000, 0.141414
21, 0.694000, 0.461833, 0.082474, 0.111111, -0.084614, -0.577320, -0.085975, 1.353739, 0.103896, 0.003223, 0.094675
22, 0.990000, 0.975490, 0.950980, 1.000000, 0.968637, 0.950980, 0.969114, 2.901961, 0.989796, 0.000000, 0.974874
23, 0.800000, 0.582500, 0.220000, 0.500000, 0.208861, 0.000000, 0.232973, 1.498201, 0.398551, 0.000000, 0.305556
24, 0.978000, 0.945000, 0.890000, 1.000000, 0.928292, 0.890000, 0.930688, 2.780000, 0.975877, 0.000000, 0.941799
25, 0.248000, 0.196059, 0.108911, 0.037037, -0.352460, -2.722772, -0.496981, 3.748795, 0.042669, 0.002382, 0.055276
26, 0.494000, 0.304187, 0.000000, 0.000000, -0.309415, -1.691489, -0.328566, 3.643725, 0.000000, 0.000000, 0.000000
27, 0.786000, 0.497468, 0.000000, 0.000000, -0.007913, -0.019048, -0.032674, 3.005089, 0.000000, 0.000000, 0.000000
28, 0.634000, 0.434698, 0.098039, 0.099010, -0.131082, -0.794118, -0.131084, 1.492495, 0.098814, 0.000000, 0.098522
29, 0.696000, 0.639116, 0.547368, 0.322981, 0.219793, -0.600000, 0.233606, 2.462980, 0.351827, 0.000000, 0.406250
30, 0.798000, 0.509709, 0.019417, 1.000000, 0.030487, 0.019417, 0.124416, 1.038835, 0.090090, 0.000000, 0.038095
31, 0.404000, 0.505027, 0.670103, 0.196375, 0.005247, -2.072165, 0.008404, 4.281812, 0.228712, 0.000000, 0.303738
32, 0.816000, 0.564183, 0.135922, 0.823529, 0.185812, 0.106796, 0.286460, 1.279459, 0.409357, 0.000000, 0.233333
33, 0.500000, 0.349313, 0.103093, 0.057803, -0.232280, -1.577320, -0.250523, 1.885352, 0.063371, 0.000000, 0.074074
34, 0.632000, 0.400631, 0.009804, 0.011905, -0.212696, -0.803922, -0.214209, 1.283100, 0.011416, 0.000000, 0.010753
35, 0.628000, 0.405980, 0.040816, 0.041667, -0.189502, -0.897959, -0.189517, 1.378407, 0.041494, 0.000000, 0.041237
36, 0.770000, 0.470660, 0.000000, 0.000000, -0.082210, -0.263736, -0.105916, 3.062338, 0.000000, 0.000000, 0.000000
