# ,accuracy,balanced_accuracy,recall,precision,cohen_cappa,cappa_m,matthews_corrcoef,harmonic_mean,fbeta_score,auc,f1_score
0, 0.252000, 0.473094, 0.836735, 0.186364, -0.023200, -2.816327, -0.065737, 10.809833, 0.220667, 0.572799, 0.304833
1, 0.398000, 0.463575, 0.571429, 0.177778, -0.039652, -2.071429, -0.059898, 3.954046, 0.206186, 0.459209, 0.271186
2, 0.800000, 0.509804, 0.019608, 1.000000, 0.030857, 0.019608, 0.125182, 1.039216, 0.090909, 0.045534, 0.038462
3, 0.802000, 0.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.000000, 0.000000, 0.808925, 0.000000
4, 0.718000, 0.448750, 0.000000, 0.000000, -0.131621, -0.410000, -0.149436, 3.114206, 0.000000, 0.826425, 0.000000
5, 0.802000, 0.497519, 0.000000, 0.000000, -0.007900, -0.020619, -0.031091, 3.004988, 0.000000, 0.924689, 0.000000
6, 0.866000, 0.702700, 0.423077, 0.862745, 0.499193, 0.355769, 0.543676, 1.864149, 0.714286, 0.071945, 0.567742
7, 0.196000, 0.148986, 0.072165, 0.021944, -0.375638, -3.144330, -0.577642, 4.572901, 0.025492, 0.788673, 0.033654
8, 0.756000, 0.473684, 0.000000, 0.000000, -0.074738, -0.207921, -0.105346, 3.055556, 0.000000, 0.442889, 0.000000
9, 0.242000, 0.252500, 0.270000, 0.081081, -0.264176, -2.790000, -0.419812, 4.795319, 0.094274, 0.610825, 0.124711
10, 0.778000, 0.482630, 0.000000, 0.000000, -0.051455, -0.144330, -0.083268, 3.035990, 0.000000, 0.402650, 0.000000
11, 0.798000, 0.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.000000, 0.000000, 0.306186, 0.000000
12, 0.896000, 0.832594, 0.725490, 0.755102, 0.675032, 0.490196, 0.675244, 2.515152, 0.748988, 0.086289, 0.740000
13, 0.324000, 0.214100, 0.029703, 0.012346, -0.374945, -2.346535, -0.459327, 2.568840, 0.013979, 0.877540, 0.017442
14, 0.790000, 0.498685, 0.009901, 0.166667, -0.004054, -0.039604, -0.009699, 1.032492, 0.040000, 0.248046, 0.018692
15, 0.806000, 0.513905, 0.030303, 0.750000, 0.043543, 0.020202, 0.124397, 1.063106, 0.130435, 0.111968, 0.058252
16, 0.772000, 0.490000, 0.020000, 0.111111, -0.028881, -0.140000, -0.042944, 1.081667, 0.058140, 0.494850, 0.033898
17, 0.846000, 0.710005, 0.484848, 0.648649, 0.464147, 0.222222, 0.471335, 2.039030, 0.607595, 0.114411, 0.554913
18, 0.828000, 0.679765, 0.434343, 0.589041, 0.398988, 0.131313, 0.405742, 1.949549, 0.549872, 0.131288, 0.500000
19, 0.238000, 0.509723, 0.959596, 0.201271, 0.008040, -2.848485, 0.033704, 18.627525, 0.239054, 0.596715, 0.332750
20, 0.214000, 0.452500, 0.850000, 0.183585, -0.040233, -2.930000, -0.145165, 19.881818, 0.217725, 0.390475, 0.301954
21, 0.736000, 0.464404, 0.020619, 0.051282, -0.092100, -0.360825, -0.104976, 1.142330, 0.039526, 0.514262, 0.029412
22, 0.746000, 0.468593, 0.000000, 0.000000, -0.087329, -0.245098, -0.116140, 3.067024, 0.000000, 0.937752, 0.000000
23, 0.800000, 0.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.000000, 0.000000, 0.267400, 0.000000
24, 0.802000, 0.505000, 0.010000, 1.000000, 0.015905, 0.010000, 0.089532, 1.020000, 0.048077, 0.000275, 0.019802
25, 0.780000, 0.488722, 0.000000, 0.000000, -0.034184, -0.089109, -0.068117, 3.023077, 0.000000, 0.636021, 0.000000
26, 0.826000, 0.553585, 0.117021, 0.733333, 0.158282, 0.074468, 0.245460, 1.243993, 0.357143, 0.064092, 0.201835
27, 0.718000, 0.461423, 0.019048, 0.050000, -0.099844, -0.342857, -0.115837, 1.144538, 0.037736, 0.552381, 0.027586
28, 0.492000, 0.312691, 0.009804, 0.006494, -0.314918, -1.490196, -0.326988, 1.644098, 0.006964, 0.832471, 0.007812
29, 0.796000, 0.519558, 0.073684, 0.333333, 0.055730, -0.073684, 0.076501, 1.183174, 0.195531, 0.066745, 0.120690
30, 0.712000, 0.459147, 0.029126, 0.063830, -0.102300, -0.398058, -0.113231, 1.182898, 0.051546, 0.490646, 0.040000
31, 0.238000, 0.331598, 0.484536, 0.124339, -0.160397, -2.927835, -0.310091, 6.566294, 0.146053, 0.752040, 0.197895
32, 0.120000, 0.258908, 0.495146, 0.116173, -0.218391, -3.271845, -0.595840, 45.101402, 0.137171, 0.828691, 0.188192
33, 0.708000, 0.439206, 0.000000, 0.000000, -0.149715, -0.505155, -0.161712, 3.138418, 0.000000, 0.820202, 0.000000
34, 0.804000, 0.519608, 0.039216, 1.000000, 0.061015, 0.039216, 0.177391, 1.078431, 0.169492, 0.323295, 0.075472
35, 0.806000, 0.505102, 0.010204, 1.000000, 0.016307, 0.010204, 0.090667, 1.020408, 0.049020, 0.330554, 0.020202
36, 0.818000, 0.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.000000, 0.000000, 0.655888, 0.000000
