# ,accuracy,balanced_accuracy,recall,precision,cohen_cappa,cappa_m,matthews_corrcoef,harmonic_mean,fbeta_score,auc,f1_score
0, 0.282000, 0.553483, 1.000000, 0.214442, 0.044847, -2.663265, 0.151452, 11.348837, 0.254413, 0.039801, 0.353153
1, 0.302000, 0.562062, 0.989796, 0.217978, 0.053071, -2.561224, 0.157479, 9.424036, 0.258253, 0.011194, 0.357274
2, 0.352000, 0.592965, 1.000000, 0.239437, 0.085242, -2.176471, 0.210994, 7.378378, 0.282392, 0.018844, 0.386364
3, 0.254000, 0.534913, 1.000000, 0.209746, 0.028868, -2.767677, 0.121019, 16.321429, 0.249119, 0.027431, 0.346760
4, 0.238000, 0.523750, 1.000000, 0.207900, 0.019557, -2.810000, 0.099374, 23.052632, 0.247036, 0.010000, 0.344234
5, 0.978000, 0.986352, 1.000000, 0.898148, 0.932555, 0.886598, 0.934683, 3.028061, 0.916824, 0.000000, 0.946341
6, 0.846000, 0.629808, 0.259615, 1.000000, 0.357090, 0.259615, 0.466211, 1.519231, 0.636792, 0.000000, 0.412214
7, 0.608000, 0.756824, 1.000000, 0.331058, 0.290667, -1.020619, 0.412368, 3.946860, 0.382191, 0.001241, 0.497436
8, 0.266000, 0.540100, 1.000000, 0.215812, 0.034027, -2.633663, 0.131561, 14.468750, 0.255955, 0.008772, 0.355009
9, 0.226000, 0.475000, 0.890000, 0.191398, -0.021108, -2.870000, -0.078386, 18.446667, 0.227041, 0.030000, 0.315044
10, 0.242000, 0.529777, 1.000000, 0.203782, 0.023981, -2.907216, 0.110163, 18.791667, 0.242379, 0.029777, 0.338569
11, 0.236000, 0.521303, 1.000000, 0.209110, 0.017662, -2.782178, 0.094390, 25.470588, 0.248401, 0.016291, 0.345890
12, 0.274000, 0.540324, 0.990196, 0.218143, 0.034821, -2.558824, 0.124150, 13.035948, 0.258444, 0.012563, 0.357522
13, 0.164000, 0.372664, 0.722772, 0.157667, -0.108906, -3.138614, -0.390603, 45.778878, 0.186892, 0.011278, 0.258865
14, 0.214000, 0.444664, 0.831683, 0.182609, -0.047553, -2.891089, -0.163787, 19.011192, 0.216383, 0.027569, 0.299465
15, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 3.000000, 1.000000, 0.000000, 1.000000
16, 0.198000, 0.465000, 0.910000, 0.188406, -0.028733, -3.010000, -0.154501, 51.820000, 0.223917, 0.008750, 0.312178
17, 0.352000, 0.557974, 0.898990, 0.220844, 0.053771, -2.272727, 0.116846, 6.407175, 0.260082, 0.028678, 0.354582
18, 0.240000, 0.526185, 1.000000, 0.206681, 0.021416, -2.838384, 0.104037, 21.095238, 0.245658, 0.003741, 0.342561
19, 0.264000, 0.541147, 1.000000, 0.211991, 0.034293, -2.717172, 0.132082, 14.151515, 0.251652, 0.037406, 0.349823
20, 0.208000, 0.430000, 0.800000, 0.175439, -0.059957, -2.960000, -0.197674, 18.266667, 0.207900, 0.030000, 0.287770
21, 0.282000, 0.538935, 0.958763, 0.207589, 0.032804, -2.701031, 0.100871, 10.313359, 0.246162, 0.005065, 0.341284
22, 0.938000, 0.957410, 0.990196, 0.770992, 0.827348, 0.696078, 0.838355, 3.061914, 0.806709, 0.000000, 0.866953
23, 0.940000, 0.947500, 0.960000, 0.786885, 0.826790, 0.700000, 0.833541, 2.989519, 0.816327, 0.000000, 0.864865
24, 0.972000, 0.930000, 0.860000, 1.000000, 0.907652, 0.860000, 0.911547, 2.720000, 0.968468, 0.000000, 0.924731
25, 0.204000, 0.501253, 1.000000, 0.202405, 0.001014, -2.940594, 0.022523, 401.000000, 0.240820, 0.001253, 0.336667
26, 0.232000, 0.514831, 0.968085, 0.192797, 0.011654, -3.085106, 0.050405, 18.176170, 0.229566, 0.022167, 0.321555
27, 0.268000, 0.529717, 0.980952, 0.220557, 0.026233, -2.485714, 0.097501, 14.703840, 0.261024, 0.037975, 0.360140
28, 0.264000, 0.537688, 1.000000, 0.217021, 0.032190, -2.607843, 0.127900, 15.266667, 0.257316, 0.025126, 0.356643
29, 0.264000, 0.545679, 1.000000, 0.205184, 0.036801, -2.873684, 0.136913, 12.945946, 0.243965, 0.037037, 0.340502
30, 0.606000, 0.644041, 0.708738, 0.304167, 0.193020, -0.912621, 0.233206, 3.143563, 0.343368, 0.055416, 0.425656
31, 0.382000, 0.616625, 1.000000, 0.238916, 0.105572, -2.185567, 0.236066, 6.287234, 0.281813, 0.114144, 0.385686
32, 0.414000, 0.630982, 1.000000, 0.260101, 0.127582, -1.844660, 0.261031, 5.817308, 0.305276, 0.074307, 0.412826
33, 0.478000, 0.664437, 0.969072, 0.267045, 0.164597, -1.690722, 0.284882, 4.717455, 0.312292, 0.151365, 0.418708
34, 0.466000, 0.664573, 1.000000, 0.276423, 0.166791, -1.617647, 0.301635, 5.038168, 0.323194, 0.139447, 0.433121
35, 0.460000, 0.664179, 1.000000, 0.266304, 0.160824, -1.755102, 0.295708, 5.045455, 0.312102, 0.164179, 0.420601
36, 0.402000, 0.553306, 0.791209, 0.204545, 0.050408, -2.285714, 0.090113, 4.752960, 0.240160, 0.157702, 0.325056
