# ,accuracy,balanced_accuracy,recall,precision,cohen_cappa,cappa_m,matthews_corrcoef,harmonic_mean,fbeta_score,auc,f1_score
0, 0.690000, 0.781798, 0.958333, 0.433962, 0.398759, -0.291667, 0.482274, 3.568841, 0.487288, 0.283717, 0.597403
1, 0.470000, 0.566468, 0.785714, 0.318841, 0.091844, -0.892857, 0.129058, 4.451429, 0.361842, 0.210565, 0.453608
2, 0.800000, 0.818358, 0.862069, 0.609756, 0.567287, 0.310345, 0.587431, 3.015047, 0.647668, 0.206168, 0.714286
3, 0.760000, 0.788940, 0.851852, 0.534884, 0.486960, 0.111111, 0.518214, 3.081062, 0.577889, 0.181126, 0.657143
4, 0.520000, 0.609524, 0.833333, 0.367647, 0.160839, -0.600000, 0.215188, 4.259259, 0.413907, 0.143571, 0.510204
5, 0.620000, 0.570299, 0.478261, 0.297297, 0.115868, -0.652174, 0.122552, 2.466326, 0.321637, 0.241107, 0.366667
6, 0.640000, 0.633814, 0.788462, 0.621212, 0.270665, 0.307692, 0.282256, 3.663880, 0.648734, 0.274639, 0.694915
7, 0.600000, 0.616071, 0.750000, 0.532258, 0.222395, 0.090909, 0.237404, 3.574074, 0.565068, 0.207792, 0.622642
8, 0.410000, 0.553523, 0.777778, 0.202899, 0.050837, -2.277778, 0.088922, 4.592593, 0.238095, 0.405488, 0.321839
9, 0.550000, 0.572061, 0.847826, 0.506494, 0.137270, 0.021739, 0.170686, 5.070652, 0.550847, 0.336554, 0.634146
10, 0.460000, 0.513445, 0.629630, 0.278689, 0.019252, -1.000000, 0.024476, 3.776501, 0.313653, 0.237950, 0.386364
11, 0.450000, 0.504961, 0.588235, 0.172414, 0.005065, -2.235294, 0.007551, 3.547899, 0.200803, 0.237066, 0.266667
