# ,accuracy,balanced_accuracy,recall,precision,cohen_cappa,cappa_m,matthews_corrcoef,harmonic_mean,fbeta_score,auc,f1_score
0, 0.750000, 0.778509, 0.833333, 0.487805, 0.448367, -0.041667, 0.483686, 3.048485, 0.531915, 0.055921, 0.615385
1, 0.560000, 0.585317, 0.642857, 0.346154, 0.135220, -0.571429, 0.153353, 3.180451, 0.381356, 0.072173, 0.450000
2, 0.790000, 0.739922, 0.620690, 0.642857, 0.484789, 0.275862, 0.484935, 2.405314, 0.638298, 0.046625, 0.631579
3, 0.820000, 0.818366, 0.814815, 0.628571, 0.582367, 0.333333, 0.592666, 2.846296, 0.658683, 0.053780, 0.709677
4, 0.570000, 0.578571, 0.600000, 0.367347, 0.133065, -0.433333, 0.144053, 2.994872, 0.398230, 0.041905, 0.455696
5, 0.680000, 0.609260, 0.478261, 0.354839, 0.194766, -0.391304, 0.198837, 2.307399, 0.374150, 0.047431, 0.407407
6, 0.650000, 0.649038, 0.673077, 0.660377, 0.298316, 0.326923, 0.298376, 2.946154, 0.662879, 0.172075, 0.666667
7, 0.610000, 0.605519, 0.568182, 0.555556, 0.210526, 0.113636, 0.210569, 2.691919, 0.558036, 0.098417, 0.561798
8, 0.480000, 0.574526, 0.722222, 0.216667, 0.078014, -1.888889, 0.116889, 3.787302, 0.251938, 0.073848, 0.333333
9, 0.540000, 0.540258, 0.543478, 0.500000, 0.080000, 0.000000, 0.080257, 2.949025, 0.508130, 0.161031, 0.520833
10, 0.520000, 0.554541, 0.629630, 0.309091, 0.082218, -0.777778, 0.097344, 3.344974, 0.344130, 0.073313, 0.414634
11, 0.640000, 0.619419, 0.588235, 0.256410, 0.157698, -1.117647, 0.183937, 2.713508, 0.289017, 0.030829, 0.357143
