# ,accuracy,balanced_accuracy,recall,precision,cohen_cappa,cappa_m,matthews_corrcoef,harmonic_mean,fbeta_score,auc,f1_score
0, 0.760000, 0.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.000000, 0.000000, 0.311952, 0.000000
1, 0.310000, 0.520833, 1.000000, 0.288660, 0.023769, -1.464286, 0.109670, 26.000000, 0.336538, 0.160466, 0.448000
2, 0.600000, 0.718310, 1.000000, 0.420290, 0.310107, -0.379310, 0.428377, 4.290323, 0.475410, 0.244051, 0.591837
3, 0.530000, 0.666413, 0.962963, 0.361111, 0.218230, -0.740741, 0.329090, 4.629630, 0.412698, 0.216895, 0.525253
4, 0.340000, 0.519048, 0.966667, 0.308511, 0.023669, -1.200000, 0.073509, 15.933333, 0.357143, 0.125476, 0.467742
5, 0.460000, 0.557877, 0.739130, 0.261538, 0.070568, -1.347826, 0.102130, 4.133433, 0.300353, 0.426595, 0.386364
6, 0.550000, 0.535256, 0.903846, 0.540230, 0.072547, 0.134615, 0.104751, 7.807692, 0.587500, 0.273037, 0.676259
7, 0.430000, 0.483766, 0.931818, 0.431579, -0.028881, -0.295455, -0.073947, 29.863636, 0.483491, 0.211445, 0.589928
8, 0.190000, 0.506098, 1.000000, 0.181818, 0.004425, -3.500000, 0.047088, 84.000000, 0.217391, 0.306911, 0.307692
9, 0.550000, 0.583333, 1.000000, 0.505495, 0.155405, 0.021739, 0.290257, 8.000000, 0.560976, 0.320048, 0.671533
10, 0.310000, 0.504059, 0.925926, 0.271739, 0.004616, -1.555556, 0.013284, 14.018519, 0.316456, 0.346017, 0.420168
11, 0.230000, 0.489369, 0.882353, 0.166667, -0.007853, -3.529412, -0.026622, 12.139706, 0.198939, 0.173990, 0.280374
