# ,accuracy,balanced_accuracy,recall,precision,cohen_cappa,cappa_m,matthews_corrcoef,harmonic_mean,fbeta_score,auc,f1_score
0, 0.760000, 0.842105, 1.000000, 0.500000, 0.509804, 0.000000, 0.584898, 3.461538, 0.555556, 0.065789, 0.666667
1, 0.540000, 0.582341, 0.678571, 0.339286, 0.126140, -0.642857, 0.148961, 3.414286, 0.376984, 0.097718, 0.452381
2, 0.800000, 0.757164, 0.655172, 0.655172, 0.514327, 0.310345, 0.514327, 2.474279, 0.655172, 0.064109, 0.655172
3, 0.810000, 0.823186, 0.851852, 0.605263, 0.572842, 0.296296, 0.591206, 2.962324, 0.642458, 0.258498, 0.707692
4, 0.300000, 0.500000, 1.000000, 0.300000, 0.000000, -1.333333, 0.000000, 3.000000, 0.348837, 0.091429, 0.461538
5, 0.760000, 0.600226, 0.304348, 0.466667, 0.228296, -0.043478, 0.236246, 1.724638, 0.421687, 0.185206, 0.368421
6, 0.550000, 0.532051, 0.980769, 0.536842, 0.066390, 0.134615, 0.146944, 13.961538, 0.590278, 0.313502, 0.693878
7, 0.450000, 0.508929, 1.000000, 0.444444, 0.015748, -0.250000, 0.089087, 58.000000, 0.500000, 0.171063, 0.615385
8, 0.230000, 0.530488, 1.000000, 0.189474, 0.022843, -3.277778, 0.107486, 18.400000, 0.226131, 0.103659, 0.318584
9, 0.580000, 0.556361, 0.260870, 0.600000, 0.117647, 0.086957, 0.140450, 1.695652, 0.476190, 0.247383, 0.363636
10, 0.750000, 0.665398, 0.481481, 0.541667, 0.342797, 0.074074, 0.343868, 2.140382, 0.528455, 0.360984, 0.509804
11, 0.810000, 0.534727, 0.117647, 0.333333, 0.093511, -0.117647, 0.109856, 1.285927, 0.243902, 0.143870, 0.173913
