# ,accuracy,balanced_accuracy,recall,precision,cohen_cappa,cappa_m,matthews_corrcoef,harmonic_mean,fbeta_score,auc,f1_score
0, 0.660000, 0.733553, 0.875000, 0.403846, 0.333856, -0.416667, 0.399305, 3.438889, 0.452586, 0.300164, 0.552632
1, 0.650000, 0.702381, 0.821429, 0.433962, 0.318005, -0.250000, 0.364131, 3.357143, 0.479167, 0.455605, 0.567901
2, 0.410000, 0.574308, 0.965517, 0.325581, 0.093980, -1.034483, 0.194348, 7.392573, 0.375335, 0.285576, 0.486957
3, 0.420000, 0.602740, 1.000000, 0.317647, 0.122542, -1.148148, 0.255480, 6.866667, 0.367847, 0.304414, 0.482143
4, 0.350000, 0.526190, 0.966667, 0.311828, 0.032738, -1.166667, 0.094079, 13.600000, 0.360697, 0.366190, 0.471545
5, 0.250000, 0.512987, 1.000000, 0.234694, 0.012118, -2.260870, 0.078077, 40.500000, 0.277108, 0.355731, 0.380165
6, 0.530000, 0.510417, 1.000000, 0.525253, 0.021649, 0.096154, 0.104608, 50.000000, 0.580357, 0.364984, 0.688742
7, 0.440000, 0.500000, 1.000000, 0.440000, 0.000000, -0.272727, 0.000000, 3.000000, 0.495495, 0.465909, 0.611111
8, 0.190000, 0.506098, 1.000000, 0.181818, 0.004425, -3.500000, 0.047088, 84.000000, 0.217391, 0.307588, 0.307692
9, 0.480000, 0.518519, 1.000000, 0.469388, 0.034175, -0.130435, 0.131851, 29.000000, 0.525114, 0.480475, 0.638889
10, 0.270000, 0.500000, 1.000000, 0.270000, 0.000000, -1.703704, 0.000000, 3.000000, 0.316159, 0.377473, 0.425197
11, 0.240000, 0.542169, 1.000000, 0.182796, 0.030365, -3.470588, 0.124163, 13.857143, 0.218509, 0.348335, 0.309091
