# ,accuracy,balanced_accuracy,recall,precision,cohen_cappa,cappa_m,matthews_corrcoef,harmonic_mean,fbeta_score,auc,f1_score
0, 0.770000, 0.634868, 0.375000, 0.529412, 0.299635, 0.041667, 0.306683, 1.867647, 0.489130, 0.088816, 0.439024
1, 0.580000, 0.599206, 0.642857, 0.360000, 0.160000, -0.500000, 0.178174, 3.085714, 0.394737, 0.135417, 0.461538
2, 0.770000, 0.644245, 0.344828, 0.714286, 0.340596, 0.206897, 0.377264, 1.749357, 0.588235, 0.102477, 0.465116
3, 0.820000, 0.760020, 0.629630, 0.680000, 0.532468, 0.333333, 0.533187, 2.382336, 0.669291, 0.088280, 0.653846
4, 0.760000, 0.666667, 0.433333, 0.650000, 0.368421, 0.200000, 0.381881, 1.977778, 0.590909, 0.064286, 0.520000
5, 0.760000, 0.645963, 0.434783, 0.476190, 0.301107, -0.043478, 0.301619, 2.036232, 0.467290, 0.086674, 0.454545
6, 0.630000, 0.642628, 0.326923, 0.894737, 0.277908, 0.288462, 0.363277, 1.697324, 0.664062, 0.184295, 0.478873
7, 0.610000, 0.605519, 0.568182, 0.555556, 0.210526, 0.113636, 0.210569, 2.691919, 0.558036, 0.118304, 0.561798
8, 0.500000, 0.586721, 0.722222, 0.224138, 0.092888, -1.777778, 0.135008, 3.660661, 0.260000, 0.168360, 0.342105
9, 0.530000, 0.502013, 0.152174, 0.466667, 0.004237, -0.021739, 0.005619, 1.478261, 0.330189, 0.168076, 0.229508
10, 0.540000, 0.544901, 0.555556, 0.306122, 0.071457, -0.703704, 0.079753, 2.982906, 0.336323, 0.129883, 0.394737
11, 0.790000, 0.663005, 0.470588, 0.400000, 0.304636, -0.235294, 0.306150, 2.110191, 0.412371, 0.084692, 0.432432
